"Index" "HPOpen" "HPHigh" "HPLow" "HPClose" "HPVolume" "HPAdjusted"
"2012-01-31" 12.801998 12.820163 12.475023 12.70663 30277500 9.636368
"2012-02-01" 12.820163 13.128974 12.792916 13.060854 32944122 9.905004
"2012-02-02" 13.042688 13.101726 12.888283 12.942779 27984337 9.815456
"2012-02-03" 13.11535 13.265213 13.079019 13.201635 25609921 10.011767
"2012-02-06" 13.160763 13.2198 13.051771 13.060854 28194408 9.905004
"2012-02-07" 13.04723 13.247048 12.983651 13.147139 32116170 9.970441
"2012-02-08" 13.156222 13.42416 13.119891 13.378747 29045701 10.146084
"2012-02-09" 13.342416 13.392371 13.18347 13.2198 35306648 10.025544
"2012-02-10" 13.124432 13.165304 12.938238 13.033606 22073509 9.884341
"2012-02-13" 13.110808 13.169846 12.906449 13.056312 20170760 9.901558
"2012-02-14" 13.033606 13.206176 13.001817 13.206176 24151536 10.015214
"2012-02-15" 13.378747 13.419619 13.156222 13.224342 34663223 10.02899
"2012-02-16" 13.142598 13.614896 13.138056 13.574024 45416911 10.294179
"2012-02-17" 13.601272 13.623978 13.410536 13.437784 40803941 10.190858
"2012-02-21" 13.405995 13.496821 13.247048 13.328792 31564569 10.108201
"2012-02-22" 13.237965 13.269755 13.069936 13.142598 63042820 9.966995
"2012-02-23" 12.53406 12.656676 12.19346 12.284287 157176338 9.316074
"2012-02-24" 12.26158 12.302452 12.066303 12.098093 61370401 9.174871
"2012-02-27" 11.95277 12.084469 11.857402 11.920981 62169066 9.040553
"2012-02-28" 11.893733 11.980018 11.811989 11.889192 50854529 9.016445
"2012-02-29" 11.911898 11.920981 11.480472 11.494096 85514009 8.716815
"2012-03-01" 11.512262 11.648501 11.4396 11.466848 55506034 8.696151
"2012-03-02" 11.466848 11.612171 11.430518 11.498638 49792945 8.72026
"2012-03-05" 11.435059 11.457766 11.226158 11.357856 54422650 8.613494
"2012-03-06" 11.162579 11.257947 10.908265 10.976385 71076156 8.324203
"2012-03-07" 11.003633 11.135332 10.985468 11.06267 36185026 8.389632
"2012-03-08" 11.099001 11.235241 11.053588 11.189827 30791887 8.486068
"2012-03-09" 11.167121 11.203451 10.917348 10.980926 51575905 8.327641
"2012-03-12" 10.885559 11.030881 10.876476 10.917348 36583808 8.32072
"2012-03-13" 10.930972 11.189827 10.858311 11.158038 51385872 8.504164
"2012-03-14" 11.021798 11.144414 10.980926 11.053588 47708972 8.424556
"2012-03-15" 10.953678 11.167121 10.935513 11.080836 45009541 8.445325
"2012-03-16" 11.017257 11.148955 10.99455 11.121708 45849604 8.476472
"2012-03-19" 11.139873 11.171662 11.039964 11.053588 25903227 8.424556
"2012-03-20" 11.06267 11.067212 10.885559 10.8901 53160023 8.299953
"2012-03-21" 10.944596 10.962761 10.608538 10.653951 100204873 8.119968
"2012-03-22" 10.517711 10.572207 10.404178 10.458674 75506140 7.971142
"2012-03-23" 10.485922 10.735695 10.408719 10.731153 45554095 8.178811
"2012-03-26" 10.835604 10.867393 10.694823 10.849228 52524086 8.268803
"2012-03-27" 10.881017 10.885559 10.726612 10.726612 40436427 8.175349
"2012-03-28" 10.762943 10.812897 10.64941 10.708447 45144523 8.161505
"2012-03-29" 10.631244 10.722071 10.613079 10.676658 38194130 8.137277
"2012-03-30" 10.731153 10.862852 10.694823 10.82198 37217984 8.248033
"2012-04-02" 10.844687 10.894641 10.758401 10.844687 30648317 8.26534
"2012-04-03" 10.82198 10.926431 10.603996 10.64941 34913591 8.116508
"2012-04-04" 10.544959 10.61762 10.51317 10.567666 33824482 8.054208
"2012-04-05" 10.51317 10.613079 10.481381 10.495005 32442286 7.998829
"2012-04-09" 10.395095 10.590372 10.37693 10.508629 33610888 8.009212
"2012-04-10" 10.522252 10.722071 10.490463 10.567666 56912011 8.054208
"2012-04-11" 10.676658 10.708447 10.554042 10.631244 36575220 8.102663
"2012-04-12" 10.894641 11.416894 10.881017 11.398728 95579572 8.687608
"2012-04-13" 11.321526 11.376022 11.049046 11.158038 53908924 8.504164
"2012-04-16" 11.253406 11.271571 10.976385 11.039964 33324848 8.414172
"2012-04-17" 11.080836 11.385104 11.06267 11.226158 35050996 8.556082
"2012-04-18" 11.153497 11.389646 11.135332 11.321526 39862145 8.628764
"2012-04-19" 11.289737 11.421435 11.117166 11.221617 39805334 8.55262
"2012-04-20" 11.248865 11.326067 11.103542 11.13079 43260272 8.483397
"2012-04-23" 11.017257 11.112625 10.926431 11.021798 36980388 8.400325
"2012-04-24" 11.030881 11.135332 10.999092 11.099001 26346710 8.459169
"2012-04-25" 11.180745 11.285195 11.080836 11.276113 39345997 8.594157
"2012-04-26" 11.239782 11.339691 11.212534 11.294278 21712381 8.608
"2012-04-27" 11.307902 11.348774 11.19891 11.239782 20772567 8.566464
"2012-04-30" 11.19891 11.262489 11.139873 11.244323 20366078 8.569925
"2012-05-01" 11.230699 11.534968 11.230699 11.430518 34302316 8.711834
"2012-05-02" 11.380563 11.47139 11.294278 11.466848 29967899 8.739524
"2012-05-03" 11.466848 11.503179 11.103542 11.117166 32500859 8.473012
"2012-05-04" 11.071753 11.167121 10.990009 11.021798 30896702 8.400325
"2012-05-07" 10.985468 11.003633 10.803815 10.840145 29051867 8.261878
"2012-05-08" 10.735695 10.758401 10.44505 10.590372 54170741 8.071514
"2012-05-09" 10.490463 10.68574 10.408719 10.594914 30901106 8.074973
"2012-05-10" 10.576748 10.722071 10.490463 10.676658 35469155 8.137277
"2012-05-11" 10.599455 10.676658 10.504087 10.51317 35897665 8.012673
"2012-05-14" 10.44505 10.526794 10.354223 10.431426 37041383 7.950373
"2012-05-15" 10.431426 10.467757 10.158946 10.17257 35379534 7.753085
"2012-05-16" 10.199818 10.331517 9.995459 10.004541 35803859 7.62502
"2012-05-17" 10.004541 10.113533 9.909173 10.018165 36844965 7.635402
"2012-05-18" 10.040872 10.072661 9.663942 9.745686 56280918 7.427731
"2012-05-21" 9.72752 9.977293 9.718438 9.940963 35540060 7.576562
"2012-05-22" 9.940963 9.950045 9.782016 9.891008 34813840 7.53849
"2012-05-23" 9.604905 9.627611 9.341508 9.573115 118421138 7.296208
"2012-05-24" 10.27248 10.290645 9.682107 9.886467 129899283 7.535027
"2012-05-25" 9.750227 10.154405 9.718438 10.140781 51980632 7.728857
"2012-05-29" 10.163488 10.386013 10.163488 10.354223 50152312 7.891529
"2012-05-30" 10.245232 10.354223 10.195277 10.326975 45986128 7.870764
"2012-05-31" 10.358765 10.390554 10.145322 10.299728 48214552 7.849996
"2012-06-01" 9.93188 9.990917 9.627611 9.650318 69010680 7.355046
"2012-06-04" 9.668483 9.732062 9.477748 9.564033 40088951 7.289283
"2012-06-05" 9.582198 9.877384 9.564033 9.845595 44487006 7.503878
"2012-06-06" 9.854678 10.154405 9.850136 10.149864 32429074 7.735779
"2012-06-07" 10.217984 10.331517 9.995459 10.018165 31562147 7.635402
"2012-06-08" 10.045413 10.149864 9.963669 10.131698 25166658 7.721936
"2012-06-11" 10.154405 10.186194 9.709355 9.722979 31706818 7.454532
"2012-06-12" 9.750227 9.900091 9.713896 9.854678 24670327 7.555503
"2012-06-13" 9.768392 9.859219 9.69119 9.754768 25448734 7.478901
"2012-06-14" 9.754768 9.872843 9.713896 9.804723 23946970 7.517204
"2012-06-15" 9.868302 9.986376 9.79564 9.82743 38416532 7.534614
"2012-06-18" 9.763851 9.813806 9.523161 9.559491 46979009 7.329185
"2012-06-19" 9.613987 9.632153 9.423252 9.4505 47818632 7.245622
"2012-06-20" 9.468665 9.636694 9.377838 9.609446 38185102 7.367486
"2012-06-21" 9.573115 9.604905 9.182561 9.218892 43249262 7.068051
"2012-06-22" 9.255223 9.409628 9.209809 9.250681 35432382 7.092424
"2012-06-25" 9.164396 9.205268 8.841962 8.878292 49780394 6.806916
"2012-06-26" 8.878292 8.941871 8.737511 8.792007 46797785 6.740763
"2012-06-27" 8.792007 8.900999 8.778383 8.860127 25362196 6.792988
"2012-06-28" 8.778383 8.810173 8.683015 8.792007 35102522 6.740763
"2012-06-29" 9.014532 9.150772 8.97366 9.132607 41492066 7.001897
"2012-07-02" 9.132607 9.191644 9.023615 9.155313 32697278 7.019306
"2012-07-03" 9.046322 9.250681 9.028156 9.24614 16158716 7.088941
"2012-07-05" 9.205268 9.277929 9.141689 9.209809 23178252 7.061087
"2012-07-06" 9.059946 9.146231 8.832879 8.887375 36405886 6.81388
"2012-07-09" 8.86921 8.891916 8.742053 8.823797 27352804 6.765135
"2012-07-10" 8.80109 8.900999 8.637602 8.678474 36986994 6.653717
"2012-07-11" 8.673933 9.00545 8.651226 8.941871 54092350 6.855661
"2012-07-12" 8.764759 8.851045 8.646685 8.787466 51804032 6.737281
"2012-07-13" 8.714805 8.719346 8.524069 8.619437 67303029 6.608453
"2012-07-16" 8.569482 8.673933 8.519528 8.542234 32752548 6.549263
"2012-07-17" 8.610354 8.62852 8.401453 8.569482 45486934 6.570153
"2012-07-18" 8.551317 8.855586 8.537693 8.764759 62340161 6.71987
