"Index" "Close"
"2012-01-31" 16.42
"2012-02-01" 16.540001
"2012-02-02" 16.280001
"2012-02-03" 16.91
"2012-02-06" 17.25
"2012-02-07" 17.120001
"2012-02-08" 17.110001
"2012-02-09" 16.9
"2012-02-10" 16.68
"2012-02-13" 17.01
"2012-02-14" 16.33
"2012-02-15" 16.18
"2012-02-16" 16.35
"2012-02-17" 16.4
"2012-02-21" 15.93
"2012-02-22" 15.76
"2012-02-23" 16.129999
"2012-02-24" 15.98
"2012-02-27" 16.030001
"2012-02-28" 15.87
"2012-02-29" 15.78
"2012-03-01" 15.66
"2012-03-02" 15.52
"2012-03-05" 15.53
"2012-03-06" 15.06
"2012-03-07" 15.28
"2012-03-08" 15.34
"2012-03-09" 15.55
"2012-03-12" 15.43
"2012-03-13" 16.200001
"2012-03-14" 15.88
"2012-03-15" 15.9
"2012-03-16" 15.99
"2012-03-19" 16.5
"2012-03-20" 16.450001
"2012-03-21" 16.33
"2012-03-22" 16.1
"2012-03-23" 16.200001
"2012-03-26" 16.67
"2012-03-27" 16.540001
"2012-03-28" 16.17
"2012-03-29" 16.02
"2012-03-30" 16.42
"2012-04-02" 16.540001
"2012-04-03" 16.690001
"2012-04-04" 16.25
"2012-04-05" 16.200001
"2012-04-09" 15.9
"2012-04-10" 15.57
"2012-04-11" 16.01
"2012-04-12" 16.4
"2012-04-13" 16.309999
"2012-04-16" 16.379999
"2012-04-17" 16.49
"2012-04-18" 16.280001
"2012-04-19" 16.6
"2012-04-20" 16.780001
"2012-04-23" 16.370001
"2012-04-24" 16.780001
"2012-04-25" 16.610001
"2012-04-26" 16.65
"2012-04-27" 16.790001
"2012-04-30" 16.639999
"2012-05-01" 17.059999
"2012-05-02" 16.85
"2012-05-03" 16.5
"2012-05-04" 16.27
"2012-05-07" 16.200001
"2012-05-08" 16.08
"2012-05-09" 15.97
"2012-05-10" 16.059999
"2012-05-11" 16.129999
"2012-05-14" 15.67
"2012-05-15" 15.55
"2012-05-16" 15.3
"2012-05-17" 14.49
"2012-05-18" 14.11
"2012-05-21" 14.88
"2012-05-22" 15.06
"2012-05-23" 15.13
"2012-05-24" 15.09
"2012-05-25" 15.15
"2012-05-29" 15.53
"2012-05-30" 15.16
"2012-05-31" 15.26
"2012-06-01" 14.43
"2012-06-04" 14.31
"2012-06-05" 14.73
"2012-06-06" 15.38
"2012-06-07" 15.22
"2012-06-08" 15.34
"2012-06-11" 15.04
"2012-06-12" 15.4
"2012-06-13" 14.97
"2012-06-14" 15.25
