"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 88.830002 89.93 88.43 89.019997 1430400 82.110352
"2012-02-01" 89.639999 93 89.050003 91.650002 2970600 84.536186
"2012-02-02" 91.410004 91.410004 89.510002 90.279999 1649400 83.27253
"2012-02-03" 91.010002 91.599998 88.690002 90.120003 1988000 83.124962
"2012-02-06" 87.349998 87.720001 84.510002 85.25 5324500 78.632973
"2012-02-07" 85.25 86.220001 84.82 86.169998 2620300 79.481537
"2012-02-08" 86.129997 86.400002 84.75 85.150002 2552700 78.540741
"2012-02-09" 85.160004 85.540001 84.040001 85.160004 2061500 78.54995
"2012-02-10" 84.739998 86.050003 84.360001 85.739998 1371300 79.08493
"2012-02-13" 86.019997 87.230003 85.519997 86.889999 2153300 80.14566
"2012-02-14" 86.879997 89.339996 86.699997 88.599998 2362200 81.722946
"2012-02-15" 89.300003 89.720001 87.260002 87.5 1680200 80.708351
"2012-02-16" 87.32 88.099998 86.910004 87.790001 1728600 80.975807
"2012-02-17" 87.900002 89.230003 87.900002 88.610001 1862500 81.732178
"2012-02-21" 90.489998 93 89.32 90.139999 3324400 83.143387
"2012-02-22" 91.690002 91.690002 88.089996 89.160004 1759200 82.239517
"2012-02-23" 88.889999 89.610001 87.68 87.779999 1828800 80.966576
"2012-02-24" 87.68 89.089996 87.650002 89 1624800 82.091911
"2012-02-27" 89.239998 91.599998 88.580002 88.650002 3587500 81.769058
"2012-02-28" 88.660004 89.269997 87.830002 88.57 1687600 81.69529
"2012-02-29" 88.139999 88.949997 87.019997 87.099998 4390900 80.339378
"2012-03-01" 87.110001 88.07 86.849998 87.720001 1869000 80.911255
"2012-03-02" 87.449997 88.040001 86.93 87.239998 1184800 80.468506
"2012-03-05" 86.830002 87.93 86.790001 87.480003 1197900 80.689896
"2012-03-06" 86.580002 87.860001 85.169998 85.709999 1447000 79.057274
"2012-03-07" 85.790001 86.940002 85.379997 86.440002 1109500 79.730591
"2012-03-08" 87 88.080002 86.739998 87.800003 853700 80.985046
"2012-03-09" 87.699997 88.260002 86.519997 87.059998 1507600 80.302475
"2012-03-12" 86.629997 87.269997 86.019997 86.260002 983500 79.56456
"2012-03-13" 86.650002 87.129997 85.690002 86.959999 1159500 80.210243
"2012-03-14" 86.660004 88.410004 86.540001 87.300003 1646100 80.523857
"2012-03-15" 87.410004 88 86.529999 87.019997 862400 80.265572
"2012-03-16" 86.949997 87.300003 86.529999 86.639999 1583400 79.915062
"2012-03-19" 86.239998 87.760002 86.099998 87.169998 1311800 80.403946
"2012-03-20" 86.860001 86.910004 85.279999 85.339996 1638500 78.715996
"2012-03-21" 85.410004 85.75 85.260002 85.300003 1252300 78.679092
"2012-03-22" 84.910004 85.599998 84.68 85.300003 1533200 78.679092
"2012-03-23" 85.410004 85.989998 84.870003 85.910004 1159900 79.241745
"2012-03-26" 85.660004 87.989998 85.050003 87.989998 1388300 81.160294
"2012-03-27" 87.870003 88.410004 86.559998 88.099998 1400800 81.261772
"2012-03-28" 88.120003 89.260002 87.93 88.639999 1684600 81.992508
"2012-03-29" 87.889999 93.360001 87.82 91.540001 3903800 84.675034
