"Index" "JNPOpen" "JNPHigh" "JNPLow" "JNPClose" "JNPVolume" "JNPAdjusted"
"2012-01-31" 21.190001 21.32 20.879999 20.93 10762600 17.68401
"2012-02-01" 20.99 21.889999 20.99 21.68 10383200 18.31769
"2012-02-02" 21.68 21.84 21.370001 21.610001 7449500 18.258547
"2012-02-03" 21.940001 23.030001 21.860001 22.549999 11814100 19.052763
"2012-02-06" 22.379999 22.799999 22.030001 22.719999 8483500 19.1964
"2012-02-07" 22.620001 23.43 22.41 23.02 12111800 19.449871
"2012-02-08" 23.049999 23.440001 22.75 23.09 8267500 19.509018
"2012-02-09" 22.889999 23.43 22.85 23.18 8292000 19.585062
"2012-02-10" 23.07 23.07 22.540001 22.719999 8126500 19.1964
"2012-02-13" 22.84 22.9 22.17 22.469999 10632600 18.98517
"2012-02-14" 22.4 22.799999 22.24 22.57 8225600 19.06966
"2012-02-15" 22.84 25.040001 22.799999 24.16 27002500 20.413071
"2012-02-16" 24.09 24.129999 23.52 24.02 8934300 20.294786
"2012-02-17" 24.16 24.48 23.870001 24.200001 7918300 20.446875
"2012-02-21" 23.530001 24.24 23.52 23.77 6429000 20.083557
"2012-02-22" 23.83 24.309999 23.66 23.780001 6996700 20.092003
"2012-02-23" 22.940001 23.790001 22.66 23.51 10690300 19.863878
"2012-02-24" 23.58 24.1 23.469999 23.719999 6293500 20.041313
"2012-02-27" 23.51 23.809999 23.1 23.549999 9128100 19.89768
"2012-02-28" 23.66 23.860001 23.34 23.74 9320000 20.05821
"2012-02-29" 23.82 23.82 22.74 22.76 14054500 19.230194
"2012-03-01" 22.450001 22.889999 22.18 22.290001 15090000 18.833086
"2012-03-02" 22.200001 22.559999 21.950001 21.99 8566600 18.579618
"2012-03-05" 22.030001 22.16 21.27 21.33 11213800 18.021973
"2012-03-06" 21.09 21.4 20.92 21.09 9372100 17.819191
"2012-03-07" 21.25 21.620001 21.209999 21.41 6221100 18.089561
"2012-03-08" 21.67 21.690001 21.16 21.43 5941400 18.106461
"2012-03-09" 21.41 21.77 21.129999 21.42 7407900 18.098013
"2012-03-12" 21.389999 21.48 20.969999 21.15 6101500 17.869888
"2012-03-13" 21.32 21.530001 21.17 21.309999 13731600 18.00507
"2012-03-14" 21.09 21.1 20.389999 20.6 14034900 17.405186
"2012-03-15" 20.68 21.379999 20.639999 21.33 8945700 18.021973
"2012-03-16" 21.389999 21.49 21.209999 21.43 5151600 18.106461
"2012-03-19" 21.440001 21.76 21.35 21.66 5628800 18.300791
"2012-03-20" 20.93 21.299999 20.9 21.15 7783800 17.869888
"2012-03-21" 20.870001 21.35 20.870001 21.18 6086600 17.895239
"2012-03-22" 21.01 21.15 20.860001 20.950001 5985100 17.700909
"2012-03-23" 20.870001 21.290001 20.870001 21.110001 6131600 17.83609
"2012-03-26" 21.26 21.559999 21.18 21.42 5871900 18.098013
