"Index" "Close"
"2012-01-31" 7.77
"2012-02-01" 7.85
"2012-02-02" 7.94
"2012-02-03" 8.24
"2012-02-06" 8.13
"2012-02-07" 8.07
"2012-02-08" 8.17
"2012-02-09" 8.09
"2012-02-10" 7.94
"2012-02-13" 8.09
"2012-02-14" 7.96
"2012-02-15" 7.88
"2012-02-16" 7.99
"2012-02-17" 8.12
"2012-02-21" 8.07
"2012-02-22" 7.89
"2012-02-23" 8.06
"2012-02-24" 8.06
"2012-02-27" 8.13
"2012-02-28" 8.27
"2012-02-29" 8.1
"2012-03-01" 8.09
"2012-03-02" 7.98
"2012-03-05" 7.81
"2012-03-06" 7.62
"2012-03-07" 7.79
"2012-03-08" 7.94
"2012-03-09" 8.02
"2012-03-12" 7.88
"2012-03-13" 8.26
"2012-03-14" 8.49
"2012-03-15" 8.54
"2012-03-16" 8.54
"2012-03-19" 8.66
"2012-03-20" 8.69
"2012-03-21" 8.57
"2012-03-22" 8.35
"2012-03-23" 8.36
"2012-03-26" 8.46
"2012-03-27" 8.36
"2012-03-28" 8.48
"2012-03-29" 8.48
"2012-03-30" 8.5
"2012-04-02" 8.48
"2012-04-03" 8.38
"2012-04-04" 8.28
"2012-04-05" 8.27
"2012-04-09" 8.15
"2012-04-10" 8.02
"2012-04-11" 8.29
"2012-04-12" 8.35
"2012-04-13" 7.97
"2012-04-16" 8.04
"2012-04-17" 8.16
"2012-04-18" 7.99
"2012-04-19" 7.91
"2012-04-20" 7.87
"2012-04-23" 7.88
"2012-04-24" 8.03
"2012-04-25" 8.09
"2012-04-26" 8.16
"2012-04-27" 8.11
"2012-04-30" 8.04
"2012-05-01" 8.16
"2012-05-02" 8.02
"2012-05-03" 7.99
"2012-05-04" 7.82
"2012-05-07" 7.92
"2012-05-08" 7.91
"2012-05-09" 7.87
"2012-05-10" 7.89
"2012-05-11" 7.89
"2012-05-14" 7.67
"2012-05-15" 7.6
"2012-05-16" 7.51
"2012-05-17" 7.4
