"Index" "KMOpen" "KMHigh" "KMLow" "KMClose" "KMVolume" "KMAdjusted"
"2012-01-31" 68.523491 68.868645 68.360497 68.609779 2253193 50.034435
"2012-02-01" 68.676895 69.328857 68.61937 69.079575 2494022 50.377029
"2012-02-02" 69.280922 69.453499 68.983704 69.328857 1876670 50.558819
"2012-02-03" 69.597313 69.731544 69.089165 69.252159 1970540 50.502876
"2012-02-06" 69.185043 69.654839 69.089165 69.223396 1911923 50.481911
"2012-02-07" 69.050812 69.290504 68.782356 68.782356 2729010 50.160278
"2012-02-08" 68.954941 69.022049 68.552254 68.744011 2013407 50.132309
"2012-02-09" 68.744011 68.93576 68.456375 68.916588 1771431 50.258167
"2012-02-10" 68.71524 68.763184 68.427612 68.609779 2159219 50.034435
"2012-02-13" 68.916588 69.031639 68.696068 68.782356 1543014 50.160278
"2012-02-14" 68.600189 68.92617 68.302971 68.676895 2438221 50.083378
"2012-02-15" 68.350914 68.581017 68.111221 68.264618 2633784 49.782715
"2012-02-16" 68.552254 68.763184 68.312561 68.485138 2207822 49.943535
"2012-02-17" 68.839882 68.945351 68.360497 68.61937 2334443 50.041405
"2012-02-21" 68.61937 68.782356 68.245445 68.456375 1920267 49.922543
"2012-02-22" 68.763184 68.763184 68.015343 68.293381 2621581 49.803692
"2012-02-23" 68.139984 69.041229 68.130394 68.93576 2001621 50.272152
"2012-02-24" 68.887825 68.887825 68.370087 68.849472 2228578 50.209209
"2012-02-27" 68.552254 69.002876 68.533081 68.887825 1825146 50.237194
"2012-02-28" 69.012466 69.348038 68.801537 69.252159 2135438 50.502876
"2012-02-29" 69.213806 70.095879 69.185043 69.875359 3791409 50.957355
"2012-03-01" 69.760307 69.99041 68.897408 69.194633 2765306 50.460926
"2012-03-02" 69.434326 69.57814 69.175453 69.36721 1876983 50.586788
"2012-03-05" 69.376801 69.77948 69.36721 69.664429 2080576 50.803539
"2012-03-06" 69.472672 69.846596 69.415146 69.606903 2722647 50.761581
"2012-03-07" 68.945351 68.945351 68.322151 68.494728 3671360 50.464905
"2012-03-08" 68.801537 69.031639 68.628952 68.830299 2126468 50.712135
"2012-03-09" 68.945351 69.022049 68.686478 68.811119 1773934 50.698013
"2012-03-12" 68.71524 69.309685 68.71524 69.232979 2154734 51.00882
"2012-03-13" 69.376801 70.057526 69.376801 70.038353 2402655 51.602188
"2012-03-14" 69.99041 70.239693 69.549377 69.808243 2092154 51.432663
"2012-03-15" 69.769897 70.086288 69.520615 69.913712 2153586 51.510376
"2012-03-16" 69.904121 69.99041 69.645256 69.913712 2436761 51.510376
"2012-03-19" 69.827423 70.134232 69.57814 70 1508595 51.573933
"2012-03-20" 69.645256 70.450623 69.645256 70.364334 1832864 51.842354
"2012-03-21" 70.306808 70.604027 70.230103 70.393097 1509534 51.863556
"2012-03-22" 70.278046 70.498566 70.105469 70.335571 1930071 51.821178
"2012-03-23" 70.441032 70.536911 69.99041 70.115051 1676727 51.658718
"2012-03-26" 70.268456 70.690315 70.153404 70.661552 2346541 52.061337
"2012-03-27" 70.786194 70.882072 70.613617 70.64238 1698943 52.047222
"2012-03-28" 70.565674 70.872482 70.450623 70.85331 2161722 52.202625
"2012-03-29" 70.728668 70.901245 70.22052 70.795784 2552117 52.160248
"2012-03-30" 70.882072 71.323105 70.795784 70.843719 3153511 52.19558
"2012-04-02" 70.719078 71.754555 70.671143 71.495689 2537619 52.67593
"2012-04-03" 71.438156 71.658676 71.198463 71.371048 2016536 52.584095
"2012-04-04" 71.217644 71.629913 71.093002 71.160118 2818395 52.428684
"2012-04-05" 71.06424 71.342285 70.776604 71.303932 1625307 52.534637
"2012-04-09" 71.006714 71.169701 70.824547 70.977951 1492950 52.294472
"2012-04-10" 70.872482 70.977951 70.306808 70.498566 2092362 51.941277
"2012-04-11" 71.102592 71.102592 70.594437 70.891663 1929550 52.230892
"2012-04-12" 70.872482 71.188881 70.527328 71.112175 1611644 52.393364
"2012-04-13" 71.035477 71.706619 70.958771 71.28476 2083392 52.520515
"2012-04-16" 71.409393 71.850433 71.323105 71.649086 2021647 52.788933
"2012-04-17" 71.773727 72.387344 71.601151 72.387344 2546380 53.332855
"2012-04-18" 72.253113 72.636627 72.214767 72.540749 2075674 53.445896
"2012-04-19" 72.511986 72.64621 71.888779 72.166824 2367089 53.170399
"2012-04-20" 72.895493 73.911797 72.770851 73.317352 4053724 54.018074
"2012-04-23" 72.761269 73.585808 72.396935 73.489929 3519186 54.145218
"2012-04-24" 73.489929 75.484177 73.413231 75.455414 5798037 55.593319
"2012-04-25" 75.436241 75.944389 75.186958 75.484177 3693367 55.614513
