"Index" "LOOpen" "LOHigh" "LOLow" "LOClose" "LOVolume" "LOAdjusted"
"2012-01-31" 27.049999 27.41 26.790001 26.83 18581800 22.639915
"2012-02-01" 27.16 27.379999 26.870001 26.879999 13939100 22.6821
"2012-02-02" 26.879999 26.98 26.5 26.82 12355200 22.631472
"2012-02-03" 27.08 27.290001 26.92 27.200001 14013600 22.952122
"2012-02-06" 27.16 27.299999 26.959999 27.01 11062200 22.791798
"2012-02-07" 27.040001 27.219999 26.92 26.959999 12073400 22.749603
"2012-02-08" 26.889999 27.040001 26.84 26.879999 17096300 22.6821
"2012-02-09" 26.959999 27.01 26.780001 26.91 15698000 22.707417
"2012-02-10" 26.74 27.120001 26.690001 27.09 10492800 22.859312
"2012-02-13" 27.280001 27.459999 27.17 27.389999 11777700 23.112457
"2012-02-14" 27.200001 27.5 27.049999 27.190001 10580800 22.943687
"2012-02-15" 27.23 27.530001 27.200001 27.43 17441800 23.146206
"2012-02-16" 27.34 27.58 27.139999 27.309999 12233500 23.044941
"2012-02-17" 27.459999 27.84 27.43 27.68 9268500 23.357166
"2012-02-21" 28.23 28.459999 27.65 27.76 15633200 23.424671
"2012-02-22" 27.610001 27.67 26.75 26.950001 21692000 22.741169
"2012-02-23" 26.790001 27.24 26.58 27.059999 19962400 22.833992
"2012-02-24" 27.059999 27.17 26.719999 27.16 15136000 22.918373
"2012-02-27" 27.24 28.059999 27.200001 27.34 21943500 23.070261
"2012-02-28" 27.34 27.73 27.110001 27.709999 18008400 23.382483
"2012-02-29" 27.799999 28.52 27.76 28.379999 19593100 23.947834
"2012-03-01" 28.41 28.6 28.09 28.379999 12494000 23.947834
"2012-03-02" 28.34 28.67 28.110001 28.129999 15007800 23.736883
"2012-03-05" 27.969999 28.33 27.92 28.24 15773900 23.829712
"2012-03-06" 27.860001 28.09 27.780001 27.84 14060600 23.492176
"2012-03-07" 27.950001 29 27.91 28.870001 30483500 24.361315
"2012-03-08" 28.860001 29.440001 28.860001 29.360001 22110700 24.774796
"2012-03-09" 29.459999 29.940001 29.35 29.77 19918000 25.120764
"2012-03-12" 29.959999 30.07 29.700001 29.84 12880500 25.179832
"2012-03-13" 30.030001 30.33 29.950001 30.23 23876400 25.508924
"2012-03-14" 30.43 30.6 30.18 30.49 20702200 25.728323
"2012-03-15" 30.450001 30.799999 30.209999 30.690001 20820300 25.897085
"2012-03-16" 30.620001 30.66 30.139999 30.41 17419800 25.660812
"2012-03-19" 30.35 30.610001 30.129999 30.530001 11950100 25.762079
