"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 34.310001 34.330002 33.18 33.689999 6592800 23.522663
"2012-02-01" 33.939999 34.16 33.380001 33.990002 7657600 23.732132
"2012-02-02" 34.619999 35.450001 34.279999 35.23 11135400 24.597912
"2012-02-03" 35.619999 36.369999 35.599998 36.119999 7413300 25.219307
"2012-02-06" 35.919998 36.16 35.610001 35.720001 5084700 24.940035
"2012-02-07" 35.66 36 35.52 35.869999 4559200 25.044756
"2012-02-08" 35.93 36.279999 35.529999 35.860001 5143000 25.037781
"2012-02-09" 35.970001 36.23 35.509998 36.209999 5102000 25.282152
"2012-02-10" 35.82 35.889999 35.380001 35.68 3386800 24.912104
"2012-02-13" 35.919998 36.07 35.400002 35.799999 3028700 24.995888
"2012-02-14" 35.619999 35.880001 35.25 35.560001 4940900 24.828318
"2012-02-15" 35.610001 35.68 34.669998 34.970001 5655200 24.416382
"2012-02-16" 35 35.529999 34.77 35.299999 4448800 24.646778
"2012-02-17" 35.650002 36.310001 35.529999 36.25 6069200 25.310083
"2012-02-21" 37.619999 38.220001 36.389999 36.689999 12838100 25.61729
"2012-02-22" 36.68 37.900002 36.68 37.68 8055000 26.308523
"2012-02-23" 37.150002 37.5 36.759998 36.990002 8699800 25.826759
"2012-02-24" 37.150002 37.34 36.869999 37.060001 4335800 25.875633
"2012-02-27" 36.709999 37.470001 36.57 37.369999 4850300 26.092081
"2012-02-28" 37.310001 37.900002 37.169998 37.84 5715000 26.420235
"2012-02-29" 37.720001 38.34 37.560001 37.970001 7547600 26.511007
"2012-03-01" 38.27 38.880001 37.110001 38.849998 12925300 27.125423
"2012-03-02" 38.84 38.889999 38.130001 38.310001 5162100 26.748394
"2012-03-05" 38.18 38.68 37.860001 38.240002 5609500 26.699516
"2012-03-06" 38 38.240002 37.119999 37.279999 7925000 26.029242
"2012-03-07" 37.509998 38.57 37.419998 38.470001 5198000 26.860115
"2012-03-08" 38.630001 39.360001 38.32 39.299999 5947000 27.439619
"2012-03-09" 39.290001 39.830002 39.290001 39.669998 5220900 27.697952
"2012-03-12" 39.799999 39.950001 39.529999 39.580002 4489400 27.635122
"2012-03-13" 39.700001 39.790001 39.049999 39.57 5397900 27.76845
"2012-03-14" 39.580002 39.93 39.369999 39.91 4181500 28.007044
"2012-03-15" 39.869999 39.889999 39.290001 39.77 3217600 27.908806
