"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 25.49 25.49 24.67 24.76 3010000 21.09623
"2012-02-01" 24.950001 25.48 24.719999 24.77 2447700 21.104744
"2012-02-02" 24.540001 25.139999 24.5 24.66 3602700 21.011028
"2012-02-03" 25.040001 25.190001 24.9 25.07 3356700 21.360357
"2012-02-06" 24.969999 25.360001 24.91 25.35 2080200 21.598925
"2012-02-07" 25.32 25.82 25.17 25.700001 2085800 21.897133
"2012-02-08" 25.889999 26.25 25.68 26.24 2748400 22.357231
"2012-02-09" 26.26 26.33 25.77 25.879999 1857900 22.050501
"2012-02-10" 25.67 26.02 25.51 26 1819600 22.152744
"2012-02-13" 26.219999 26.469999 26.049999 26.360001 1969800 22.459475
"2012-02-14" 26.25 26.389999 26.07 26.360001 1548400 22.459475
"2012-02-15" 26.49 26.49 26.02 26.209999 2006600 22.331667
"2012-02-16" 26.129999 26.93 26.059999 26.75 2256000 22.791765
"2012-02-17" 26.77 26.870001 26.459999 26.809999 2022700 22.842888
"2012-02-21" 26.76 26.879999 26.530001 26.6 1633000 22.663961
"2012-02-22" 26.48 26.57 26.16 26.219999 2086300 22.340187
"2012-02-23" 26.26 26.4 25.969999 26.26 1558600 22.374271
"2012-02-24" 26.309999 26.799999 26.190001 26.690001 1222200 22.740639
"2012-02-27" 26.459999 26.9 26.200001 26.790001 1140600 22.825848
"2012-02-28" 26.83 26.83 26.52 26.629999 1941500 22.689518
"2012-02-29" 26.75 26.99 26.309999 26.34 1869800 22.44243
"2012-03-01" 26.389999 26.719999 26.190001 26.309999 2235500 22.416868
"2012-03-02" 26.360001 26.459999 26.07 26.110001 1371700 22.246464
"2012-03-05" 26.16 26.299999 26 26.15 1623700 22.280552
"2012-03-06" 25.870001 25.98 25.41 25.469999 1487100 21.701164
"2012-03-07" 25.530001 25.67 25.41 25.639999 1386300 21.846012
"2012-03-08" 25.84 25.99 25.690001 25.950001 1040300 22.110144
"2012-03-09" 25.99 26.379999 25.91 26.129999 1094800 22.263508
"2012-03-12" 26.08 26.219999 25.780001 25.84 1731200 22.016418
"2012-03-13" 25.950001 26.73 25.940001 26.719999 1970000 22.766199
"2012-03-14" 26.73 26.85 26.43 26.49 1003800 22.570232
"2012-03-15" 26.559999 26.84 26.34 26.75 1201300 22.791765
"2012-03-16" 26.85 26.950001 26.52 26.610001 1711400 22.672482
"2012-03-19" 26.74 26.99 26.41 26.799999 934400 22.834364
"2012-03-20" 26.700001 26.870001 26.57 26.719999 1614000 22.766199
"2012-03-21" 26.82 26.940001 26.43 26.85 1366200 22.876968
"2012-03-22" 26.620001 26.969999 26.540001 26.879999 1739800 22.902527
"2012-03-23" 26.799999 26.84 26.200001 26.639999 1446500 22.698038
"2012-03-26" 26.889999 27.190001 26.73 27.18 1447200 23.158138
"2012-03-27" 27.209999 27.34 26.58 26.610001 1332600 22.672482
"2012-03-28" 26.540001 26.75 26.26 26.42 1860800 22.510592
"2012-03-29" 26.23 26.27 25.68 25.82 2420300 21.999376
"2012-03-30" 25.940001 26.08 25.68 25.9 1643100 22.067535
"2012-04-02" 25.82 26.120001 25.68 25.93 2306500 22.0931
"2012-04-03" 25.84 25.959999 25.530001 25.73 1578200 21.922689
"2012-04-04" 25.440001 25.59 25.219999 25.219999 1429900 21.488161
"2012-04-05" 25.07 25.690001 25.07 25.52 3577100 21.743769
"2012-04-09" 25.120001 25.48 25.09 25.35 1291700 21.598925
"2012-04-10" 25.17 25.190001 24.49 24.59 3262400 20.951384
"2012-04-11" 24.889999 25.049999 24.690001 24.73 2313700 21.070665
"2012-04-12" 24.709999 24.98 24.57 24.950001 1133000 21.258106
"2012-04-13" 24.82 24.950001 24.57 24.57 1034300 20.93434
"2012-04-16" 24.719999 24.73 24.4 24.43 1239800 20.81505
"2012-04-17" 24.6 24.870001 24.51 24.780001 1915400 21.11327
"2012-04-18" 24.620001 24.889999 24.6 24.709999 1551300 21.053619
"2012-04-19" 24.73 24.9 24.57 24.700001 1628100 21.045105
"2012-04-20" 24.809999 25.129999 24.75 25.040001 2345500 21.334799
"2012-04-23" 24.73 25.09 24.719999 25.02 2525100 21.317757
"2012-04-24" 25 25.530001 25 25.33 3202400 21.581881
"2012-04-25" 25.01 25.51 24.99 25.120001 4491700 21.40296
"2012-04-26" 24.959999 25.190001 24.75 25.07 2565400 21.360357
"2012-04-27" 25.200001 25.299999 25.049999 25.139999 2725900 21.419998
"2012-04-30" 25.07 25.07 24.450001 24.57 3267800 20.93434
"2012-05-01" 24.51 24.780001 24.43 24.440001 2329300 20.823578
"2012-05-02" 24.32 24.32 24 24.09 1926300 20.525372
"2012-05-03" 24.120001 24.17 23.24 23.67 3842800 20.167517
"2012-05-04" 23.52 23.91 23.52 23.67 3099700 20.167517
"2012-05-07" 23.48 23.68 23.299999 23.440001 2655900 19.971556
"2012-05-08" 23.23 23.68 23.08 23.65 3493300 20.150471
"2012-05-09" 23.360001 24.120001 23.309999 24.059999 4988400 20.499807
"2012-05-10" 24.200001 24.23 23.620001 23.73 3026100 20.218637
"2012-05-11" 23.42 23.67 23.200001 23.360001 2028100 19.903385
"2012-05-14" 23.139999 23.68 23 23.559999 3360200 20.07379
"2012-05-15" 23.48 23.82 23.42 23.68 2912700 20.176037
"2012-05-16" 23.860001 23.91 23.110001 23.120001 2355400 19.698893
"2012-05-17" 23.09 23.379999 23 23 2715100 19.596653
