"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 16.92 17.1 16.75 16.879999 4984400 14.163903
"2012-02-01" 16.91 16.99 16.700001 16.809999 2037800 14.105174
"2012-02-02" 16.83 16.92 16.59 16.860001 2402700 14.147127
"2012-02-03" 16.99 17.299999 16.870001 17.26 1697200 14.482761
"2012-02-06" 17.18 17.200001 16.85 16.950001 1408500 14.222648
"2012-02-07" 16.950001 17.16 16.719999 17.120001 2316000 14.365289
"2012-02-08" 17.1 17.23 16.98 17.120001 2165000 14.365289
"2012-02-09" 17.110001 17.18 16.84 17.08 1424300 14.331726
"2012-02-10" 16.950001 17.34 16.700001 17.32 2161500 14.533109
"2012-02-13" 17.459999 17.67 17 17.08 1937700 14.331726
"2012-02-14" 16.969999 17.1 16.66 17.049999 2171000 14.306555
"2012-02-15" 17.059999 17.200001 16.91 16.93 1993200 14.205865
"2012-02-16" 16.99 17.4 16.73 17.34 2435700 14.549892
"2012-02-17" 17.440001 17.549999 17.309999 17.5 3604100 14.684145
"2012-02-21" 17.610001 17.879999 17.5 17.77 2258300 14.910697
"2012-02-22" 17.799999 17.82 17.49 17.549999 1408200 14.726098
"2012-02-23" 17.540001 17.76 17.4 17.74 1372900 14.885529
"2012-02-24" 17.75 17.99 17.66 17.85 1387200 14.977829
"2012-02-27" 17.780001 17.790001 17.549999 17.6 1984100 14.768059
"2012-02-28" 17.49 17.66 17 17.549999 4885800 14.726098
"2012-02-29" 17.469999 17.469999 16.77 17.1 7202200 14.34851
"2012-03-01" 17.209999 17.4 17.1 17.200001 4323400 14.432419
"2012-03-02" 17.27 17.5 17.200001 17.290001 6891000 14.507937
"2012-03-05" 17.26 17.309999 17.01 17.190001 2778400 14.424028
"2012-03-06" 17 17.15 16.67 16.719999 2438600 14.029654
"2012-03-07" 16.76 16.780001 16.549999 16.620001 3211000 13.945744
"2012-03-08" 16.77 16.860001 16.6 16.690001 2428000 14.004479
"2012-03-09" 16.809999 16.870001 16.639999 16.73 2364300 14.038041
"2012-03-12" 16.74 16.83 16.42 16.48 2105100 13.828272
"2012-03-13" 16.530001 16.73 16.450001 16.719999 3433300 14.029654
"2012-03-14" 16.73 16.9 16.540001 16.6 2963200 13.928961
"2012-03-15" 16.59 16.629999 16.27 16.41 2500800 13.769533
"2012-03-16" 16.33 16.77 16.299999 16.77 4881300 14.071609
"2012-03-19" 16.73 16.780001 16.389999 16.41 2294200 13.769533
"2012-03-20" 16.370001 16.52 16.15 16.48 4235500 13.828272
"2012-03-21" 16.51 16.99 16.42 16.92 5313000 14.197474
"2012-03-22" 16.790001 16.82 16.459999 16.65 3020900 13.970914
"2012-03-23" 16.610001 16.889999 16.549999 16.709999 2260300 14.021261
"2012-03-26" 16.870001 16.959999 16.34 16.58 2787700 13.912177
"2012-03-27" 16.629999 16.709999 16.33 16.5 2188800 13.845051
"2012-03-28" 16.51 16.559999 16.059999 16.110001 2041800 13.517805
"2012-03-29" 16.040001 16.08 15.53 15.74 4795400 13.207341
"2012-03-30" 15.85 15.85 15.63 15.67 3221300 13.148603
"2012-04-02" 15.66 15.69 15.43 15.6 2452100 13.089865
"2012-04-03" 15.56 15.66 15.25 15.5 2765100 13.00596
"2012-04-04" 15.58 15.78 15.46 15.55 3978700 13.047912
"2012-04-05" 15.48 15.55 15.09 15.18 2183400 12.737449
"2012-04-09" 15 15.06 14.8 14.86 2585000 12.468938
"2012-04-10" 14.84 14.94 14.54 14.62 2727400 12.267556
"2012-04-11" 14.79 14.87 14.59 14.65 3656300 12.292723
