"Index" "NUOpen" "NUHigh" "NULow" "NUClose" "NUVolume" "NUAdjusted"
"2012-01-31" 44.66 44.990002 44.099998 44.490002 3776700 33.157501
"2012-02-01" 44.919998 45.349998 44.73 44.82 2365600 33.403439
"2012-02-02" 44.900002 45.130001 44.509998 44.560001 2375000 33.20966
"2012-02-03" 45.119999 45.740002 44.93 45.41 2651600 33.843159
"2012-02-06" 45.189999 45.419998 44.849998 45.130001 3376100 33.634491
"2012-02-07" 45.049999 45.619999 44.630001 45.330002 2378100 33.783546
"2012-02-08" 45.450001 45.66 45.139999 45.310001 2103100 33.768642
"2012-02-09" 45.529999 45.75 44.869999 45.400002 2192800 33.835712
"2012-02-10" 44.810001 44.810001 43.919998 44.470001 3223800 33.142601
"2012-02-13" 44.720001 44.889999 43.900002 43.919998 3280100 32.732697
"2012-02-14" 43.860001 43.959999 42.849998 43.369999 3957800 32.322792
"2012-02-15" 43.540001 43.630001 42.91 43.16 2257800 32.166283
"2012-02-16" 43.240002 44.139999 42.91 44.139999 2934800 32.896645
"2012-02-17" 44.349998 44.380001 43.75 43.91 1801400 32.725246
"2012-02-21" 44.169998 45.18 44 44.360001 3087500 33.060616
"2012-02-22" 43.619999 44.169998 43.459999 43.57 2867900 32.471848
"2012-02-23" 43.57 43.650002 43.049999 43.630001 2026600 32.516563
"2012-02-24" 43.709999 44.080002 43.580002 43.860001 1784800 32.687969
"2012-02-27" 43.459999 44.209999 43.27 44.150002 2024600 32.904114
"2012-02-28" 44.299999 44.369999 43.830002 44.029999 2854100 32.814674
"2012-02-29" 44.029999 44.25 43.299999 43.529999 2244600 32.442039
"2012-03-01" 43.759998 44.150002 43.650002 43.830002 1817200 32.665619
"2012-03-02" 43.73 44.049999 43.43 43.57 1831300 32.471848
"2012-03-05" 43.450001 43.470001 42.209999 42.52 3062400 31.689295
"2012-03-06" 41.830002 41.880001 41.09 41.310001 3988800 30.787516
"2012-03-07" 41.459999 41.549999 41.09 41.450001 3926300 30.891853
"2012-03-08" 41.740002 41.950001 41.240002 41.650002 1583800 31.040909
"2012-03-09" 41.790001 42.799999 41.599998 42.25 2167900 31.488087
"2012-03-12" 42.169998 42.720001 42.080002 42.32 2773400 31.540243
"2012-03-13" 42.59 43.650002 42.32 43.599998 3628700 32.494202
"2012-03-14" 43.560001 44.59 43.540001 43.91 3687100 32.725246
"2012-03-15" 43.220001 43.91 42.720001 43.450001 5698500 32.382404
"2012-03-16" 44.759998 44.759998 43.900002 44.23 4798400 32.963715
"2012-03-19" 44.830002 45.200001 44.400002 44.799999 4070100 33.388535
"2012-03-20" 44.330002 44.330002 43.439999 43.830002 4507900 32.665619
"2012-03-21" 43.830002 43.91 43.290001 43.580002 2823100 32.479298
"2012-03-22" 43.049999 43.080002 42.259998 42.889999 2970600 31.965059
"2012-03-23" 42.900002 43.43 42.650002 43.150002 2382700 32.158836
"2012-03-26" 43.540001 43.779999 43.189999 43.759998 2338100 32.613438
"2012-03-27" 43.779999 44.16 43.43 43.470001 2083400 32.397316
"2012-03-28" 42.869999 43.080002 42.02 42.549999 2479600 31.980183
"2012-03-29" 42.130001 42.810001 41.98 42.810001 1831600 32.175594
"2012-03-30" 43.27 43.380001 42.490002 42.950001 2428900 32.280827
"2012-04-02" 42.959999 43.990002 42.740002 43.490002 3896900 32.686676
"2012-04-03" 43.349998 43.450001 42.400002 42.82 3836300 32.183121
"2012-04-04" 42.310001 42.439999 41.810001 42.099998 2770600 31.641962
"2012-04-05" 42.099998 42.57 41.59 41.689999 2308600 31.333815
"2012-04-09" 41.150002 41.509998 40.91 41.119999 2661300 30.905407
"2012-04-10" 40.93 41.43 40.349998 40.700001 3791100 30.589745
"2012-04-11" 41.330002 41.57 41.099998 41.150002 2329800 30.92795
"2012-04-12" 41.259998 42.400002 41.259998 42.25 2139600 31.754704
"2012-04-13" 42.16 42.16 41.509998 41.57 5597300 31.243633
"2012-04-16" 41.93 42.34 41.509998 41.68 3944800 31.326305
"2012-04-17" 42.110001 42.66 41.990002 42.32 2120500 31.807325
"2012-04-18" 42.150002 42.439999 42.029999 42.200001 2187400 31.717134
"2012-04-19" 42 42.009998 39.880001 40.09 7786500 30.131273
"2012-04-20" 40.23 40.32 39.400002 39.669998 5069300 29.815609
"2012-04-23" 39.009998 39.09 38.419998 38.919998 3940600 29.251915
"2012-04-24" 39.009998 39.27 38.619999 38.900002 2852000 29.236877
"2012-04-25" 39.330002 39.540001 39.040001 39.34 2374500 29.567572
"2012-04-26" 39.099998 39.599998 38.900002 39.5 1780500 29.687838
"2012-04-27" 39.610001 39.759998 39.060001 39.330002 2322700 29.560066
"2012-04-30" 39.18 39.330002 38.919998 39.209999 1665500 29.469864
"2012-05-01" 39.119999 39.830002 39.029999 39.439999 1916300 29.64274
"2012-05-02" 39.139999 39.220001 38.669998 38.990002 2069400 29.30452
"2012-05-03" 39.040001 39.259998 38.529999 38.580002 2075000 28.996372
"2012-05-04" 38.459999 38.529999 37.68 37.830002 2865000 28.432692
"2012-05-07" 37.709999 38 37.32 37.549999 2773200 28.222235
"2012-05-08" 37.240002 37.41 36.75 37.349998 2793700 28.071909
"2012-05-09" 36.68 37.77 36.68 37.259998 4537400 28.004272
"2012-05-10" 37.619999 37.82 36.93 37.049999 2883500 27.84643
"2012-05-11" 36.950001 37.5 36.709999 36.889999 2252100 27.726177
"2012-05-14" 36.5 36.91 36.09 36.720001 2711300 27.598408
"2012-05-15" 36.73 36.880001 35.689999 35.790001 4171600 26.899429
"2012-05-16" 35.98 36.389999 35.07 35.07 3601300 26.358294
"2012-05-17" 35.16 35.48 34.709999 34.790001 3181900 26.147837
"2012-05-18" 35 35.16 34.23 34.389999 3328700 25.847204
"2012-05-21" 34.549999 35.189999 34.5 35.099998 2996400 26.380829
"2012-05-22" 35.23 35.98 35.060001 35.389999 4117300 26.598793
"2012-05-23" 35.080002 35.889999 34.66 35.889999 3400000 26.974585
"2012-05-24" 36.060001 36.209999 35.310001 35.73 4374900 26.85434
"2012-05-25" 35.689999 36.380001 35.650002 36.110001 2928100 27.13994
"2012-05-29" 36.540001 36.98 36.150002 36.610001 2264400 27.51573
"2012-05-30" 36.049999 36.130001 35.720001 35.91 2346500 26.989626
"2012-05-31" 35.880001 36.02 35.080002 35.759998 2991100 26.876886
"2012-06-01" 35.080002 36.07 35 35.77 4572200 26.884403
"2012-06-04" 35.73 35.889999 35.029999 35.669998 4085700 26.809229
"2012-06-05" 35.400002 35.849998 35.27 35.709999 2826200 26.83931
"2012-06-06" 36.169998 36.799999 36.080002 36.77 3006400 27.635988
"2012-06-07" 37.279999 37.98 37.09 37.299999 8381000 28.034332
"2012-06-08" 37.049999 37.259998 36.57 37.220001 2340500 27.974211
"2012-06-11" 37.610001 37.73 36.080002 36.130001 4232600 27.15498
"2012-06-12" 36.220001 36.459999 35.720001 36.110001 4728900 27.13994
