"Index" "NVDOpen" "NVDHigh" "NVDLow" "NVDClose" "NVDVolume" "NVDAdjusted"
"2012-01-31" 3.71 3.7125 3.6275 3.6925 35790000 3.392385
"2012-02-01" 3.735 3.775 3.6825 3.7325 42802000 3.429133
"2012-02-02" 3.7525 3.8875 3.715 3.8725 69623600 3.557753
"2012-02-03" 3.93 3.9875 3.9225 3.955 49523200 3.633549
"2012-02-06" 3.935 3.94 3.89 3.925 27886800 3.605988
"2012-02-07" 3.93 3.9575 3.865 3.935 41029600 3.615174
"2012-02-08" 3.935 4.155 3.915 4.0775 84761200 3.746093
"2012-02-09" 4.1275 4.15 4.0675 4.075 56194400 3.743796
"2012-02-10" 4.035 4.05 3.9525 3.975 44026800 3.651923
"2012-02-13" 4.075 4.09 3.955 4.0375 61066800 3.709343
"2012-02-14" 4.0375 4.095 4.0025 4.06 45375600 3.730015
"2012-02-15" 4.0975 4.225 4.0325 4.0425 111085600 3.713937
"2012-02-16" 3.765 4.145 3.75 4.1125 188858800 3.778249
"2012-02-17" 4.115 4.1425 3.925 3.9625 102036000 3.64044
"2012-02-21" 3.96 4.08 3.9525 3.9825 51817600 3.658814
"2012-02-22" 3.9625 4.06 3.95 3.955 49243200 3.633549
"2012-02-23" 3.9625 4 3.9 3.9775 32396800 3.654221
"2012-02-24" 3.99 3.995 3.93 3.9475 36666800 3.626658
"2012-02-27" 3.8975 3.915 3.8125 3.8675 74526800 3.55316
"2012-02-28" 3.8675 3.9125 3.7925 3.8325 69988400 3.521006
"2012-02-29" 3.845 3.91 3.785 3.7875 68919600 3.479662
"2012-03-01" 3.8025 3.8575 3.7875 3.8125 44994400 3.502631
"2012-03-02" 3.8 3.9 3.8 3.845 68407600 3.53249
"2012-03-05" 3.8175 3.825 3.6875 3.715 51484800 3.413055
"2012-03-06" 3.6725 3.7025 3.615 3.68 47140000 3.380901
"2012-03-07" 3.7 3.7175 3.65 3.7025 44198400 3.401572
"2012-03-08" 3.7125 3.7525 3.6925 3.715 43085200 3.413055
"2012-03-09" 3.725 3.7525 3.685 3.705 36783600 3.403869
"2012-03-12" 3.72 3.745 3.6375 3.6475 29994800 3.351041
"2012-03-13" 3.6625 3.7175 3.645 3.6975 55328800 3.396978
"2012-03-14" 3.6975 3.705 3.58 3.5925 73570800 3.300512
"2012-03-15" 3.6025 3.665 3.59 3.645 38238000 3.348744
"2012-03-16" 3.6475 3.665 3.6275 3.65 42834000 3.353339
"2012-03-19" 3.67 3.6875 3.6425 3.66 40540000 3.362526
"2012-03-20" 3.64 3.64 3.5675 3.6 44961600 3.307403
"2012-03-21" 3.6 3.6475 3.56 3.615 46784000 3.321183
"2012-03-22" 3.5875 3.64 3.5775 3.61 42537200 3.31659
"2012-03-23" 3.6 3.6475 3.575 3.6375 31545600 3.341855
"2012-03-26" 3.6725 3.6975 3.6375 3.68 28860000 3.380901
"2012-03-27" 3.695 3.75 3.6875 3.705 41996800 3.403869
"2012-03-28" 3.7525 3.84 3.725 3.79 89244800 3.48196
"2012-03-29" 3.785 3.8375 3.7375 3.8075 37270000 3.498037
"2012-03-30" 3.84 3.8725 3.785 3.85 52724000 3.537083
"2012-04-02" 3.84 3.8725 3.7775 3.8325 40777600 3.521006
"2012-04-03" 3.86 3.865 3.75 3.77 43047600 3.463585
"2012-04-04" 3.7125 3.76 3.64 3.6625 49589600 3.364823
"2012-04-05" 3.6675 3.7125 3.645 3.6575 36942400 3.360229
"2012-04-09" 3.6 3.6225 3.54 3.61 36550400 3.31659
"2012-04-10" 3.595 3.645 3.5225 3.54 47036000 3.25228
"2012-04-11" 3.5875 3.6625 3.575 3.585 37296000 3.293621
"2012-04-12" 3.59 3.69 3.575 3.67 38486800 3.371713
"2012-04-13" 3.6375 3.6575 3.5375 3.54 31132400 3.25228
"2012-04-16" 3.565 3.575 3.44 3.4975 46346800 3.213234
"2012-04-17" 3.5075 3.55 3.4925 3.505 46069600 3.220124
"2012-04-18" 3.4825 3.5 3.425 3.4675 40076400 3.185672
"2012-04-19" 3.4225 3.5525 3.3975 3.415 66718800 3.137439
"2012-04-20" 3.435 3.445 3.34 3.3475 50959200 3.075425
"2012-04-23" 3.29 3.3225 3.2275 3.3075 70624400 3.038675
"2012-04-24" 3.3175 3.345 3.1875 3.205 73044000 2.944508
"2012-04-25" 3.2525 3.295 3.1925 3.27 72711200 3.004225
"2012-04-26" 3.2675 3.3 3.245 3.2725 53920800 3.006521
"2012-04-27" 3.2675 3.2875 3.21 3.245 47535600 2.981256
"2012-04-30" 3.2275 3.2675 3.205 3.25 26226800 2.985849
"2012-05-01" 3.2325 3.3425 3.2325 3.3075 40868000 3.038675
"2012-05-02" 3.295 3.3075 3.195 3.2125 68400800 2.951398
"2012-05-03" 3.22 3.24 3.1375 3.1575 41953600 2.900867
"2012-05-04" 3.1375 3.155 3.065 3.065 54509200 2.815886
"2012-05-07" 3.12 3.1725 3.0925 3.1175 60444000 2.864119
"2012-05-08" 3.09 3.135 3.035 3.115 46231200 2.861822
"2012-05-09" 3.06 3.1525 3.03 3.1275 52060800 2.873306
"2012-05-10" 3.1575 3.1625 3.055 3.105 59709200 2.852635
"2012-05-11" 3.3625 3.42 3.29 3.3025 143514000 3.034082
"2012-05-14" 3.275 3.3325 3.2075 3.2825 43747200 3.015708
"2012-05-15" 3.2825 3.355 3.235 3.25 59994000 2.985849
"2012-05-16" 3.255 3.2925 3.175 3.185 47048400 2.926132
"2012-05-17" 3.1975 3.2275 3.1625 3.1625 33536400 2.905461
"2012-05-18" 3.17 3.185 3.005 3.02 56728800 2.774543
"2012-05-21" 3.025 3.0875 3.005 3.0725 41626000 2.822776
"2012-05-22" 3.07 3.075 2.99 3.035 41014000 2.788324
"2012-05-23" 3.0025 3.115 2.9575 3.11 49600000 2.857228
"2012-05-24" 3.1275 3.1325 3.005 3.0275 52042000 2.781433
"2012-05-25" 3.025 3.125 3.025 3.1 39175200 2.848041
"2012-05-29" 3.15 3.2 3.1375 3.18 3.1e+07 2.921539
"2012-05-30" 3.145 3.1675 3.0875 3.1425 37979200 2.887087
"2012-05-31" 3.1425 3.155 3.0675 3.1075 35819200 2.854931
"2012-06-01" 3.0425 3.0725 2.99 2.995 44098400 2.751575
"2012-06-04" 3.01 3.0275 2.9075 2.9325 43285600 2.694155
"2012-06-05" 2.9175 3.025 2.9175 3.0175 36522400 2.772246
"2012-06-06" 3.04 3.105 3.0175 3.0975 36896800 2.845744
"2012-06-07" 3.1425 3.16 2.97 2.9725 52678000 2.730904
"2012-06-08" 2.9825 3.04 2.9775 3.03 37030800 2.783731
"2012-06-11" 3.1275 3.1825 3.0575 3.065 83908000 2.815886
"2012-06-12" 3.1 3.1575 3.095 3.1275 49612800 2.873306
"2012-06-13" 3.125 3.1325 3.03 3.045 49427600 2.797511
"2012-06-14" 3.04 3.065 2.9775 3.0075 58988400 2.763059
"2012-06-15" 3.03 3.075 3.0025 3.0725 38528800 2.822776
"2012-06-18" 3.05 3.125 3.025 3.1 30442400 2.848041
"2012-06-19" 3.2275 3.3575 3.2125 3.31 96047600 3.040973
"2012-06-20" 3.3425 3.425 3.3225 3.3625 97272000 3.089206
"2012-06-21" 3.36 3.36 3.2025 3.21 51637600 2.9491
"2012-06-22" 3.25 3.2875 3.205 3.25 86536000 2.985849
"2012-06-25" 3.2525 3.2625 3.135 3.1475 49461600 2.89168
"2012-06-26" 3.165 3.205 3.12 3.1825 43715200 2.923835
"2012-06-27" 3.185 3.3075 3.185 3.285 50606400 3.018005
"2012-06-28" 3.255 3.33 3.2275 3.31 54589600 3.040973
"2012-06-29" 3.3875 3.4625 3.385 3.455 61650800 3.174187
"2012-07-02" 3.4725 3.475 3.335 3.3625 58168400 3.089206
"2012-07-03" 3.3625 3.4575 3.36 3.45 21928400 3.169594
"2012-07-05" 3.4275 3.4425 3.3625 3.415 28007600 3.137439
"2012-07-06" 3.39 3.4 3.3125 3.35 38276000 3.077721
