"Index" "ORCOpen" "ORCHigh" "ORCLow" "ORCClose" "ORCVolume" "ORCAdjusted"
"2012-01-31" 28.73 28.74 28.049999 28.209999 32744000 24.475653
"2012-02-01" 28.48 28.940001 28.110001 28.879999 38240800 25.056963
"2012-02-02" 28.870001 29.25 28.709999 28.809999 27334400 24.996227
"2012-02-03" 29.129999 29.219999 28.780001 29.110001 26277200 25.256516
"2012-02-06" 29.030001 29.07 28.809999 29 16582600 25.161076
"2012-02-07" 28.91 29 28.75 28.950001 20291700 25.117695
"2012-02-08" 28.92 28.99 28.379999 28.73 29842600 24.926821
"2012-02-09" 28.85 28.9 28.35 28.889999 31795300 25.065643
"2012-02-10" 28.549999 28.639999 28.280001 28.5 30232000 24.727261
"2012-02-13" 28.59 28.67 28.35 28.43 20015200 24.666536
"2012-02-14" 28.32 28.450001 28.030001 28.24 30267900 24.501682
"2012-02-15" 28.1 28.35 27.92 27.98 34620600 24.276098
"2012-02-16" 28.16 29 28.129999 28.950001 36380600 25.117695
"2012-02-17" 29.030001 29.030001 28.639999 28.790001 34061000 24.978878
"2012-02-21" 28.799999 28.98 28.49 28.74 20612200 24.93549
"2012-02-22" 28.719999 29.08 28.5 28.549999 25207600 24.770641
"2012-02-23" 28.610001 28.879999 28.32 28.809999 25319100 24.996227
"2012-02-24" 29.059999 29.540001 28.84 29.25 24952400 25.377983
"2012-02-27" 29 29.379999 28.76 29.26 30419400 25.38666
"2012-02-28" 29.24 29.389999 29 29.389999 29889400 25.499453
"2012-02-29" 29.4 29.440001 29.02 29.25 33160700 25.377983
"2012-03-01" 29.4 29.969999 29.23 29.83 32909600 25.881201
"2012-03-02" 29.85 30.25 29.76 29.959999 28177200 25.993998
"2012-03-05" 30.24 30.42 29.92 30.24 33786600 26.236927
"2012-03-06" 29.940001 30.4 29.709999 29.940001 28971600 25.976645
"2012-03-07" 30.049999 30.280001 29.83 30.219999 23691100 26.21957
"2012-03-08" 30.4 30.440001 29.85 30.07 30927300 26.089434
"2012-03-09" 30.049999 30.290001 29.9 30.129999 30056300 26.141495
"2012-03-12" 29.719999 29.92 29.200001 29.709999 40933900 25.77709
"2012-03-13" 29.99 30.23 29.91 30.129999 32329200 26.141495
"2012-03-14" 30 30.16 29.690001 29.84 30994400 25.889883
"2012-03-15" 29.959999 30.129999 29.74 30.059999 35528500 26.080755
"2012-03-16" 30.110001 30.16 29.58 29.74 38651200 25.803118
"2012-03-19" 29.59 29.889999 29.43 29.76 32519400 25.820465
"2012-03-20" 29.700001 30.139999 29.549999 30.1 46126400 26.115465
"2012-03-21" 30.870001 31.15 29.34 29.41 94678000 25.516804
"2012-03-22" 29.33 29.33 28.559999 28.629999 59763200 24.840061
"2012-03-23" 28.690001 28.889999 28.52 28.549999 36696300 24.770641
"2012-03-26" 28.780001 29.190001 28.65 29.16 30044300 25.299892
"2012-03-27" 29.17 29.52 29 29.35 31710000 25.464741
"2012-03-28" 29.379999 29.549999 29.139999 29.360001 29405300 25.473421
"2012-03-29" 29.209999 29.58 29.1 29.299999 34035400 25.421362
"2012-03-30" 29.459999 29.49 29.040001 29.16 32006100 25.299892
"2012-04-02" 29.120001 29.68 29 29.530001 28525300 25.620922
"2012-04-03" 29.610001 29.700001 29.120001 29.389999 29995400 25.499453
"2012-04-04" 29.190001 29.48 28.93 29.16 31154000 25.299892
