"Index" "Close"
"2012-01-31" 12.33
"2012-02-01" 12.25
"2012-02-02" 12.28
"2012-02-03" 12.59
"2012-02-06" 12.5
"2012-02-07" 12.49
"2012-02-08" 12.54
"2012-02-09" 12.52
"2012-02-10" 12.5
"2012-02-13" 12.56
"2012-02-14" 12.58
"2012-02-15" 12.61
"2012-02-16" 12.7
"2012-02-17" 12.78
"2012-02-21" 12.76
"2012-02-22" 12.39
"2012-02-23" 12.53
"2012-02-24" 12.46
"2012-02-27" 12.6
"2012-02-28" 12.62
"2012-02-29" 12.59
"2012-03-01" 12.72
"2012-03-02" 12.72
"2012-03-05" 12.54
"2012-03-06" 12.34
"2012-03-07" 12.46
"2012-03-08" 12.45
"2012-03-09" 12.54
"2012-03-12" 12.56
"2012-03-13" 12.85
"2012-03-14" 12.96
"2012-03-15" 13.28
"2012-03-16" 13.3
"2012-03-19" 13.46
"2012-03-20" 13.41
"2012-03-21" 13.25
"2012-03-22" 13.2
"2012-03-23" 13.29
"2012-03-26" 13.39
"2012-03-27" 13.32
"2012-03-28" 13.35
"2012-03-29" 13.16
"2012-03-30" 13.23
"2012-04-02" 13.3
"2012-04-03" 13.48
"2012-04-04" 13.21
"2012-04-05" 13.11
"2012-04-09" 12.84
"2012-04-10" 12.5
"2012-04-11" 12.59
"2012-04-12" 12.74
"2012-04-13" 12.49
"2012-04-16" 12.73
"2012-04-17" 12.86
"2012-04-18" 12.79
"2012-04-19" 12.43
"2012-04-20" 12.41
"2012-04-23" 12.3
"2012-04-24" 12.4
"2012-04-25" 12.45
"2012-04-26" 12.52
"2012-04-27" 12.36
"2012-04-30" 12.33
"2012-05-01" 12.36
"2012-05-02" 12.39
"2012-05-03" 12.3
"2012-05-04" 12.19
"2012-05-07" 12.24
"2012-05-08" 12.19
"2012-05-09" 12.01
"2012-05-10" 12.07
"2012-05-11" 12.03
"2012-05-14" 11.92
"2012-05-15" 11.88
"2012-05-16" 11.81
"2012-05-17" 11.7
"2012-05-18" 11.65
"2012-05-21" 11.78
"2012-05-22" 11.9
"2012-05-23" 11.96
"2012-05-24" 11.93
"2012-05-25" 11.93
"2012-05-29" 11.95
"2012-05-30" 11.61
"2012-05-31" 11.63
"2012-06-01" 11.39
"2012-06-04" 11.36
"2012-06-05" 11.35
"2012-06-06" 11.4
"2012-06-07" 11.55
"2012-06-08" 11.71
"2012-06-11" 11.41
"2012-06-12" 11.48
"2012-06-13" 11.5
"2012-06-14" 11.6
"2012-06-15" 11.73
"2012-06-18" 11.7
"2012-06-19" 11.82
"2012-06-20" 11.76
"2012-06-21" 11.6
"2012-06-22" 11.73
"2012-06-25" 11.41
"2012-06-26" 11.34
"2012-06-27" 11.47
"2012-06-28" 11.46
"2012-06-29" 11.61
"2012-07-02" 11.82
"2012-07-03" 11.86
"2012-07-05" 11.83
"2012-07-06" 11.89
"2012-07-09" 11.75
"2012-07-10" 11.64
"2012-07-11" 11.84
"2012-07-12" 11.77
"2012-07-13" 12.05
"2012-07-16" 12.09
"2012-07-17" 12.21
"2012-07-18" 12.04
"2012-07-19" 11.98
"2012-07-20" 11.51
"2012-07-23" 11.37
"2012-07-24" 11.51
"2012-07-25" 11.47
"2012-07-26" 11.5
"2012-07-27" 11.62
"2012-07-30" 11.47
"2012-07-31" 11.46
"2012-08-01" 11.37
"2012-08-02" 11.35
"2012-08-03" 11.55
"2012-08-06" 11.65
"2012-08-07" 11.86
"2012-08-08" 11.94
"2012-08-09" 11.96
"2012-08-10" 11.94
"2012-08-13" 11.95
"2012-08-14" 11.91
"2012-08-15" 12.04
"2012-08-16" 12.14
"2012-08-17" 12.16
"2012-08-20" 12.16
"2012-08-21" 12.05
"2012-08-22" 12.07
"2012-08-23" 12
"2012-08-24" 12.07
"2012-08-27" 11.97
"2012-08-28" 11.94
"2012-08-29" 12.05
"2012-08-30" 11.98
"2012-08-31" 11.97
"2012-09-04" 11.97
"2012-09-05" 11.97
"2012-09-06" 12.16
"2012-09-07" 12.19
"2012-09-10" 12.04
"2012-09-11" 12.04
"2012-09-12" 12.14
"2012-09-13" 12.44
"2012-09-14" 12.45
"2012-09-17" 12.17
"2012-09-18" 12.08
"2012-09-19" 12.13
"2012-09-20" 12.09
"2012-09-21" 12
"2012-09-24" 12.16
"2012-09-25" 12.11
"2012-09-26" 12.06
"2012-09-27" 12.16
"2012-09-28" 12.14
"2012-10-01" 12.04
"2012-10-02" 12.12
"2012-10-03" 12.24
"2012-10-04" 12.44
"2012-10-05" 12.48
"2012-10-08" 12.39
"2012-10-09" 12.28
"2012-10-10" 12.18
"2012-10-11" 12.22
"2012-10-12" 12.04
"2012-10-15" 12.08
"2012-10-16" 11.95
"2012-10-17" 11.98
"2012-10-18" 12.04
"2012-10-19" 12.29
"2012-10-22" 12.42
"2012-10-23" 12.23
"2012-10-24" 12.14
"2012-10-25" 12.24
"2012-10-26" 12.15
"2012-10-31" 12.03
"2012-11-01" 12.17
"2012-11-02" 12.02
"2012-11-05" 11.94
"2012-11-06" 12.12
"2012-11-07" 11.9
"2012-11-08" 11.72
"2012-11-09" 11.6
"2012-11-12" 11.63
"2012-11-13" 11.49
"2012-11-14" 11.39
"2012-11-15" 11.63
"2012-11-16" 11.67
"2012-11-19" 11.79
"2012-11-20" 11.75
"2012-11-21" 11.69
"2012-11-23" 11.9
"2012-11-26" 12.03
"2012-11-27" 12.11
"2012-11-28" 12.06
"2012-11-29" 12.08
"2012-11-30" 12.19
"2012-12-03" 12.1
"2012-12-04" 12.1
"2012-12-05" 12.19
"2012-12-06" 12.14
"2012-12-07" 12.06
"2012-12-10" 12.16
"2012-12-11" 12.28
"2012-12-12" 12.26
"2012-12-13" 12.17
"2012-12-14" 12.16
"2012-12-17" 12.31
"2012-12-18" 12.4
"2012-12-19" 12.32
"2012-12-20" 12.34
"2012-12-21" 12.14
"2012-12-24" 12.13
"2012-12-26" 12.07
"2012-12-27" 12.07
"2012-12-28" 11.97
"2012-12-31" 12.09
"2013-01-02" 12.44
"2013-01-03" 12.48
"2013-01-04" 12.6
"2013-01-07" 12.56
"2013-01-08" 12.56
"2013-01-09" 12.57
"2013-01-10" 12.61
"2013-01-11" 12.59
"2013-01-14" 12.66
"2013-01-15" 12.66
"2013-01-16" 12.64
"2013-01-17" 12.71
"2013-01-18" 12.39
"2013-01-22" 12.54
"2013-01-23" 12.49
"2013-01-24" 12.51
"2013-01-25" 12.47
"2013-01-28" 12.51
"2013-01-29" 12.56
"2013-01-30" 12.35
"2013-01-31" 12.32
"2013-02-01" 12.51
"2013-02-04" 12.4
"2013-02-05" 12.53
"2013-02-06" 12.56
"2013-02-07" 12.52
"2013-02-08" 12.55
"2013-02-11" 12.59
"2013-02-12" 12.78
"2013-02-13" 12.86
"2013-02-14" 12.91
"2013-02-15" 12.95
"2013-02-19" 13.07
"2013-02-20" 12.99
"2013-02-21" 12.9
"2013-02-22" 12.94
"2013-02-25" 12.85
"2013-02-26" 12.87
"2013-02-27" 13.01
"2013-02-28" 13.1
"2013-03-01" 13.24
"2013-03-04" 13.21
"2013-03-05" 13.21
"2013-03-06" 13.23
"2013-03-07" 13.24
"2013-03-08" 13.29
"2013-03-11" 13.31
"2013-03-12" 13.27
"2013-03-13" 13.3
"2013-03-14" 13.43
"2013-03-15" 13.55
"2013-03-18" 13.52
"2013-03-19" 13.47
"2013-03-20" 13.49
"2013-03-21" 13.5
"2013-03-22" 13.39
"2013-03-25" 13.33
"2013-03-26" 13.43
"2013-03-27" 13.41
"2013-03-28" 13.42
"2013-04-01" 13.31
"2013-04-02" 13.11
"2013-04-03" 13.02
"2013-04-04" 13.1
"2013-04-05" 13.04
"2013-04-08" 13.17
"2013-04-09" 13.19
"2013-04-10" 13.4
"2013-04-11" 13.39
"2013-04-12" 13.3
"2013-04-15" 12.97
"2013-04-16" 13.07
"2013-04-17" 12.8
"2013-04-18" 12.76
"2013-04-19" 12.88
"2013-04-22" 12.98
"2013-04-23" 13.08
"2013-04-24" 13.11
"2013-04-25" 13.15
"2013-04-26" 13.13
"2013-04-29" 13.1
"2013-04-30" 13.16
"2013-05-01" 13.08
"2013-05-02" 13.23
"2013-05-03" 13.35
"2013-05-06" 13.57
"2013-05-07" 13.68
"2013-05-08" 13.52
"2013-05-09" 13.43
"2013-05-10" 13.51
"2013-05-13" 13.54
"2013-05-14" 13.6
"2013-05-15" 13.84
"2013-05-16" 13.8
"2013-05-17" 13.91
"2013-05-20" 14.14
"2013-05-21" 14.24
"2013-05-22" 14.02
"2013-05-23" 13.8
"2013-05-24" 13.81
"2013-05-28" 13.87
"2013-05-29" 13.87
"2013-05-30" 13.89
"2013-05-31" 13.78
"2013-06-03" 13.87
"2013-06-04" 13.77
"2013-06-05" 13.65
"2013-06-06" 13.79
"2013-06-07" 13.92
"2013-06-10" 13.98
"2013-06-11" 13.86
"2013-06-12" 13.64
"2013-06-13" 13.86
"2013-06-14" 13.76
"2013-06-17" 13.91
"2013-06-18" 14.29
"2013-06-19" 14.14
"2013-06-20" 14.25
"2013-06-21" 14.44
"2013-06-24" 14.55
"2013-06-25" 14.71
"2013-06-26" 14.82
"2013-06-27" 14.95
"2013-06-28" 14.9
"2013-07-01" 14.96
"2013-07-02" 14.99
"2013-07-03" 14.99
"2013-07-05" 15.2
"2013-07-08" 15.3
"2013-07-09" 15.3
"2013-07-10" 15.15
"2013-07-11" 15
"2013-07-12" 15.2
"2013-07-15" 15.3
"2013-07-16" 15.18
"2013-07-17" 15.3
"2013-07-18" 15.57
"2013-07-19" 15.48
"2013-07-22" 15.61
"2013-07-23" 15.55
"2013-07-24" 15.4
"2013-07-25" 15.38
"2013-07-26" 15.23
"2013-07-29" 15.17
"2013-07-30" 14.94
"2013-07-31" 15
"2013-08-01" 15.35
"2013-08-02" 15.38
"2013-08-05" 15.18
"2013-08-06" 15.02
"2013-08-07" 14.92
"2013-08-08" 14.9
"2013-08-09" 14.89
"2013-08-12" 14.92
"2013-08-13" 14.94
"2013-08-14" 14.92
"2013-08-15" 14.78
"2013-08-16" 14.93
"2013-08-19" 14.65
"2013-08-20" 14.82
"2013-08-21" 14.65
"2013-08-22" 14.91
"2013-08-23" 14.87
"2013-08-26" 14.73
"2013-08-27" 14.27
"2013-08-28" 14.28
"2013-08-29" 14.29
"2013-08-30" 14.22
"2013-09-03" 14.27
"2013-09-04" 14.4
"2013-09-05" 14.48
"2013-09-06" 14.27
"2013-09-09" 14.38
"2013-09-10" 14.37
"2013-09-11" 14.48
"2013-09-12" 14.48
"2013-09-13" 14.48
"2013-09-16" 14.57
"2013-09-17" 14.66
"2013-09-18" 14.57
"2013-09-19" 14.3
"2013-09-20" 14.31
"2013-09-23" 14.24
"2013-09-24" 14.32
"2013-09-25" 14.39
"2013-09-26" 14.39
"2013-09-27" 14.28
"2013-09-30" 14.38
"2013-10-01" 14.54
"2013-10-02" 14.57
"2013-10-03" 14.53
"2013-10-04" 14.67
"2013-10-07" 14.37
"2013-10-08" 14.27
"2013-10-09" 14.33
"2013-10-10" 14.7
"2013-10-11" 14.78
"2013-10-14" 14.85
"2013-10-15" 14.7
"2013-10-16" 14.91
"2013-10-17" 15.07
"2013-10-18" 14.37
"2013-10-21" 14.4
"2013-10-22" 14.44
"2013-10-23" 14.55
"2013-10-24" 14.56
"2013-10-25" 14.71
"2013-10-28" 14.7
"2013-10-29" 14.67
"2013-10-30" 14.53
"2013-10-31" 14.44
"2013-11-01" 14.35
"2013-11-04" 14.32
"2013-11-05" 14.23
"2013-11-06" 14.35
"2013-11-07" 14.34
"2013-11-08" 14.61
"2013-11-11" 14.62
"2013-11-12" 14.51
"2013-11-13" 14.65
"2013-11-14" 14.74
"2013-11-15" 14.75
"2013-11-18" 14.75
"2013-11-19" 14.76
"2013-11-20" 14.75
"2013-11-21" 14.82
"2013-11-22" 14.93
"2013-11-25" 15.03
"2013-11-26" 15.07
"2013-11-27" 15.2
"2013-11-29" 15.14
"2013-12-02" 15.17
"2013-12-03" 14.93
"2013-12-04" 14.91
"2013-12-05" 14.69
"2013-12-06" 14.84
"2013-12-09" 14.83
"2013-12-10" 14.75
"2013-12-11" 14.7
"2013-12-12" 14.6
"2013-12-13" 14.55
"2013-12-16" 14.67
"2013-12-17" 14.63
"2013-12-18" 14.71
"2013-12-19" 14.55
"2013-12-20" 14.64
"2013-12-23" 14.88
"2013-12-24" 14.98
"2013-12-26" 14.95
"2013-12-27" 14.99
"2013-12-30" 15
"2013-12-31" 15.12
"2014-01-02" 15.01
"2014-01-03" 15.06
"2014-01-06" 15.1
"2014-01-07" 15.15
"2014-01-08" 15.42
"2014-01-09" 15.59
"2014-01-10" 15.38
"2014-01-13" 15.41
"2014-01-14" 15.55
"2014-01-15" 15.47
"2014-01-16" 15.37
"2014-01-17" 14.85
"2014-01-21" 15.01
"2014-01-22" 15.11
"2014-01-23" 14.75
"2014-01-24" 14.58
"2014-01-27" 14.47
"2014-01-28" 14.6
"2014-01-29" 14.35
"2014-01-30" 14.42
"2014-01-31" 14.21
"2014-02-03" 13.84
"2014-02-04" 13.88
"2014-02-05" 13.86
"2014-02-06" 13.9
"2014-02-07" 13.96
"2014-02-10" 14.01
"2014-02-11" 14.05
"2014-02-12" 13.98
"2014-02-13" 14
"2014-02-14" 14.16
"2014-02-18" 14.17
"2014-02-19" 13.91
"2014-02-20" 13.99
"2014-02-21" 14.06
"2014-02-24" 14.2
"2014-02-25" 14.06
"2014-02-26" 14.14
"2014-02-27" 14.22
"2014-02-28" 14.17
"2014-03-03" 14.12
"2014-03-04" 14.33
"2014-03-05" 14.42
"2014-03-06" 14.61
"2014-03-07" 14.57
"2014-03-10" 14.52
"2014-03-11" 14.42
"2014-03-12" 14.51
"2014-03-13" 14.45
"2014-03-14" 14.41
"2014-03-17" 14.56
"2014-03-18" 14.5
"2014-03-19" 14.72
"2014-03-20" 14.9
"2014-03-21" 14.99
"2014-03-24" 14.94
"2014-03-25" 14.81
"2014-03-26" 14.65
"2014-03-27" 14.5
"2014-03-28" 14.64
"2014-03-31" 14.87
"2014-04-01" 14.92
"2014-04-02" 14.84
"2014-04-03" 14.94
"2014-04-04" 14.66
"2014-04-07" 14.64
"2014-04-08" 14.86
"2014-04-09" 14.77
"2014-04-10" 14.61
"2014-04-11" 14.61
"2014-04-14" 14.69
"2014-04-15" 14.83
"2014-04-16" 14.93
"2014-04-17" 14.54
"2014-04-21" 14.43
"2014-04-22" 14.55
"2014-04-23" 14.65
"2014-04-24" 14.54
"2014-04-25" 14.38
"2014-04-28" 14.32
"2014-04-29" 14.24
"2014-04-30" 14.28
"2014-05-01" 14.31
"2014-05-02" 14.38
"2014-05-05" 14.32
"2014-05-06" 14.18
"2014-05-07" 14.43
"2014-05-08" 14.35
"2014-05-09" 14.39
"2014-05-12" 14.56
"2014-05-13" 14.47
"2014-05-14" 14.24
"2014-05-15" 14.2
"2014-05-16" 14.08
"2014-05-19" 14.25
"2014-05-20" 14.16
"2014-05-21" 14.26
"2014-05-22" 14.42
"2014-05-23" 14.43
"2014-05-27" 14.49
"2014-05-28" 14.44
"2014-05-29" 14.38
"2014-05-30" 14.37
"2014-06-02" 14.53
"2014-06-03" 14.55
"2014-06-04" 14.47
"2014-06-05" 14.7
"2014-06-06" 14.86
"2014-06-09" 14.92
"2014-06-10" 14.91
"2014-06-11" 14.89
"2014-06-12" 14.82
"2014-06-13" 14.82
"2014-06-16" 14.81
"2014-06-17" 14.87
"2014-06-18" 14.95
"2014-06-19" 14.89
"2014-06-20" 14.95
"2014-06-23" 14.96
"2014-06-24" 14.92
"2014-06-25" 15.05
"2014-06-26" 15.07
"2014-06-27" 15.14
"2014-06-30" 15.17
"2014-07-01" 15.23
"2014-07-02" 15.13
"2014-07-03" 15.28
"2014-07-07" 15.18
"2014-07-08" 15.1
"2014-07-09" 15.08
"2014-07-10" 15.06
"2014-07-11" 15.08
"2014-07-14" 15.14
"2014-07-15" 15.18
"2014-07-16" 14.91
"2014-07-17" 14.79
"2014-07-18" 14.81
"2014-07-21" 14.88
"2014-07-22" 14.83
"2014-07-23" 14.84
"2014-07-24" 14.93
"2014-07-25" 14.98
"2014-07-28" 14.95
"2014-07-29" 14.94
"2014-07-30" 14.74
"2014-07-31" 14.52
"2014-08-01" 14.32
"2014-08-04" 14.41
"2014-08-05" 14.4
"2014-08-06" 14.54
"2014-08-07" 14.4
"2014-08-08" 14.51
"2014-08-11" 14.53
"2014-08-12" 14.53
"2014-08-13" 14.6
"2014-08-14" 14.76
"2014-08-15" 14.63
"2014-08-18" 14.71
"2014-08-19" 14.73
"2014-08-20" 14.76
"2014-08-21" 14.94
"2014-08-22" 14.88
"2014-08-25" 14.92
"2014-08-26" 14.99
"2014-08-27" 14.96
"2014-08-28" 14.94
"2014-08-29" 14.95
"2014-09-02" 15.04
"2014-09-03" 14.97
"2014-09-04" 14.91
"2014-09-05" 15
"2014-09-08" 15
"2014-09-09" 14.9
"2014-09-10" 14.95
"2014-09-11" 15.04
"2014-09-12" 15.02
"2014-09-15" 15.01
"2014-09-16" 14.89
"2014-09-17" 14.95
"2014-09-18" 14.98
"2014-09-19" 14.9
"2014-09-22" 14.72
"2014-09-23" 14.67
"2014-09-24" 14.79
"2014-09-25" 14.58
"2014-09-26" 14.61
"2014-09-29" 14.59
"2014-09-30" 14.47
"2014-10-01" 14.37
"2014-10-02" 14.47
"2014-10-03" 14.46
"2014-10-06" 14.33
