"Index" "PBOpen" "PBHigh" "PBLow" "PBClose" "PBVolume" "PBAdjusted"
"2012-01-31" 19.27 19.41 18.950001 18.969999 2800200 11.155482
"2012-02-01" 19.049999 19.26 19.02 19.16 4273000 11.267216
"2012-02-02" 19.219999 19.309999 19.059999 19.120001 2899800 11.243691
"2012-02-03" 19.379999 19.379999 19.18 19.290001 2992800 11.343662
"2012-02-06" 19.26 19.32 19.200001 19.219999 3679500 11.302497
"2012-02-07" 19.200001 19.559999 19.200001 19.49 3439200 11.461273
"2012-02-08" 19.540001 19.639999 19.41 19.5 3400100 11.467151
"2012-02-09" 19.5 19.65 19.33 19.540001 4388600 11.490676
"2012-02-10" 19.49 19.540001 18.25 18.5 9359400 10.879097
"2012-02-13" 18.700001 18.719999 18.309999 18.48 5106400 10.867334
"2012-02-14" 18.49 18.530001 18.309999 18.51 5316100 10.884977
"2012-02-15" 18.309999 18.309999 17.9 18.08 4711200 10.851964
"2012-02-16" 18.040001 18.049999 17.700001 17.700001 4359800 10.623881
"2012-02-17" 17.73 17.870001 17.620001 17.799999 4941700 10.683899
"2012-02-21" 17.860001 18.1 17.83 17.969999 4637700 10.78594
"2012-02-22" 17.85 18.040001 17.75 17.790001 2823700 10.677902
"2012-02-23" 17.75 17.889999 17.719999 17.799999 2929000 10.683899
"2012-02-24" 17.780001 18.08 17.74 18 3288800 10.803945
"2012-02-27" 17.9 18.16 17.75 18.08 2540500 10.851964
"2012-02-28" 18.1 18.1 17.85 18.059999 3140500 10.839959
"2012-02-29" 18.09 18.280001 18.049999 18.129999 3313800 10.881973
"2012-03-01" 18.200001 18.27 18.09 18.209999 2445700 10.929992
"2012-03-02" 18.17 18.379999 17.950001 18.01 2552600 10.809949
"2012-03-05" 17.950001 18.030001 17.85 17.940001 2651800 10.767931
"2012-03-06" 17.83 17.889999 17.57 17.610001 3859200 10.569858
"2012-03-07" 17.65 17.719999 17.51 17.540001 6902000 10.527844
"2012-03-08" 17.700001 17.73 17.5 17.57 2831200 10.545852
"2012-03-09" 17.6 17.950001 17.450001 17.860001 2481200 10.719916
"2012-03-12" 17.870001 18.440001 17.870001 18.389999 3742500 11.038031
"2012-03-13" 18.459999 18.549999 18.26 18.549999 2705700 11.134067
"2012-03-14" 18.469999 18.629999 18.209999 18.34 2686900 11.008018
"2012-03-15" 18.309999 18.389999 18.190001 18.379999 1661900 11.032028
"2012-03-16" 18.379999 18.389999 17.889999 18.15 3673100 10.893978
"2012-03-19" 18.120001 18.209999 17.950001 18.16 2014900 10.899981
"2012-03-20" 18.040001 18.1 17.959999 18.059999 1828500 10.839959
"2012-03-21" 18.059999 18.23 18.049999 18.23 1889500 10.941997
"2012-03-22" 18.200001 18.25 18.02 18.129999 1609400 10.881973
"2012-03-23" 18.17 18.190001 17.950001 17.99 2032300 10.797942
"2012-03-26" 18.129999 18.209999 18.030001 18.209999 1698200 10.929992
"2012-03-27" 18.200001 18.25 18.01 18.049999 3135700 10.833956
"2012-03-28" 18.049999 18.129999 17.809999 17.93 3471300 10.76193
"2012-03-29" 17.84 17.9 17.709999 17.77 2860500 10.665894
"2012-03-30" 17.809999 17.91 17.58 17.58 3565500 10.551856
"2012-04-02" 17.52 17.74 17.43 17.74 3611100 10.647888
"2012-04-03" 17.709999 17.84 17.52 17.66 2757400 10.599871
"2012-04-04" 17.57 17.58 17.360001 17.459999 3076800 10.47983
"2012-04-05" 17.42 17.49 17.120001 17.15 3707900 10.293757
"2012-04-09" 17.040001 17.219999 16.91 17.209999 2844800 10.329774
"2012-04-10" 17.15 17.24 16.530001 16.530001 4205100 9.921623
"2012-04-11" 16.690001 16.889999 16.629999 16.77 2446600 10.065677
"2012-04-12" 16.799999 17.110001 16.77 17.07 2119200 10.24574
"2012-04-13" 17 17.049999 16.639999 16.68 3037000 10.011656
"2012-04-16" 16.719999 16.83 16.610001 16.639999 2509000 9.987647
"2012-04-17" 16.700001 17.27 16.700001 17.23 3472400 10.341775
"2012-04-18" 17.129999 17.15 16.98 17.059999 1671700 10.239739
"2012-04-19" 17.049999 17.219999 16.879999 16.93 2460500 10.161711
"2012-04-20" 17 17.32 16.959999 17.24 2654200 10.347778
"2012-04-23" 17.1 17.18 16.75 16.870001 3306200 10.125701
"2012-04-24" 16.879999 17.030001 16.799999 16.950001 1691800 10.173715
