"Index" "PEOpen" "PEHigh" "PELow" "PEClose" "PEVolume" "PEAdjusted"
"2012-01-31" 65.5 65.690002 65.279999 65.669998 5834300 49.369564
"2012-02-01" 65.989998 66.5 65.860001 66.379997 6351200 49.903316
"2012-02-02" 66.599998 66.699997 66.199997 66.400002 5124100 49.918362
"2012-02-03" 66.879997 66.900002 66.300003 66.660004 6295300 50.113819
"2012-02-06" 66.419998 66.760002 66.129997 66.519997 4917700 50.00856
"2012-02-07" 66.269997 66.980003 66.139999 66.760002 5597800 50.188995
"2012-02-08" 66.82 66.919998 66.470001 66.739998 6021900 50.173969
"2012-02-09" 64.860001 64.900002 63.810001 64.269997 25593100 48.317062
"2012-02-10" 64.120003 64.190002 63.630001 63.950001 10702500 48.076481
"2012-02-13" 64.010002 64.190002 63.380001 63.689999 9295900 47.88102
"2012-02-14" 63.52 63.98 63.290001 63.52 12623200 47.753223
"2012-02-15" 63.34 63.599998 62.919998 63.07 9099000 47.414917
"2012-02-16" 63.200001 63.299999 62.73 62.73 11449400 47.159321
"2012-02-17" 62.57 62.759998 62.330002 62.68 14646300 47.121731
"2012-02-21" 63.049999 63.389999 62.970001 63.139999 6581800 47.467545
"2012-02-22" 63.16 63.290001 63 63.099998 5506300 47.437473
"2012-02-23" 63.18 63.240002 62.830002 63.130001 19031400 47.460026
"2012-02-24" 63.150002 63.52 63.150002 63.310001 16088000 47.595364
"2012-02-27" 63.18 63.75 63.049999 63.32 25483800 47.602871
"2012-02-28" 63.529999 63.689999 63.029999 63.32 6407500 47.602871
"2012-02-29" 62.900002 63.130001 62.810001 62.939999 7013800 47.705189
"2012-03-01" 63.049999 63.049999 62.439999 62.549999 7660300 47.409592
"2012-03-02" 62.540001 62.68 62.400002 62.52 6011800 47.38686
"2012-03-05" 62.5 62.98 62.43 62.790001 5646600 47.591492
"2012-03-06" 62.349998 62.82 62.220001 62.279999 7231200 47.204945
"2012-03-07" 62.330002 62.740002 62.150002 62.619999 7509000 47.462643
"2012-03-08" 62.900002 63.119999 62.73 62.950001 4398300 47.712772
"2012-03-09" 62.959999 63.32 62.900002 63.150002 4096100 47.864365
"2012-03-12" 63.310001 64.050003 63.009998 63.939999 8098100 48.463139
"2012-03-13" 64.309998 64.57 64.110001 64.339996 7450800 48.766312
"2012-03-14" 64.199997 64.629997 63.950001 64.059998 6930200 48.554089
"2012-03-15" 64 64.339996 63.799999 64.169998 4734500 48.637451
"2012-03-16" 64.230003 64.5 64.18 64.470001 8870500 48.864845
"2012-03-19" 64.32 64.879997 64.269997 64.730003 6555900 49.061924
"2012-03-20" 64.400002 65.559998 64.330002 65.279999 7676400 49.478779
"2012-03-21" 65.279999 65.580002 65.050003 65.360001 6555500 49.539429
"2012-03-22" 65.139999 65.559998 65.029999 65.389999 5149000 49.562164
"2012-03-23" 65.449997 65.760002 65.279999 65.300003 5356000 49.493946
"2012-03-26" 65.470001 65.800003 65.449997 65.779999 5211800 49.857765
"2012-03-27" 65.849998 66.190002 65.610001 66.010002 5274800 50.032097
"2012-03-28" 65.949997 66.029999 65.599998 65.93 5833300 49.971443
"2012-03-29" 65.849998 66.019997 65.529999 66.019997 6320700 50.039665
