"Index" "Close"
"2012-01-31" 7.45
"2012-02-01" 7.83
"2012-02-02" 7.75
"2012-02-03" 8.3
"2012-02-06" 8.26
"2012-02-07" 8.37
"2012-02-08" 8.65
"2012-02-09" 9.07
"2012-02-10" 8.79
"2012-02-13" 9.09
"2012-02-14" 9.08
"2012-02-15" 9.03
"2012-02-16" 8.87
"2012-02-17" 8.91
"2012-02-21" 8.59
"2012-02-22" 8.33
"2012-02-23" 8.73
"2012-02-24" 8.49
"2012-02-27" 8.53
"2012-02-28" 8.3
"2012-02-29" 8.82
"2012-03-01" 8.59
"2012-03-02" 8.46
"2012-03-05" 8.43
"2012-03-06" 8.17
"2012-03-07" 8.5
"2012-03-08" 8.92
"2012-03-09" 9.02
"2012-03-12" 9.06
"2012-03-13" 9.48
"2012-03-14" 9.34
"2012-03-15" 9.61
"2012-03-16" 9.29
"2012-03-19" 9.16
"2012-03-20" 9.21
"2012-03-21" 9.39
"2012-03-22" 9.12
"2012-03-23" 8.88
"2012-03-26" 8.79
"2012-03-27" 9.06
"2012-03-28" 9.48
"2012-03-29" 9.26
"2012-03-30" 8.85
"2012-04-02" 8.67
"2012-04-03" 8.64
"2012-04-04" 8.48
"2012-04-05" 8.26
"2012-04-09" 8.23
"2012-04-10" 7.69
"2012-04-11" 8.39
"2012-04-12" 8.66
"2012-04-13" 8.54
"2012-04-16" 8.43
"2012-04-17" 8.65
"2012-04-18" 8.37
"2012-04-19" 8.23
"2012-04-20" 8.37
"2012-04-23" 8.22
"2012-04-24" 8.6
"2012-04-25" 8.7
"2012-04-26" 9.58
"2012-04-27" 10.07
"2012-04-30" 9.84
"2012-05-01" 10.03
"2012-05-02" 10.27
"2012-05-03" 10.06
"2012-05-04" 9.94
"2012-05-07" 10
"2012-05-08" 9.61
"2012-05-09" 9.86
"2012-05-10" 9.68
"2012-05-11" 9.84
"2012-05-14" 9.56
"2012-05-15" 9.73
"2012-05-16" 9.49
"2012-05-17" 8.68
"2012-05-18" 8.49
"2012-05-21" 8.86
"2012-05-22" 9.08
"2012-05-23" 9.3
"2012-05-24" 9.4
"2012-05-25" 9.33
"2012-05-29" 9.52
"2012-05-30" 9.19
"2012-05-31" 9.36
"2012-06-01" 8.26
"2012-06-04" 7.7
"2012-06-05" 8.16
"2012-06-06" 8.76
"2012-06-07" 8.88
"2012-06-08" 8.98
"2012-06-11" 8.41
"2012-06-12" 8.58
"2012-06-13" 8.41
"2012-06-14" 8.85
"2012-06-15" 9.02
"2012-06-18" 9.33
"2012-06-19" 9.61
"2012-06-20" 9.53
"2012-06-21" 9.14
"2012-06-22" 9.39
"2012-06-25" 9.23
"2012-06-26" 9.72
"2012-06-27" 9.88
"2012-06-28" 9.98
"2012-06-29" 10.7
"2012-07-02" 10.91
"2012-07-03" 10.85
"2012-07-05" 11.13
"2012-07-06" 11.1
"2012-07-09" 11.09
"2012-07-10" 10.79
"2012-07-11" 10.54
