"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 57.869999 58.200001 56.91 57.240002 4575900 39.768051
"2012-02-01" 57.900002 58.860001 57.5 58.330002 2573300 40.525337
"2012-02-02" 58.34 58.59 57.900002 58.32 2415400 40.518406
"2012-02-03" 59 59.970001 58.990002 59.869999 4234800 41.59528
"2012-02-06" 59.34 60 59.110001 59.990002 2993000 41.678642
"2012-02-07" 59.599998 60.68 59.450001 60.43 2594400 41.984341
"2012-02-08" 60.369999 60.779999 59.869999 60.540001 3721600 42.060764
"2012-02-09" 60.830002 61.23 58.299999 59.849998 4591000 41.581375
"2012-02-10" 59.02 59.200001 58.509998 59 2773700 40.990829
"2012-02-13" 59.150002 60.509998 59.150002 60.169998 3685900 41.803703
"2012-02-14" 59.869999 60.139999 58.48 59.41 3059600 41.2757
"2012-02-15" 59.759998 60.619999 59.73 60.200001 3592400 41.824554
"2012-02-16" 60.040001 60.919998 59.75 60.919998 2804800 42.324772
"2012-02-17" 61.049999 61.5 60.77 61.389999 2924700 42.65131
"2012-02-21" 61.5 61.740002 61.049999 61.360001 2780200 42.630466
"2012-02-22" 61.360001 61.59 60.689999 60.830002 2441900 42.262238
"2012-02-23" 60.830002 61.32 60.380001 61.240002 1996500 42.547085
"2012-02-24" 61.119999 61.57 60.66 61.09 2374800 42.442879
"2012-02-27" 60.419998 60.82 60.169998 60.619999 3155000 42.116344
"2012-02-28" 60.759998 61.419998 60.450001 61.310001 2266300 42.595726
"2012-02-29" 61.5 62.029999 61.049999 61.16 3408500 42.491524
"2012-03-01" 61.360001 62.689999 61.27 62.009998 3139100 43.082058
"2012-03-02" 61.990002 62.119999 61.139999 61.34 1825200 42.616573
"2012-03-05" 61.150002 62.150002 60.900002 61.529999 2285400 42.748573
"2012-03-06" 60.490002 60.490002 59.580002 59.75 3210800 41.511902
"2012-03-07" 60 60.939999 59.73 60.779999 2374500 42.227493
"2012-03-08" 61.220001 61.970001 60.779999 61.880001 2576600 42.991741
"2012-03-09" 62.369999 62.599998 61.75 61.970001 3093600 43.054268
"2012-03-12" 61.77 61.880001 60.900002 61.220001 2642200 42.533199
"2012-03-13" 61.759998 63.110001 61.57 63.07 3326100 43.818497
"2012-03-14" 61.990002 62.59 60.439999 61.580002 5207900 42.783314
"2012-03-15" 61.860001 63.549999 61.299999 63.240002 4668700 43.936619
"2012-03-16" 63.459999 64.580002 63.34 63.709999 3365100 44.263157
"2012-03-19" 63.799999 64.5 63.700001 64.110001 2380600 44.541054
"2012-03-20" 63.459999 64.760002 62.93 64.650002 3809700 44.916225
"2012-03-21" 64.830002 65.169998 63.810001 63.889999 3036000 44.388218
"2012-03-22" 63.419998 63.560001 62.599998 62.880001 3192000 43.686508
"2012-03-23" 62.98 63.279999 62.580002 62.990002 3936500 43.762932
"2012-03-26" 63.849998 64.160004 63.610001 64.050003 2626900 44.499367
"2012-03-27" 64.25 64.489998 63.549999 63.549999 3010700 44.151989
