"Index" "ROpen" "RHigh" "RLow" "RClose" "RVolume" "RAdjusted"
"2012-01-31" 151.910004 153.119995 151.160004 152 905600 129.552917
"2012-02-01" 152.860001 154.660004 152.25 153.910004 1269800 131.180847
"2012-02-02" 153.169998 156 152.449997 153 667700 130.405228
"2012-02-03" 154.720001 156.869995 154 155.970001 797500 132.936584
"2012-02-06" 155.580002 157.809998 154.479996 157.410004 881200 134.163925
"2012-02-07" 157 158 154.509995 157.070007 1257900 133.874191
"2012-02-08" 170.710007 178.470001 170.020004 171.490005 5736700 146.164658
"2012-02-09" 171.600006 175.979996 168.199997 172.539993 2000900 147.059601
"2012-02-10" 169.949997 174.100006 169.949997 172.600006 1274700 147.110687
"2012-02-13" 173.050003 174.490005 171.259995 172.369995 853500 146.914642
"2012-02-14" 171.270004 174.869995 171 174.779999 891500 148.968719
"2012-02-15" 175 176 172.360001 172.619995 1022500 147.127762
"2012-02-16" 173.990005 176.470001 173.050003 174.429993 881400 148.670471
"2012-02-17" 174.990005 176.729996 173.960007 174.470001 643300 148.704544
"2012-02-21" 174.559998 174.970001 170.919998 172.580002 620500 147.093674
"2012-02-22" 172.089996 172.899994 171.289993 171.509995 896300 146.181686
"2012-02-23" 171.710007 173.850006 171.520004 173.240005 688900 147.656219
"2012-02-24" 173.479996 173.710007 172.339996 173.320007 567100 147.72435
"2012-02-27" 171.860001 176.25 171.25 174.460007 633500 148.69606
"2012-02-28" 174.339996 175.139999 172.949997 174.699997 419100 148.900574
"2012-02-29" 175.279999 176.100006 173.5 173.729996 643400 148.073822
"2012-03-01" 174.869995 178.309998 174.770004 177.910004 706000 151.636536
"2012-03-02" 177.5 178.190002 175.979996 176.610001 521900 150.528488
"2012-03-05" 176.199997 177.949997 175.110001 176.779999 543000 150.673416
"2012-03-06" 174.389999 174.389999 169.589996 170.509995 1362600 145.32933
"2012-03-07" 172.479996 172.740005 170.679993 171.339996 797700 146.036789
"2012-03-08" 172.839996 174.699997 172.149994 173.779999 662500 148.116501
"2012-03-09" 174.169998 177.380005 173.669998 176.389999 527800 150.340988
"2012-03-12" 176.949997 178.929993 176.190002 177.639999 516500 151.406357
"2012-03-13" 178.889999 180.169998 176.360001 179.869995 622000 153.307083
"2012-03-14" 181.380005 182.479996 177.779999 178.529999 730200 152.165009
"2012-03-15" 177.740005 178.710007 176.309998 178.050003 622100 151.755844
"2012-03-16" 178.050003 178.5 176.559998 177.75 744800 151.500153
"2012-03-19" 177.770004 177.990005 174.899994 176.600006 572800 150.52002
