"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 58.32 58.549999 56.580002 57.52 2782300 55.453377
"2012-02-01" 57.84 59.060001 56.810001 58.529999 3155400 56.427097
"2012-02-02" 58.560001 60.139999 58.169998 58.380001 2566600 56.282486
"2012-02-03" 59.09 59.389999 58.32 59.200001 1815600 57.073017
"2012-02-06" 59.09 60.98 58.25 60.810001 2199000 58.625175
"2012-02-07" 60.759998 62.490002 59.73 62.23 2494600 59.99416
"2012-02-08" 61.98 62.75 60.959999 61.68 2390700 59.463917
"2012-02-09" 62.060001 63.93 61.959999 63.349998 2558700 61.073917
"2012-02-10" 61.639999 63.23 61.580002 62.82 1987700 60.562965
"2012-02-13" 63.509998 63.66 62.330002 63.290001 1839400 61.016083
"2012-02-14" 63.34 63.639999 62.560001 63.25 1614800 60.977509
"2012-02-15" 63.689999 64.25 62.639999 63.110001 2130000 60.842548
"2012-02-16" 63.150002 63.84 62.450001 63.369999 2407300 61.093197
"2012-02-17" 64.419998 65.919998 64.209999 65.720001 2743900 63.358761
"2012-02-21" 66.209999 66.629997 63.810001 64.269997 3038100 61.960861
"2012-02-22" 66.089996 68.5 65.330002 66.099998 4904400 63.725098
"2012-02-23" 66.150002 66.449997 64.779999 66.07 2124100 63.696209
"2012-02-24" 66.110001 66.949997 65.739998 65.940002 2008600 63.570858
"2012-02-27" 65.019997 65.120003 63.93 64.099998 2219800 61.796978
"2012-02-28" 64.080002 64.290001 63 63.720001 2560200 61.43063
"2012-02-29" 63.860001 64.190002 62.66 63.68 2382600 61.392063
"2012-03-01" 63.700001 64.940002 62.709999 64.599998 2113300 62.279015
"2012-03-02" 64.18 64.529999 62.380001 62.75 1499400 60.495476
"2012-03-05" 62.68 63.700001 62.299999 63.48 2372700 61.199245
"2012-03-06" 62.259998 62.77 61.5 62.560001 2710400 60.31229
"2012-03-07" 62.549999 63.459999 61.509998 63.349998 2507800 61.073917
"2012-03-08" 63.740002 64.699997 63.509998 64.290001 1274500 61.980148
