"Index" "SHOpen" "SHHigh" "SHLow" "SHClose" "SHVolume" "SHAdjusted"
"2012-01-31" 32.52 32.933334 31.976667 32.509998 3062400 29.399738
"2012-02-01" 32.626667 32.689999 32.07 32.506668 4553400 29.396727
"2012-02-02" 32.52 32.626667 32.273335 32.299999 2966700 29.20982
"2012-02-03" 32.603333 32.880001 32.52 32.59 3700200 29.472082
"2012-02-06" 32.536667 32.66 32.32 32.580002 2125200 29.463043
"2012-02-07" 32.573334 33.073334 32.5 32.826668 2116200 29.686106
"2012-02-08" 32.753334 33.099998 32.696667 32.986668 1960500 29.830797
"2012-02-09" 33.026669 33.243332 32.826668 33.166668 2112900 29.993576
"2012-02-10" 32.869999 32.966667 32.603333 32.790001 3733200 29.652948
"2012-02-13" 32.98 33.16 32.763332 33.049999 2312100 29.888081
"2012-02-14" 32.943333 33.333332 32.936668 33.266666 2897700 30.084013
"2012-02-15" 33.299999 33.316666 32.946667 33.073334 2544300 29.909172
"2012-02-16" 33.033333 33.330002 32.966667 33.246666 1649700 30.065931
"2012-02-17" 33.333332 33.486668 33.189999 33.439999 2585400 30.240757
"2012-02-21" 33.426666 33.796665 33.330002 33.526669 2069700 30.319134
"2012-02-22" 33.546665 33.623333 33.173332 33.323334 2136000 30.135254
"2012-02-23" 33.206669 33.663334 33.033333 33.653332 2675400 30.552881
"2012-02-24" 33.656666 33.733334 33.533333 33.686668 2670600 30.583147
"2012-02-27" 33.419998 34.523335 33.333332 34.443333 4038600 31.270094
"2012-02-28" 34.446667 34.496666 33.903332 34.123333 2307900 30.979576
"2012-02-29" 34.156666 34.439999 34.056667 34.383331 3256200 31.215618
"2012-03-01" 34.413334 34.540001 34.273335 34.52 2318400 31.339695
"2012-03-02" 34.466667 34.543331 34.09 34.146667 2001000 31.000753
"2012-03-05" 34.080002 34.563332 34.080002 34.23 2869800 31.076414
"2012-03-06" 33.953335 34.459999 33.933334 34.366669 4324500 31.200495
"2012-03-07" 34.453335 35.52 34.273335 35.383331 6035700 32.123489
"2012-03-08" 35.496666 35.496666 34.943333 35.150002 5408700 31.911663
"2012-03-09" 35.299999 35.473331 35.119999 35.343334 3693000 32.087185
"2012-03-12" 35.506668 36.009998 35.203335 35.669998 3264600 32.383759
"2012-03-13" 35.799999 35.916668 35.666668 35.746666 3444000 32.453362
"2012-03-14" 35.673332 35.810001 35.533333 35.73 3624000 32.438225
"2012-03-15" 35.796665 35.970001 35.523335 35.953335 2784900 32.640972
"2012-03-16" 36 36.080002 35.52 35.546665 3563700 32.271786
"2012-03-19" 35.549999 35.963333 35.346668 35.856667 2912700 32.553219
"2012-03-20" 35.736668 35.799999 35.493332 35.723331 1680000 32.432152
"2012-03-21" 35.776669 35.863335 35.59 35.689999 1301100 32.40189
"2012-03-22" 35.573334 35.84 35.403332 35.756668 2231400 32.46244
"2012-03-23" 35.603333 35.963333 35.193333 35.866669 2171100 32.562302
"2012-03-26" 35.98 36.553333 35.810001 36.533333 2059200 33.167553
"2012-03-27" 36.619999 36.93 36.446667 36.533333 2842200 33.167553
"2012-03-28" 36.52 36.653332 35.913334 36.119999 2477700 32.792294
"2012-03-29" 36 36.43 35.986668 36.403332 3154800 33.049519
"2012-03-30" 36.536667 36.643333 36.096668 36.223331 3410100 32.886101
"2012-04-02" 35.816666 36.676666 35.763332 36.603333 3109200 33.231091
"2012-04-03" 36.626667 36.626667 36.213333 36.466667 2090700 33.107033
"2012-04-04" 36.206669 36.666668 36.09 36.643333 2333700 33.267414
"2012-04-05" 36.843334 38.146667 36.843334 36.923332 7194600 33.521633
"2012-04-09" 37.846668 38.060001 37.049999 37.276669 7335300 33.8424
"2012-04-10" 37.273335 37.276669 36.32 36.330002 4028700 32.982941
"2012-04-11" 36.759998 38.423332 36.669998 38.273335 8599200 34.747242
"2012-04-12" 38.303333 38.666668 37.900002 38.526669 4012500 34.977249
"2012-04-13" 38.476665 39.033333 38.456669 38.873333 3287700 35.291969
"2012-04-16" 39.220001 39.286667 38.643333 39.123333 3568800 35.518929
"2012-04-17" 39.306667 39.48 39 39.196667 2695200 35.58551
"2012-04-18" 39.063332 39.233334 38.883331 39.049999 2941800 35.452362
"2012-04-19" 39.09 39.34 38.27 38.91 3171000 35.325245
"2012-04-20" 38.963333 39.706669 38.963333 39.463333 3128400 35.827602
"2012-04-23" 39.116669 39.393333 38.783333 39.34 2481600 35.715641
"2012-04-24" 39.253334 39.77 39.196667 39.386665 2893200 35.758003
"2012-04-25" 39.709999 40.333332 39.57 40.099998 2894100 36.405605
"2012-04-26" 40 40.529999 39.806667 40.150002 3582900 36.451015
"2012-04-27" 40.32 40.639999 40.189999 40.330002 4094700 36.614426
"2012-04-30" 40.169998 40.363335 39.953335 40.093334 2455800 36.39957
"2012-05-01" 40.220001 40.706669 39.983334 40.196667 3023400 36.493382
"2012-05-02" 39.976665 40.630001 39.976665 40.513332 3262200 36.780869
"2012-05-03" 40.59 41.09 40.433334 40.633331 3175200 36.889805
"2012-05-04" 40.493332 40.493332 40.169998 40.369999 3246600 36.650738
"2012-05-07" 40.32 40.596668 40.143333 40.543331 2364600 36.808109
"2012-05-08" 40.276669 41.116669 39.946667 40.993332 6159000 37.216652
"2012-05-09" 40.723331 41.490002 40.466667 41.333332 5094600 37.525318
"2012-05-10" 41.483334 41.733334 40.906666 40.990002 5699700 37.213623
"2012-05-11" 40.863335 41.096668 40.726665 40.906666 4583100 37.137966
"2012-05-14" 40.66 40.856667 39.993332 40.18 5066400 36.478249
"2012-05-15" 40.093334 40.133331 39.253334 39.476665 8782800 35.839718
"2012-05-16" 39.849998 39.873333 39.25 39.343334 3664200 35.836681
"2012-05-17" 39.41 39.41 38.226665 38.523335 5698800 35.089756
"2012-05-18" 38.666668 39.056667 38.603333 38.689999 6457800 35.241577
"2012-05-21" 38.623333 39.703335 38.560001 39.606667 3790800 36.076553
"2012-05-22" 39.766666 40.099998 39.566666 39.713333 3987900 36.173702
"2012-05-23" 39.713333 41.666668 39.57 41.433334 7500000 37.740402
"2012-05-24" 41.503334 41.84 41.236668 41.776669 5476200 38.053135
"2012-05-25" 41.516666 42.143333 41.516666 42.103333 3315000 38.350685
"2012-05-29" 42.376667 43.18 42.303333 43.156666 4095600 39.310127
"2012-05-30" 42.783333 42.936668 42.119999 42.5 3945000 38.711994
"2012-05-31" 42.596668 43.416668 42.086666 43.213333 4307700 39.361744
"2012-06-01" 42.596668 42.740002 41.523335 41.536667 7753500 37.834518
"2012-06-04" 41.576668 42.016666 41.013332 41.956669 4565700 38.217094
"2012-06-05" 41.880001 42.853333 41.580002 42.759998 4316100 38.948803
"2012-06-06" 42.203335 43.003334 42.07 42.943333 8616900 39.11581
"2012-06-07" 43.16 43.813332 43.043331 43.356667 4835400 39.492306
"2012-06-08" 43.246666 44.153332 43.023335 43.806667 4597800 39.902199
"2012-06-11" 44.143333 44.166668 43.360001 43.403332 2819400 39.534813
"2012-06-12" 43.556667 44.41 43.470001 44.336666 4389900 40.384953
"2012-06-13" 43.700001 43.833332 43.266666 43.330002 5910600 39.468018
"2012-06-14" 43.433334 43.653332 42.666668 43.106667 5699100 39.264587
"2012-06-15" 43.346668 43.463333 43.110001 43.18 4531200 39.331387
"2012-06-18" 43.083332 44.193333 42.939999 44.093334 2868600 40.163315
"2012-06-19" 44.366669 44.656666 43.900002 43.946667 4539900 40.029716
"2012-06-20" 43.990002 44 43.166668 43.503334 2958300 39.625908
"2012-06-21" 43.5 43.540001 42.060001 42.130001 4782900 38.374973
"2012-06-22" 42.259998 42.776669 41.876667 42.623333 3044400 38.824329
"2012-06-25" 42.456669 42.493332 41.799999 42.453335 3208800 38.669483
"2012-06-26" 42.586666 43.713333 42.553333 43.433334 3317400 39.562141
"2012-06-27" 43.526669 43.740002 42.986668 43.163334 2825400 39.316212
"2012-06-28" 42.916668 43.453335 42.476665 43.383331 3548400 39.516598
"2012-06-29" 44.040001 44.126667 43.563332 44.116669 3109800 40.184566
"2012-07-02" 44.099998 44.333332 43.279999 44.086666 3282300 40.157234
"2012-07-03" 44.083332 44.18 43.593334 44.163334 1162800 40.227066
"2012-07-05" 44.083332 44.473331 43.790001 44.330002 2236500 40.378899
"2012-07-06" 44.106667 44.356667 43.756668 44.273335 2483400 40.327267
"2012-07-09" 44 44 42.830002 43.400002 3166500 39.531765
"2012-07-10" 43.48 44.083332 43 43.27 3743700 39.413357
"2012-07-11" 43.326668 43.366669 42.5 42.709999 3289500 38.903271
"2012-07-12" 42.593334 43.189999 42.243332 42.950001 3019200 39.121887
"2012-07-13" 43.173332 43.709999 43.123333 43.380001 3771600 39.513561
"2012-07-16" 43.049999 43.443333 42.32 42.41 5190300 38.630013
"2012-07-17" 42.766666 43.02 42.303333 42.906666 4159200 39.082413
"2012-07-18" 42.713333 42.943333 42.369999 42.549999 5592600 38.757549
"2012-07-19" 41.166668 44.169998 40.93 44.143333 14193000 40.208855
"2012-07-20" 43.863335 44.323334 43.466667 43.856667 6683100 39.947739
"2012-07-23" 43.166668 43.933334 42.896667 43.716667 2590500 39.820225
"2012-07-24" 43.716667 43.950001 43.426666 43.846668 2399700 39.938637
"2012-07-25" 43.959999 44.09 42.639999 43.203335 3771600 39.352631
"2012-07-26" 43.759998 44.633331 43.733334 44.389999 4981200 40.433525
"2012-07-27" 44.543331 45.333332 44.263332 45.080002 3744300 41.062042
"2012-07-30" 45.119999 45.386665 44.963333 45.146667 1773600 41.122765
"2012-07-31" 45.009998 45.173332 44.599998 44.783333 1848900 40.791813
"2012-08-01" 44.876667 45.233334 44.293331 44.486668 1781700 40.521591
"2012-08-02" 44.336666 44.91 44.096668 44.790001 1751700 40.797894
"2012-08-03" 45.266666 45.616669 45.136665 45.360001 2300400 41.317081
"2012-08-06" 45.556667 45.556667 44.990002 45.136665 1512000 41.113647
"2012-08-07" 45.643333 46.32 45.606667 46.259998 4623900 42.136871
"2012-08-08" 46.096668 47.056667 46 46.933334 4160700 42.750175
"2012-08-09" 46.986668 47.43 46.723331 47.043331 4110600 42.85038
"2012-08-10" 46.916668 47.146667 46.536667 47.146667 1633500 42.944511
"2012-08-13" 46.996666 47.163334 46.686668 46.993332 1941000 42.804832
"2012-08-14" 46.923332 47.186668 46.779999 47.119999 1932900 42.920212
"2012-08-15" 47.066666 47.139999 46 46.123333 3142200 42.128605
"2012-08-16" 46.119999 46.533333 46.113335 46.376667 3336300 42.359997
"2012-08-17" 46.853333 47.146667 46.849998 46.889999 1631700 42.828869
"2012-08-20" 46.889999 46.926666 46.220001 46.623333 2080500 42.585304
"2012-08-21" 46.633331 46.786667 45.766666 45.933334 4181400 41.955067
"2012-08-22" 45.633331 46.466667 45.5 46.456669 4053600 42.433075
"2012-08-23" 46.43 46.976665 46.246666 46.603333 2242200 42.567039
"2012-08-24" 46.66 47.793331 46.506668 47.543331 4652100 43.425621
"2012-08-27" 47.446667 47.720001 47.233334 47.533333 2373000 43.416489
"2012-08-28" 47.456669 47.693333 47.143333 47.503334 1805400 43.389091
"2012-08-29" 47.553333 48.299999 47.509998 48.176666 2242800 44.004101
"2012-08-30" 48.119999 48.130001 47.333332 47.333332 2341200 43.233803
"2012-08-31" 47.646667 47.976665 47.506668 47.693333 2079900 43.562626
"2012-09-04" 47.723331 47.976665 47.296665 47.713333 1533000 43.580883
"2012-09-05" 47.816666 47.953335 47.233334 47.343334 1582500 43.242939
"2012-09-06" 47.666668 48.220001 47.436668 48.053333 1946100 43.891453
"2012-09-07" 47.506668 48.303333 47.503334 47.743332 1790100 43.608292
"2012-09-10" 47.726665 48.276669 47.693333 47.916668 1778400 43.766609
"2012-09-11" 47.889999 47.973331 47.283333 47.283333 1957800 43.188137
"2012-09-12" 47.470001 48.253334 47.266666 48.016666 1953600 43.85796
"2012-09-13" 48.080002 48.799999 47.583332 48.563332 2472900 44.357273
"2012-09-14" 48.536667 48.833332 48.209999 48.740002 3344700 44.518646
"2012-09-17" 48.743332 48.790001 48.353333 48.669998 1245900 44.454712
"2012-09-18" 48.746666 48.746666 48.316666 48.496666 1290300 44.296394
"2012-09-19" 48.619999 50.139999 48.426666 49.683334 3845700 45.380276
"2012-09-20" 49.59 49.639999 49.09 49.363335 2028600 45.087986
"2012-09-21" 49.636665 50.266666 49.546665 50.02 2860500 45.68779
"2012-09-24" 50.023335 50.083332 49.566666 49.799999 2233800 45.48682
"2012-09-25" 49.903332 50.220001 49.243332 49.276669 2291400 45.008827
"2012-09-26" 49.243332 49.573334 48.723331 48.77 2762700 44.546043
"2012-09-27" 48.866669 49.836666 48.833332 49.576668 2103600 45.282871
