"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 78.540001 79.120003 78.209999 78.779999 603700 60.70385
"2012-02-01" 79.089996 80 79.089996 79.599998 498100 61.335739
"2012-02-02" 79.68 80.110001 79.489998 79.739998 338700 61.443604
"2012-02-03" 80.339996 80.379997 79.410004 79.559998 275600 61.304905
"2012-02-06" 79.160004 80.239998 79.150002 79.519997 285800 61.274067
"2012-02-07" 79.5 79.690002 79.129997 79.32 267900 61.119961
"2012-02-08" 78.970001 79.269997 78.629997 78.800003 543600 61.088959
"2012-02-09" 78.790001 79.279999 78.599998 79.209999 501700 61.406799
"2012-02-10" 78.720001 79.059998 78.440002 78.839996 310500 61.119953
"2012-02-13" 79.199997 79.440002 78.889999 79.290001 405700 61.468834
"2012-02-14" 79.190002 79.5 78.849998 79.419998 338100 61.569626
"2012-02-15" 79.760002 79.959999 77.739998 78.150002 770000 60.585072
"2012-02-16" 72.230003 72.620003 70.5 71.599998 4812500 55.507229
"2012-02-17" 72.080002 73.5 72.080002 73.07 2799800 56.646832
"2012-02-21" 73.150002 73.230003 72.260002 72.43 1569800 56.150677
"2012-02-22" 72.110001 72.669998 71.809998 72.669998 1070200 56.336742
"2012-02-23" 72.739998 73.849998 72.650002 73.739998 788300 57.166248
"2012-02-24" 73.769997 74.800003 73.199997 74.739998 1285600 57.941467
"2012-02-27" 74.379997 74.940002 74.089996 74.790001 936000 57.980247
"2012-02-28" 74.82 75.230003 74.389999 74.400002 1018700 57.67791
"2012-02-29" 74.379997 75.599998 74 75.32 1002600 58.391129
"2012-03-01" 75.400002 76.059998 74.959999 75.849998 1174400 58.802002
"2012-03-02" 75.989998 76.349998 75.610001 76.349998 842400 59.189632
"2012-03-05" 76.169998 76.480003 75.949997 76.480003 794800 59.290405
"2012-03-06" 75.919998 76.120003 74.839996 74.870003 949000 58.042259
"2012-03-07" 75.25 75.5 74.550003 75.169998 1129700 58.27483
"2012-03-08" 75.5 75.699997 74.879997 75.57 732000 58.584942
"2012-03-09" 75.510002 75.629997 74.93 75.440002 538100 58.48415
"2012-03-12" 74.82 75.760002 74.519997 75.459999 855600 58.49966
"2012-03-13" 75.610001 76.339996 75.349998 76.290001 530500 59.143124
"2012-03-14" 76.099998 76.389999 75.769997 75.989998 659100 58.910542
"2012-03-15" 76.410004 77.769997 76.160004 77.760002 1082100 60.282722
"2012-03-16" 77.709999 78.290001 77.419998 78.080002 1139100 60.530788
"2012-03-19" 77.699997 78.730003 77.489998 78.550003 732900 60.895164
"2012-03-20" 78 79.230003 77.790001 79.120003 779400 61.33704
"2012-03-21" 79 79.550003 78.449997 79.190002 978300 61.391304
"2012-03-22" 78.879997 79.519997 78.540001 79.5 756900 61.631634
"2012-03-23" 79.589996 80.239998 79.5 80 754800 62.019241
"2012-03-26" 80.309998 80.730003 79.940002 80.190002 637400 62.166531
"2012-03-27" 80.07 80.669998 80.07 80.639999 492700 62.515411
