"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 56.66 56.779999 56 56.509998 507000 46.231979
"2012-02-01" 56.900002 57.720001 56.720001 57.060001 529100 46.681946
"2012-02-02" 58.48 58.650002 56.52 58.189999 584300 47.606422
"2012-02-03" 59 59.970001 58.130001 59.59 413100 48.751789
"2012-02-06" 59.34 60 59.25 59.799999 670500 48.923584
"2012-02-07" 59.52 60.169998 59.52 59.84 540400 48.956341
"2012-02-08" 59.93 60.189999 59.470001 60 251800 49.087234
"2012-02-09" 60.07 61.02 59.849998 60.73 409900 49.68446
"2012-02-10" 60 61 59.779999 60.98 492300 49.888981
"2012-02-13" 61.389999 62.419998 61.189999 62.18 465300 50.870731
"2012-02-14" 61.880001 62.130001 61.450001 62.09 324000 50.797092
"2012-02-15" 62.169998 62.220001 60.290001 60.48 486400 49.479923
"2012-02-16" 60.66 62.009998 60.57 61.990002 317800 50.715279
"2012-02-17" 62.369999 62.599998 61.939999 62.16 279900 50.85437
"2012-02-21" 62.310001 62.439999 61.560001 61.900002 249900 50.641663
"2012-02-22" 61.509998 61.700001 60.98 61.060001 272200 50.230335
"2012-02-23" 61.099998 61.619999 60.810001 61.310001 239800 50.435997
"2012-02-24" 61.549999 61.549999 60.689999 60.73 296300 49.958866
"2012-02-27" 60.389999 61.369999 60 61.07 242000 50.238564
"2012-02-28" 61.209999 61.669998 60.799999 61.299999 273800 50.427776
"2012-02-29" 61.459999 62.060001 61.009998 61.130001 266200 50.287933
"2012-03-01" 60.950001 62.029999 60.950001 61.200001 356700 50.345512
"2012-03-02" 61.099998 61.099998 59.93 60.330002 347600 49.629814
"2012-03-05" 60.189999 60.41 59.860001 60.299999 326000 49.605129
"2012-03-06" 59.439999 59.59 58.439999 58.529999 303100 48.149071
"2012-03-07" 58.669998 59.23 58.57 59.07 204100 48.5933
"2012-03-08" 59.5 60.650002 59.139999 60.209999 343600 49.531086
"2012-03-09" 60.400002 60.790001 59.849998 60.450001 228700 49.728523
"2012-03-12" 60.630001 60.779999 60.110001 60.419998 163600 49.703854
"2012-03-13" 60.82 61.299999 60.639999 61.299999 393900 50.427776
"2012-03-14" 61.220001 61.68 60.98 61.290001 183600 50.419533
"2012-03-15" 61.349998 62.200001 61.040001 62.18 293000 51.151691
"2012-03-16" 62.240002 62.380001 61.490002 61.509998 424700 50.60051
"2012-03-19" 61.529999 61.75 60.560001 61 392900 50.180981
"2012-03-20" 60.59 60.970001 59.900002 60.439999 228800 49.720291
"2012-03-21" 60.48 60.759998 59.830002 60.490002 309400 49.761433
"2012-03-22" 59.91 60.34 59.59 60.240002 433400 49.555779
"2012-03-23" 60.32 60.790001 59.709999 60.580002 222700 49.835472
"2012-03-26" 61.27 61.860001 61.16 61.799999 290800 50.839092
"2012-03-27" 61.919998 62.049999 61.669998 61.77 289700 50.814407
"2012-03-28" 61.889999 61.970001 60.34 60.98 202800 50.16452
"2012-03-29" 60.689999 61.220001 60.200001 61.07 245400 50.238564
"2012-03-30" 61.509998 61.82 60.810001 60.970001 284700 50.156303
"2012-04-02" 60.790001 61.73 60.41 61.310001 373900 50.435997
"2012-04-03" 61.029999 61.360001 60.169998 60.619999 374700 49.868378
"2012-04-04" 59.990002 60.310001 59.700001 60.279999 272800 49.58868
"2012-04-05" 60.02 60.419998 59.459999 59.709999 340400 49.11977
"2012-04-09" 58.580002 59.32 58.009998 59.189999 303100 48.692001
"2012-04-10" 59.130001 59.220001 57.459999 57.650002 221500 47.425133
"2012-04-11" 58.5 58.91 58.27 58.709999 260600 48.297134
"2012-04-12" 58.779999 60.09 58.740002 59.75 245000 49.152687
"2012-04-13" 59.470001 59.66 58.849998 59.27 220800 48.757813
"2012-04-16" 59.619999 60.060001 59.009998 59.540001 295600 48.979931
