"Index" "SNOpen" "SNHigh" "SNLow" "SNClose" "SNVolume" "SNAdjusted"
"2012-01-31" 44.279999 44.32 43.290001 43.360001 902401 40.13681
"2012-02-01" 43.830002 44.049999 43.279999 43.310001 1379018 40.090519
"2012-02-02" 43.32 43.32 42.369999 42.529999 1968860 39.368519
"2012-02-03" 42.830002 43.450001 42.599998 43.380001 1490787 40.155334
"2012-02-06" 43.16 44.200001 42.990002 43.73 1003005 40.479309
"2012-02-07" 43.630001 44.48 43.549999 44.150002 799941 40.868088
"2012-02-08" 44.16 44.77 44.09 44.41 663755 41.108765
"2012-02-09" 42.900002 44.669998 41.91 43.82 5107882 40.562618
"2012-02-10" 43.279999 43.740002 42.790001 42.990002 1404273 39.794319
"2012-02-13" 43.310001 43.48 42.779999 43.259998 913874 40.044239
"2012-02-14" 43.34 43.419998 42.869999 43.240002 848494 40.025734
"2012-02-15" 43.360001 43.439999 42.869999 43.18 1040508 39.970192
"2012-02-16" 43.25 43.720001 42.98 43.59 1037170 40.349712
"2012-02-17" 43.91 44.220001 43.580002 43.990002 1180779 40.719978
"2012-02-21" 44.009998 44.82 43.880001 44.27 801133 40.979172
"2012-02-22" 44.080002 44.459999 43.950001 44.029999 781892 40.757011
"2012-02-23" 44.029999 44.43 43.790001 44.360001 509557 41.062485
"2012-02-24" 44.34 45.25 44.290001 44.990002 886066 41.645645
"2012-02-27" 44.400002 45.02 44.279999 44.700001 646627 41.487873
"2012-02-28" 44.779999 44.779999 44.470001 44.720001 726518 41.506432
"2012-02-29" 44.830002 45.68 44.790401 45.200001 915490 41.951942
"2012-03-01" 45.290001 45.91 45.110001 45.849998 1208508 42.555218
"2012-03-02" 45.689999 46.200001 45.689999 45.91 756589 42.610912
"2012-03-05" 45.709999 45.75 45.110001 45.540001 678413 42.267498
"2012-03-06" 45 45 43.869999 43.990002 1406892 40.828869
"2012-03-07" 44.150002 44.279999 43.82 43.900002 845393 40.745338
"2012-03-08" 44.220001 44.869999 44.200001 44.740002 599905 41.52499
"2012-03-09" 44.82 45.32 44.82 45.240002 644199 41.989063
"2012-03-12" 45.009998 45.509998 44.889999 44.98 584905 41.747746
"2012-03-13" 45.5 47.810001 45.5 47.68 2417721 44.253719
"2012-03-14" 47.689999 48.09 46.75 47.040001 1228595 43.659714
"2012-03-15" 47.049999 47.330002 46.77 47.169998 633205 43.780376
"2012-03-16" 47.099998 47.625 46.939999 47.549999 923822 44.133064
"2012-03-19" 47.459999 48.060001 47.43 47.939999 816062 44.495037
"2012-03-20" 47.639999 47.91 47.459999 47.630001 938793 44.207317
"2012-03-21" 47.610001 48.490002 47.610001 48.279999 963378 44.810604
"2012-03-22" 47.91 48.73 47.880001 48.400002 904389 44.921989
"2012-03-23" 48.439999 48.990002 48.34 48.810001 679971 45.302521
"2012-03-26" 49.150002 49.43 48.93 49.200001 583326 45.66449
"2012-03-27" 49.259998 49.549999 49.09 49.23 663395 45.692329
