"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 52.59 53.389999 52.389999 52.900002 4252100 50.678249
"2012-02-01" 54.110001 55.32 53.75 54.709999 4329400 52.412231
"2012-02-02" 54.93 55.400002 54.450001 54.799999 2811000 52.49847
"2012-02-03" 55.400002 56.389999 55.25 56.290001 3449300 53.925877
"2012-02-06" 55.900002 56.369999 55.52 55.740002 1812200 53.398987
"2012-02-07" 55.470001 56.099998 54.860001 55.360001 2871200 53.034943
"2012-02-08" 55.41 56.119999 55.32 56 2031100 53.64806
"2012-02-09" 56.200001 56.439999 55.459999 56.07 1622900 53.715107
"2012-02-10" 55.48 55.639999 54.830002 55.52 1575400 53.188213
"2012-02-13" 55.970001 56.220001 55.630001 55.700001 1393500 53.360672
"2012-02-14" 55.310001 55.869999 55.310001 55.849998 1169900 53.504364
"2012-02-15" 56 56.27 55.669998 55.860001 2034000 53.513924
"2012-02-16" 55.77 56.740002 55.540001 56.619999 2365900 54.242016
"2012-02-17" 57.080002 57.080002 56.240002 56.380001 1884200 54.012096
"2012-02-21" 56.66 56.77 55.830002 55.919998 1591600 53.571415
"2012-02-22" 55.77 55.990002 55.360001 55.84 1653700 53.494781
"2012-02-23" 55.82 56.599998 53 56.119999 3944300 53.76302
"2012-02-24" 55.959999 56.68 55.799999 56.66 1413500 54.280346
"2012-02-27" 56.02 56.68 55.290001 56.43 1935100 54.060001
"2012-02-28" 56.43 57.330002 56.130001 57.240002 2828300 54.835979
"2012-02-29" 57.09 57.57 56.380001 56.619999 4244800 54.242016
"2012-03-01" 56.919998 57.369999 56.639999 57.18 1975800 54.778503
"2012-03-02" 57.049999 57.470001 56.939999 57.25 1840200 54.845577
"2012-03-05" 56.98 57.16 56.279999 56.560001 1867000 54.184544
"2012-03-06" 55.93 55.990002 55.389999 55.43 2887700 53.102005
"2012-03-07" 55.459999 55.68 55.02 55.25 2727300 52.92955
"2012-03-08" 55.59 56.200001 54.900002 56.09 4614700 53.734283
"2012-03-09" 56.32 56.759998 56 56.27 1560300 53.906719
"2012-03-12" 56.34 56.419998 55.27 55.389999 1867800 53.063671
"2012-03-13" 56.450001 57.619999 56.360001 57.080002 3564000 54.811344
"2012-03-14" 57.150002 57.849998 56.970001 57.759998 2326600 55.464302
"2012-03-15" 57.73 58.150002 57.310001 58 1904600 55.694794
"2012-03-16" 58.099998 58.209999 57.689999 57.91 3093700 55.60836
