"Index" "TROOpen" "TROHigh" "TROLow" "TROClose" "TROVolume" "TROAdjusted"
"2012-01-31" 58.68 58.68 57.110001 57.84 2232800 42.64505
"2012-02-01" 56.98 58.889999 56.5 58.619999 2765000 43.220119
"2012-02-02" 58.93 59.09 57.700001 57.849998 1881700 42.652409
"2012-02-03" 58.349998 59.349998 58.299999 59.299999 2451500 43.721489
"2012-02-06" 58.790001 59.380001 58.52 58.759998 1316500 43.323357
"2012-02-07" 58.48 58.779999 57.610001 58.66 2094800 43.249622
"2012-02-08" 58.639999 59.009998 57.82 58.529999 3052400 43.15377
"2012-02-09" 58.5 59.599998 58.139999 59.549999 2938500 43.905811
"2012-02-10" 58.849998 59.299999 58.380001 59.139999 1864900 43.603527
"2012-02-13" 59.880001 60.25 59.610001 60.099998 1458400 44.311321
"2012-02-14" 59.689999 60.040001 59.330002 59.950001 1468500 44.200733
"2012-02-15" 60.330002 60.709999 59.689999 60.099998 2047800 44.311321
"2012-02-16" 60.200001 62.23 60.09 62.220001 2005900 45.874378
"2012-02-17" 62.5 62.950001 62.099998 62.91 1914500 46.383118
"2012-02-21" 63 63 61.5 61.700001 2066900 45.490997
"2012-02-22" 61.779999 62.029999 61.09 61.139999 1282300 45.07811
"2012-02-23" 61 61.599998 60.849998 61.490002 1490300 45.336166
"2012-02-24" 61.700001 61.91 60.93 61.029999 1118300 44.997002
"2012-02-27" 60.580002 61.450001 60.48 61.25 1330400 45.159203
"2012-02-28" 61.310001 61.830002 61 61.240002 1166200 45.15184
"2012-02-29" 61.610001 61.939999 61.080002 61.59 1550400 45.409889
"2012-03-01" 61.700001 62.43 61.700001 62.240002 1234000 45.889149
"2012-03-02" 62.150002 62.240002 61.419998 61.650002 1011200 45.454132
"2012-03-05" 61.389999 61.5 60.869999 61.18 1017900 45.107597
"2012-03-06" 60.540001 60.759998 60 60.18 1742900 44.370312
"2012-03-07" 60.619999 61.029999 60.32 60.98 1125000 44.96014
"2012-03-08" 61.779999 62.169998 61.240002 62.049999 1521600 45.749043
"2012-03-09" 62.41 63.43 62.009998 63.110001 1744600 46.530582
"2012-03-12" 63.009998 63.41 62.220001 62.389999 1426900 45.999718
"2012-03-13" 62.73 64 62.240002 63.959999 1672000 47.41568
"2012-03-14" 63.959999 64.209999 63.259998 63.759998 1102700 47.267403
"2012-03-15" 64.080002 65 63.700001 64.709999 1142700 47.97168
"2012-03-16" 64.870003 65.199997 64.639999 64.769997 2177100 48.016144
"2012-03-19" 64.610001 64.879997 64.18 64.720001 1172200 47.979088
"2012-03-20" 64.260002 64.639999 64 64.5 1222700 47.816002
"2012-03-21" 64.629997 65.110001 64.199997 64.489998 1260300 47.808571
"2012-03-22" 64.169998 64.230003 63.529999 63.939999 927800 47.400833
"2012-03-23" 64.230003 64.370003 63.400002 64.019997 813800 47.460155
"2012-03-26" 64.809998 65.150002 64.449997 65 1195100 48.186665
"2012-03-27" 65.239998 65.239998 64.709999 64.790001 1023500 48.030979
"2012-03-28" 65.029999 65.18 63.790001 64.489998 1332600 47.808571
"2012-03-29" 64.32 64.57 63.509998 64.099998 1237500 47.519459
"2012-03-30" 64.400002 65.629997 64.349998 65.300003 1847600 48.409077
"2012-04-02" 65.040001 66 64.779999 65.690002 1534500 48.698177
"2012-04-03" 65.540001 65.790001 65.059998 65.690002 1388800 48.698177
"2012-04-04" 65.07 65.25 64.349998 64.540001 1230400 47.845654
"2012-04-05" 64.25 65.029999 64.18 64.879997 778800 48.097694
"2012-04-09" 63.830002 64.040001 63.25 63.610001 859900 47.156204
"2012-04-10" 63.529999 63.59 61.84 61.849998 1850200 45.85146
"2012-04-11" 62.830002 63 61.529999 61.799999 2129200 45.814396
"2012-04-12" 62.080002 63.139999 61.810001 63.07 1532300 46.75589
"2012-04-13" 63.169998 63.169998 61.950001 62.049999 1102000 45.999718
"2012-04-16" 62.689999 62.869999 61.66 62.18 1197600 46.0961
"2012-04-17" 62.790001 63.779999 62.459999 63.5 1069400 47.074665
"2012-04-18" 63.119999 63.119999 62.389999 62.439999 1019300 46.288834
"2012-04-19" 62.560001 62.75 61.400002 61.759998 1167300 45.78474
"2012-04-20" 61.959999 62.52 61.509998 61.880001 1305500 45.873707
"2012-04-23" 61.27 61.27 60.470001 61.009998 1447600 45.228729
"2012-04-24" 61.23 62.419998 61.09 61.950001 1629800 45.925587
"2012-04-25" 62.34 63.360001 61.830002 63.18 1511600 46.837433
"2012-04-26" 62.900002 63.66 62.73 63.400002 1098600 47.000526
"2012-04-27" 63.549999 63.84 62.66 63.23 979700 46.8745
"2012-04-30" 63.060001 63.200001 62.52 63.119999 852900 46.792953
"2012-05-01" 62.939999 63.889999 62.52 62.919998 2064700 46.644676
"2012-05-02" 62.610001 62.610001 61.830002 62.240002 1577400 46.140594
"2012-05-03" 62.25 62.360001 61.259998 61.490002 1567200 45.584587
"2012-05-04" 60.970001 61.220001 60 60.450001 1913900 44.813599
"2012-05-07" 59.950001 60.57 59.720001 60.25 2270300 44.66534
"2012-05-08" 59.700001 60.080002 58.84 60 1936500 44.479992
"2012-05-09" 59.110001 60.040001 59 59.73 1669600 44.279842
"2012-05-10" 60.400002 60.700001 59.540001 59.869999 1527500 44.383617
"2012-05-11" 59.389999 60.630001 59 60.130001 1321100 44.576382
"2012-05-14" 59.23 60.150002 59.029999 59.490002 1555200 44.101917
"2012-05-15" 59.619999 60.200001 59.34 59.41 1442300 44.042603
"2012-05-16" 59.91 60.41 59.139999 59.16 1608700 43.857265
"2012-05-17" 59.369999 59.5 58.009998 58.009998 1697300 43.004745
"2012-05-18" 58.360001 58.59 56.759998 56.889999 2322400 42.17445
"2012-05-21" 56.889999 58.18 56.630001 58.150002 2241800 43.108536
"2012-05-22" 58.52 59.279999 57.68 58.099998 2049000 43.071465
"2012-05-23" 57.48 57.779999 56.82 57.599998 3126500 42.700794
"2012-05-24" 57.860001 58.07 57.189999 58.07 1927200 43.049217
"2012-05-25" 58.029999 58.34 57.09 57.200001 2058500 42.404263
"2012-05-29" 57.880001 58.400002 57.650002 58.310001 1638900 43.227139
"2012-05-30" 57.639999 57.830002 57.23 57.349998 1261700 42.515465
"2012-05-31" 57.400002 58.060001 56.540001 57.59 1701000 42.693378
"2012-06-01" 56.240002 56.470001 55 55.209999 2728000 40.929001
"2012-06-04" 55.200001 55.540001 54.470001 55.220001 2201400 40.936428
"2012-06-05" 55.080002 55.880001 55.080002 55.57 2144900 41.195896
"2012-06-06" 56.189999 57.700001 55.950001 57.700001 1640300 42.774933
"2012-06-07" 58.59 58.869999 57.799999 58.299999 2110300 43.21973
"2012-06-08" 58.18 58.830002 57.52 58.799999 1464900 43.590389
"2012-06-11" 59.439999 59.549999 58.07 58.130001 1443300 43.093697
"2012-06-12" 57.459999 58.919998 57.459999 58.91 2063000 43.928879
"2012-06-13" 58.509998 59.240002 58.16 58.639999 1839200 43.727551
"2012-06-14" 58.830002 60.09 58.740002 59.759998 2022000 44.562717
"2012-06-15" 59.860001 60.810001 59.599998 60.790001 2471000 45.330784
"2012-06-18" 60.360001 60.82 59.860001 60.639999 1212000 45.218937
"2012-06-19" 60.919998 61.830002 60.880001 61.689999 1569300 46.001923
"2012-06-20" 61.77 62.360001 61.290001 61.860001 1969900 46.128677
"2012-06-21" 62.169998 62.389999 59.450001 59.470001 2157000 44.346474
"2012-06-22" 60.259998 60.919998 59.450001 60.75 2043300 45.300972
"2012-06-25" 60.009998 60.18 59.240002 59.41 1848900 44.301727
"2012-06-26" 59.77 60.049999 59.220001 59.740002 1293000 44.547813
"2012-06-27" 60.060001 60.82 59.639999 60.66 1103300 45.233852
"2012-06-28" 60.18 60.84 59.630001 60.740002 975900 45.293503
"2012-06-29" 62.139999 62.970001 61.650002 62.959999 1838600 46.948933
"2012-07-02" 63.16 63.330002 62.240002 63.029999 1060300 47.001133
"2012-07-03" 63.040001 63.369999 62.709999 63.119999 657800 47.068249
"2012-07-05" 62.900002 63.119999 62.360001 62.419998 971100 46.546265
"2012-07-06" 61.57 62.009998 61.220001 61.82 964100 46.09885
"2012-07-09" 61.880001 61.880001 61.290001 61.740002 958000 46.039188
"2012-07-10" 62.360001 62.77 60.119999 60.32 1869100 44.980305
"2012-07-11" 60.349998 61.09 60.220001 60.93 1075800 45.435184
"2012-07-12" 60.209999 60.66 59.810001 60.369999 1479500 45.01759
"2012-07-13" 60.790001 62.970001 60.580002 62.790001 1748100 46.822182
"2012-07-16" 62.330002 62.529999 61.669998 61.849998 945600 46.121216
"2012-07-17" 62.299999 62.689999 61.110001 62.080002 931800 46.292728
"2012-07-18" 61.799999 63.040001 61.790001 62.950001 1192400 46.941483
"2012-07-19" 62.849998 63.400002 62.490002 62.700001 1301500 46.755066
"2012-07-20" 62.25 62.610001 61.439999 61.470001 2517100 45.837856
"2012-07-23" 60.369999 61.5 59.919998 61.119999 1000600 45.576859
"2012-07-24" 61.259998 61.259998 59.990002 60.68 1410900 45.248749
"2012-07-25" 59.049999 59.740002 58.84 58.970001 2220600 43.973629
"2012-07-26" 60.009998 60.439999 59.25 59.75 1733800 44.55526
"2012-07-27" 60.52 61.66 60.139999 61.25 1307200 45.673801
"2012-07-30" 61.060001 61.48 60.080002 60.220001 1884000 44.905731
"2012-07-31" 60.040001 61 59.880001 60.75 1450200 45.300972
"2012-08-01" 61.290001 61.330002 60.099998 60.169998 1292200 44.868446
"2012-08-02" 59.5 59.93 58.52 59.119999 1363500 44.085468
"2012-08-03" 60.360001 61.02 60.110001 60.810001 1049700 45.345695
"2012-08-06" 60.98 61.220001 60.5 60.66 958100 45.233852
"2012-08-07" 60.900002 62.240002 60.790001 61.650002 752200 45.972084
"2012-08-08" 61.419998 61.650002 60.720001 60.779999 1056900 45.323318
"2012-08-09" 60.93 61.310001 60.599998 61.02 735300 45.502293
"2012-08-10" 60.91 61.09 60.459999 60.93 701800 45.435184
"2012-08-13" 60.900002 61.139999 60.18 61.07 612700 45.539589
"2012-08-14" 61.23 61.439999 60.880001 61.029999 544100 45.509758
"2012-08-15" 60.919998 61.639999 60.869999 61.599998 416900 45.934795
"2012-08-16" 61.41 62.779999 61.259998 62.650002 1098500 46.717781
"2012-08-17" 62.779999 63 61.93 62.369999 805300 46.50898
"2012-08-20" 62.16 62.34 61.59 62.09 727600 46.30019
"2012-08-21" 62.130001 63 62 62.23 710700 46.404598
"2012-08-22" 62.139999 62.290001 61.610001 62.16 649000 46.352394
"2012-08-23" 62 62.040001 61.470001 61.650002 569400 45.972084
"2012-08-24" 61.439999 62.869999 61.290001 62.73 930900 46.777439
"2012-08-27" 62.959999 62.98 61.790001 61.860001 592800 46.128677
"2012-08-28" 61.610001 62.400002 61.580002 62.060001 803900 46.277828
"2012-08-29" 62.200001 62.23 61.290001 61.380001 1502300 45.770741
"2012-08-30" 60.900002 61.650002 60.66 61.380001 649300 45.770741
"2012-08-31" 61.509998 61.98 61.110001 61.439999 652500 45.815483
"2012-09-04" 61.470001 62.080002 61.360001 61.990002 749000 46.22562
"2012-09-05" 61.810001 62.220001 61.119999 61.32 1028800 45.726009
"2012-09-06" 61.5 63.439999 61.5 63.290001 1117400 47.19503
"2012-09-07" 63.610001 64.07 63.169998 63.400002 1115100 47.277054
"2012-09-10" 63.369999 63.98 63.18 63.25 776100 47.165192
"2012-09-11" 63.080002 63.41 62.919998 63.07 762400 47.285156
"2012-09-12" 63.349998 63.790001 63.130001 63.369999 685200 47.510063
"2012-09-13" 62.549999 64.339996 62.040001 64.279999 1827200 48.192329
"2012-09-14" 63.919998 65.970001 63.919998 65.809998 1659800 49.339397
"2012-09-17" 65.580002 65.769997 64.739998 65.07 1276100 48.784599
"2012-09-18" 64.620003 65.120003 64.339996 64.540001 1189000 48.387249
"2012-09-19" 64.809998 64.900002 64.209999 64.459999 795000 48.327271
"2012-09-20" 64.209999 64.480003 63.669998 64.370003 803600 48.259792
"2012-09-21" 64.690002 64.900002 64.099998 64.110001 1259400 48.064869
"2012-09-24" 63.970001 64.580002 63.549999 64.129997 699800 48.079853
"2012-09-25" 64.120003 64.489998 62.93 62.950001 929700 47.195179
"2012-09-26" 63.02 63.099998 62.349998 62.57 1087900 46.910297
"2012-09-27" 63.029999 63.459999 62.630001 63.279999 698400 47.442589
"2012-09-28" 63.060001 63.400002 62.34 63.299999 1097000 47.457584
"2012-10-01" 63.66 64.25 62.84 63.189999 951200 47.375111
"2012-10-02" 63.459999 63.529999 62.349998 62.66 890400 46.97776
"2012-10-03" 62.869999 63.009998 62.349998 62.810001 1062700 47.090229
"2012-10-04" 63.25 63.889999 62.970001 63.57 1046500 47.660007
