"Index" "TWOpen" "TWHigh" "TWLow" "TWClose" "TWVolume" "TWAdjusted"
"2012-01-31" 36.114548 36.277527 35.337994 35.529736 7438952 31.217365
"2012-02-01" 35.836521 36.354221 35.812553 36.13372 5029285 31.748041
"2012-02-02" 35.922806 35.932392 35.419483 35.644779 6031003 31.318451
"2012-02-03" 35.932392 36.641834 35.903629 36.613075 6664692 32.16922
"2012-02-06" 36.315876 36.517204 36.210419 36.402161 4887975 31.983896
"2012-02-07" 36.229591 36.708946 36.143307 36.526791 8242192 32.09341
"2012-02-08" 36.939034 37.619717 36.335049 36.536377 14698280 32.101833
"2012-02-09" 36.852753 36.891102 35.826935 36.152893 8891042 31.764889
"2012-02-10" 35.826935 36.152893 35.711887 35.970741 6638414 31.604845
"2012-02-13" 36.13372 36.43092 36.028263 36.315876 4424705 31.908092
"2012-02-14" 36.2967 36.382984 36.052231 36.277527 4352119 31.874388
"2012-02-15" 36.363811 36.43092 35.82214 35.932392 4888548 31.571152
"2012-02-16" 35.855694 36.402161 35.759823 36.335049 6370239 31.924936
"2012-02-17" 36.402161 36.469269 36.114548 36.143307 5430547 31.756479
"2012-02-21" 35.903629 36.277527 35.798172 36.018677 5556319 31.646959
"2012-02-22" 35.951565 36.143307 35.500973 35.548908 6227183 31.234219
"2012-02-23" 35.500973 35.903629 35.309231 35.769409 7197959 31.427961
"2012-02-24" 35.836521 36.25835 35.711887 36.13372 6586265 31.748041
"2012-02-27" 35.568081 36.239178 35.568081 36.028263 5869104 31.884809
"2012-02-28" 35.989914 36.30629 35.663952 36.2967 6058993 32.122375
"2012-02-29" 36.248764 36.43092 35.654366 35.673538 11602794 31.570875
"2012-03-01" 35.788586 36.013882 35.486591 35.913216 8491363 31.782997
"2012-03-02" 35.731064 35.879662 35.414688 35.60643 6823430 31.511492
"2012-03-05" 35.500973 35.539322 35.002445 35.433865 7459832 31.358774
"2012-03-06" 35.155838 35.194187 34.580612 35.002445 8791716 30.976965
"2012-03-07" 34.973682 35.232533 34.65731 35.07914 6720304 31.044838
"2012-03-08" 35.270882 35.491386 35.184601 35.337994 5817781 31.273926
"2012-03-09" 35.357166 35.539322 35.136662 35.203773 4672414 31.155136
"2012-03-12" 34.877811 35.098316 34.513504 34.686069 7465847 30.696985
"2012-03-13" 34.849052 35.08873 34.714832 35.012032 8967743 30.985456
"2012-03-14" 34.964096 35.09544 34.120434 34.494328 30452103 30.527294
"2012-03-15" 34.513504 34.56144 34.13002 34.360111 8830911 30.408512
"2012-03-16" 34.340935 34.56144 34.245064 34.427219 13490135 30.467903
"2012-03-19" 34.283413 34.69566 34.283413 34.455978 7451906 30.493357
"2012-03-20" 34.321762 34.360111 34.072498 34.206715 7776089 30.272757
"2012-03-21" 34.292999 34.465569 34.197128 34.283413 7784168 30.34063
"2012-03-22" 34.062908 34.379284 33.871166 34.283413 8694394 30.34063
"2012-03-23" 34.38887 35.616016 34.26424 35.548908 14752379 31.460594
"2012-03-26" 35.759823 35.826935 35.520145 35.644779 9211438 31.545425
"2012-03-27" 35.731064 35.902863 35.203773 35.242123 8045938 31.189087
"2012-03-28" 35.117489 35.596844 34.762768 34.791527 10887250 30.790308
"2012-03-29" 34.628548 35.721478 34.542263 35.60643 9168290 31.511492
"2012-03-30" 35.913216 36.584312 35.826935 36.191242 11875742 32.02906
"2012-04-02" 36.191242 36.43092 36.018677 36.037849 8480181 31.893299
"2012-04-03" 35.903629 36.124134 35.60643 35.941978 8253404 31.808449
"2012-04-04" 35.807758 35.807758 35.261295 35.395515 7797367 31.324835
"2012-04-05" 35.299644 35.443451 35.117489 35.136662 6169150 31.095758
"2012-04-09" 34.705246 34.868225 34.532677 34.542263 4576189 30.569715
"2012-04-10" 34.427219 34.638134 33.784885 33.947865 6499156 30.043673
"2012-04-11" 34.120434 34.427219 34.091671 34.245064 4648262 30.306688
"2012-04-12" 34.273827 34.705246 34.197128 34.542263 5667624 30.569715
"2012-04-13" 34.542263 34.810703 34.158779 34.216305 6552584 30.281237
"2012-04-16" 34.273827 34.427219 34.101257 34.235477 6012773 30.29821
"2012-04-17" 34.177956 34.983269 34.158779 34.829876 4686084 30.824255
"2012-04-18" 34.609375 34.877811 34.532677 34.724419 4774670 30.730919
"2012-04-19" 34.78194 35.021618 34.580612 34.810703 4840623 30.80728
"2012-04-20" 34.829876 35.175011 34.810703 35.08873 5810306 31.053329
"2012-04-23" 34.839462 34.906574 34.571026 34.772354 5315771 30.77334
"2012-04-24" 34.849052 35.021618 34.714832 34.916161 5029122 30.90061
"2012-04-25" 35.098316 35.702301 35.040794 35.644779 6770584 31.545425
"2012-04-26" 35.673538 36.426125 35.60643 36.315876 6700263 32.139351
"2012-04-27" 36.39257 36.632248 36.248764 36.498028 6450674 32.30056
"2012-04-30" 36.335049 36.517204 35.807758 35.927597 6191964 31.795729
"2012-05-01" 35.951565 36.584312 35.884457 36.354221 7139363 32.173283
"2012-05-02" 35.903629 36.248764 35.577667 35.750237 8874664 31.638762
"2012-05-03" 35.855694 35.86528 35.314026 35.453037 6035563 31.375744
"2012-05-04" 35.318817 35.385929 34.69566 34.849052 4989873 30.841215
"2012-05-07" 34.599789 34.734005 34.369698 34.513504 6457704 30.54426
"2012-05-08" 34.273827 34.350521 33.842407 34.216305 5800934 30.281237
