"Index" "TXOpen" "TXHigh" "TXLow" "TXClose" "TXVolume" "TXAdjusted"
"2012-01-31" 32.400002 32.470001 32 32.380001 1.2e+07 25.035875
"2012-02-01" 32.790001 33.189999 32.450001 32.860001 11813400 25.406998
"2012-02-02" 32.849998 33.200001 32.84 33.060001 9876300 25.561642
"2012-02-03" 33.34 34.09 33.25 33.93 14258500 26.234314
"2012-02-06" 33.740002 33.779999 33.299999 33.610001 8693800 25.986889
"2012-02-07" 33.360001 33.619999 33.07 33.43 9965500 25.847712
"2012-02-08" 33.43 34.060001 33.41 33.849998 8367800 26.172447
"2012-02-09" 33.950001 33.990002 33.68 33.799999 6474900 26.133793
"2012-02-10" 33.400002 33.509998 33.189999 33.360001 5420100 25.793587
"2012-02-13" 33.5 33.77 32.75 33.259998 7301600 25.716269
"2012-02-14" 33.09 33.240002 32.709999 33.220001 7100000 25.685347
"2012-02-15" 33.009998 33.540001 33.009998 33.41 8579500 25.832245
"2012-02-16" 33.470001 34.209999 33.299999 33.91 8888700 26.218849
"2012-02-17" 34.080002 34.150002 33.459999 33.59 7659300 25.971428
"2012-02-21" 33.630001 33.630001 33.200001 33.279999 6831500 25.731737
"2012-02-22" 33.18 33.41 32.900002 32.959999 6498700 25.484316
"2012-02-23" 32.84 33.5 32.540001 33.32 5775600 25.762665
"2012-02-24" 33.48 33.599998 33.290001 33.32 3609200 25.762665
"2012-02-27" 33.060001 33.400002 32.799999 33.110001 5986000 25.600294
"2012-02-28" 33.189999 33.84 33.139999 33.720001 6378700 26.071943
"2012-02-29" 33.73 33.73 33.290001 33.349998 7069700 25.785862
"2012-03-01" 33.490002 33.560001 33 33.169998 6630800 25.646685
"2012-03-02" 33.130001 33.349998 32.779999 32.82 4721800 25.376068
"2012-03-05" 32.709999 32.779999 32.119999 32.189999 7860800 24.888958
"2012-03-06" 31.860001 32.18 31.66 32.119999 8830100 24.834839
"2012-03-07" 32.119999 32.759998 32.060001 32.650002 7537300 25.244631
"2012-03-08" 32.950001 32.98 32.560001 32.599998 7189900 25.205973
"2012-03-09" 32.200001 32.490002 32.02 32.27 12369800 24.950817
"2012-03-12" 32.310001 32.439999 31.9 31.91 7050900 24.67247
"2012-03-13" 32.07 32.299999 31.940001 32.290001 10321000 24.966286
"2012-03-14" 32.209999 32.639999 31.92 32.009998 8657900 24.74979
"2012-03-15" 32.099998 32.82 32.040001 32.779999 8428200 25.34514
"2012-03-16" 32.779999 33.299999 32.689999 33.02 11965600 25.530706
"2012-03-19" 33 33.93 32.959999 33.84 10684400 26.16473
"2012-03-20" 33.650002 33.709999 33.259998 33.580002 7977800 25.963688
"2012-03-21" 33.57 33.759998 33.23 33.610001 8250000 25.986889
"2012-03-22" 33.310001 33.509998 33.169998 33.43 5536800 25.847712
"2012-03-23" 33.490002 33.560001 33.009998 33.349998 6339900 25.785862
"2012-03-26" 33.57 34 33.450001 33.990002 5712600 26.280706
"2012-03-27" 34.02 34.240002 33.869999 33.869999 5476200 26.187918
"2012-03-28" 33.73 33.830002 33.060001 33.330002 6509900 25.770395
"2012-03-29" 33.16 33.349998 32.990002 33.189999 7208600 25.662144
"2012-03-30" 33.32 33.900002 33.259998 33.610001 7785300 25.986889
"2012-04-02" 33.139999 33.41 32.950001 33.259998 7410300 25.716269
"2012-04-03" 33.200001 33.200001 32.529999 32.599998 7874900 25.205973
"2012-04-04" 32.310001 32.32 31.9 32.16 10254000 24.865765
"2012-04-05" 32.09 32.650002 32 32.459999 6112500 25.097721
"2012-04-09" 31.950001 32.290001 31.85 32.139999 5092200 24.850302
"2012-04-10" 32.02 32.380001 31.620001 31.690001 11486600 24.502367
"2012-04-11" 31.93 32.18 31.91 31.99 5891500 24.734324
"2012-04-12" 32.009998 32.560001 31.91 32.509998 5873200 25.136383
"2012-04-13" 32.41 32.799999 32.18 32.18 8947700 24.881231
"2012-04-16" 32.57 32.66 31.799999 32.200001 6878500 24.896688
"2012-04-17" 32.32 32.830002 32.32 32.779999 6303500 25.34514
"2012-04-18" 32.639999 32.889999 32.349998 32.720001 5670800 25.298752
"2012-04-19" 32.830002 33.130001 32.369999 32.639999 8923800 25.236895
"2012-04-20" 32.990002 33.049999 32.32 32.470001 48477500 25.10545
