"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 25.549999 25.84 25.129999 25.48 6301400 24.988804
"2012-02-01" 25.709999 25.959999 25.370001 25.66 5254900 25.16534
"2012-02-02" 25.709999 25.870001 25.33 25.5 3271300 25.008419
"2012-02-03" 26 26.07 25.82 26.030001 4828100 25.528202
"2012-02-06" 25.790001 26.120001 25.67 25.93 4904700 25.430134
"2012-02-07" 25.83 26.5 25.780001 26.360001 7168800 25.851841
"2012-02-08" 26.33 27.200001 26.33 27.07 7178700 26.548155
"2012-02-09" 27.290001 27.290001 26.690001 26.99 4172900 26.469696
"2012-02-10" 26.620001 27.01 26.4 26.959999 2938400 26.440273
"2012-02-13" 27.110001 28.07 26.98 28.040001 6282100 27.499458
"2012-02-14" 28.17 28.290001 27.700001 27.98 6669200 27.440613
"2012-02-15" 28.1 28.1 27.299999 27.43 5209500 26.901215
"2012-02-16" 27.370001 27.879999 27.35 27.870001 3969500 27.332731
"2012-02-17" 28.02 28.15 27.66 27.950001 2300900 27.411196
"2012-02-21" 27.969999 28.08 27.530001 27.700001 2580400 27.166016
"2012-02-22" 27.559999 27.889999 27.4 27.77 2419400 27.234667
"2012-02-23" 27.74 27.92 27.41 27.719999 4014800 27.185625
"2012-02-24" 27.74 28.059999 27.559999 27.65 2148200 27.116976
"2012-02-27" 27.4 27.67 27.190001 27.52 3152200 26.989483
"2012-02-28" 27.6 27.83 27.32 27.82 4192100 27.283701
"2012-02-29" 27.790001 27.99 27.41 27.51 3459300 26.979673
"2012-03-01" 27.530001 27.92 27.41 27.76 3015900 27.224857
"2012-03-02" 27.65 27.790001 26.93 27.02 3372100 26.499125
"2012-03-05" 26.98 27 26.360001 26.51 3416900 25.998953
"2012-03-06" 25.790001 25.92 25.27 25.34 6378400 24.851507
"2012-03-07" 25.450001 26.24 25.370001 26.129999 4254200 25.646524
"2012-03-08" 26.360001 26.75 26.209999 26.65 2325800 26.156897
"2012-03-09" 26.690001 27.17 26.620001 27.01 2546900 26.510239
"2012-03-12" 27 27.16 26.690001 27.049999 2884500 26.549496
"2012-03-13" 27.09 27.700001 27.08 27.68 3240800 27.167839
"2012-03-14" 27.629999 27.780001 27.33 27.51 2133500 27.000988
"2012-03-15" 27.51 27.75 27.33 27.709999 2544400 27.197289
"2012-03-16" 27.74 27.83 27.33 27.48 3562900 26.971546
"2012-03-19" 27.48 27.620001 27.219999 27.389999 2123200 26.883204
"2012-03-20" 27.15 27.219999 26.48 26.620001 3607700 26.127455
"2012-03-21" 26.700001 27.110001 26.67 26.959999 3234700 26.461159
"2012-03-22" 26.59 26.709999 26.1 26.43 2344900 25.940969
"2012-03-23" 26.700001 27.299999 26.42 27.139999 3008500 26.637821
"2012-03-26" 27.41 27.92 27.41 27.799999 2870500 27.285618
