"Index" "VMOpen" "VMHigh" "VMLow" "VMClose" "VMVolume" "VMAdjusted"
"2012-01-31" 44.189999 44.189999 43.330002 43.860001 787000 41.172646
"2012-02-01" 44.09 44.77 43.799999 44.009998 1397500 41.313465
"2012-02-02" 44.169998 44.709999 43.75 43.950001 587300 41.257145
"2012-02-03" 44.68 45.279999 43.59 44.790001 1197900 42.045677
"2012-02-06" 44.380001 45.240002 44.27 45.200001 1014100 42.430538
"2012-02-07" 44.900002 46.25 44.669998 45.73 1593600 42.928074
"2012-02-08" 45.740002 46.139999 44.650002 45.849998 672200 43.040718
"2012-02-09" 46.049999 47.540001 45.869999 47.400002 1640200 44.49575
"2012-02-10" 47 47.349998 46.43 46.939999 926900 44.063934
"2012-02-13" 47.259998 47.619999 47.080002 47.110001 1209600 44.223526
"2012-02-14" 46.900002 47.240002 46.66 47.139999 625300 44.251678
"2012-02-15" 47.189999 47.43 46.59 47.290001 774400 44.392498
"2012-02-16" 47.09 47.759998 46.57 47.529999 1469400 44.617779
"2012-02-17" 48 48.07 47.580002 47.68 960700 44.758606
"2012-02-21" 47.849998 48.09 46.709999 46.810001 475700 43.941914
"2012-02-22" 46.599998 46.77 46.02 46.130001 355200 43.303558
"2012-02-23" 46.02 46.77 45.610001 46.400002 723600 43.566463
"2012-02-24" 46.450001 46.799999 46.139999 46.169998 442300 43.35051
"2012-02-27" 45.689999 46.349998 45.169998 45.970001 1204800 43.162735
"2012-02-28" 45.919998 46 44.869999 45.360001 642400 42.589981
"2012-02-29" 45.369999 45.630001 44.560001 44.560001 1026900 41.838837
"2012-03-01" 44.509998 45.220001 43.959999 44.139999 1356800 41.444477
"2012-03-02" 44.009998 44.220001 43.25 43.630001 754700 40.965633
"2012-03-05" 43.91 43.950001 42.849998 43.810001 1249100 41.134628
"2012-03-06" 43.25 43.5 42.959999 43.439999 612200 40.787228
"2012-03-07" 43.639999 44 43.34 43.82 367900 41.144028
"2012-03-08" 44.130001 45.049999 43.93 44.91 498100 42.167458
"2012-03-09" 45.150002 46.310001 44.830002 45.990002 742200 43.181507
"2012-03-12" 46.07 46.25 45.240002 45.279999 645800 42.514862
"2012-03-13" 45.540001 46.209999 45.5 46.209999 729600 43.388062
"2012-03-14" 46.240002 46.299999 45.369999 45.560001 443200 42.777763
"2012-03-15" 45.450001 46.16 45.099998 45.990002 512100 43.181507
"2012-03-16" 46.18 46.189999 45.150002 45.720001 1065600 42.928001
"2012-03-19" 45.389999 46.209999 45.240002 45.810001 355900 43.012501
"2012-03-20" 45.48 45.560001 44.73 45.310001 275300 42.543011
"2012-03-21" 45.43 45.869999 45.09 45.119999 336100 42.364632
"2012-03-22" 44.790001 44.790001 43.869999 44.18 327300 41.482033
"2012-03-23" 44.200001 44.400002 43.5 44.16 398100 41.463257
"2012-03-26" 44.610001 44.77 44.049999 44.290001 406100 41.58532
"2012-03-27" 44.400002 44.700001 44.040001 44.119999 892100 41.425697
"2012-03-28" 44 44.369999 42.720001 42.75 1045300 40.139359
"2012-03-29" 42.34 42.540001 41.5 42.41 639200 39.820137
"2012-03-30" 42.84 43.080002 42.48 42.73 458600 40.120575
"2012-04-02" 42.5 43.299999 42.290001 43.189999 713900 40.552502
"2012-04-03" 43.049999 43.169998 42.68 43 454400 40.374096
"2012-04-04" 42.52 42.830002 42.389999 42.5 240900 39.904633
"2012-04-05" 42.360001 43.060001 42.27 42.5 739400 39.904633
"2012-04-09" 41.799999 42.299999 41.66 42.02 966800 39.453934
"2012-04-10" 41.939999 42.16 41.209999 41.240002 629600 38.721584
"2012-04-11" 41.709999 42.029999 41.330002 41.720001 648200 39.172264
"2012-04-12" 41.669998 42.900002 41.529999 42.110001 774500 39.538456
"2012-04-13" 41.970001 41.970001 41.310001 41.630001 602000 39.087757
"2012-04-16" 41.650002 42.16 41.48 41.529999 722900 38.993866
"2012-04-17" 41.98 42.869999 41.849998 42.330002 540900 39.745014
"2012-04-18" 42.099998 42.099998 41.220001 41.349998 633700 38.824841
"2012-04-19" 41.380001 41.400002 40.700001 41.02 604700 38.515015
"2012-04-20" 41.16 41.639999 41 41.18 456000 38.665241
"2012-04-23" 40.48 40.98 40.27 40.849998 356800 38.355389
"2012-04-24" 40.91 41.220001 40.669998 41.110001 179800 38.599506
"2012-04-25" 41.459999 42.310001 41.459999 41.77 361400 39.219208
"2012-04-26" 41.970001 42.150002 41.200001 41.93 329100 39.369434
"2012-04-27" 42.139999 42.439999 41.68 42.360001 511800 39.773182
"2012-04-30" 42.23 42.970001 42.060001 42.810001 513400 40.195694
