"Index" "VOpen" "VHigh" "VLow" "VClose" "VVolume" "VAdjusted"
"2012-01-31" 37.830002 37.849998 37.52 37.66 14501100 24.338913
"2012-02-01" 38.16 38.27 37.73 37.799999 13334100 24.429398
"2012-02-02" 37.939999 38.080002 37.5 37.560001 12390700 24.27429
"2012-02-03" 37.860001 37.880001 37.529999 37.84 11413800 24.455248
"2012-02-06" 37.82 38.189999 37.82 38.139999 14942200 24.649134
"2012-02-07" 38.290001 38.299999 37.68 37.919998 12474300 24.506943
"2012-02-08" 37.880001 38.25 37.860001 37.919998 9500800 24.506943
"2012-02-09" 37.970001 37.990002 37.759998 37.919998 8766600 24.506943
"2012-02-10" 37.700001 37.75 37.52 37.689999 12456100 24.358305
"2012-02-13" 37.779999 38.240002 37.779999 38.130001 12675700 24.642668
"2012-02-14" 38.029999 38.139999 37.75 38.040001 10162400 24.584503
"2012-02-15" 38.099998 38.110001 37.75 37.830002 10628300 24.448788
"2012-02-16" 37.77 38.139999 37.669998 38.049999 9582000 24.590973
"2012-02-17" 38.290001 38.549999 38.16 38.459999 12110000 24.855942
"2012-02-21" 38.610001 38.77 38.43 38.490002 12025500 24.875328
"2012-02-22" 38.5 38.560001 38.080002 38.209999 9565600 24.694368
"2012-02-23" 38.080002 38.169998 37.880001 38.130001 14270700 24.642668
"2012-02-24" 38.16 38.310001 37.919998 38.139999 9693000 24.649134
"2012-02-27" 38.07 38.189999 37.889999 38.130001 14543700 24.642668
"2012-02-28" 38.09 38.349998 38.060001 38.150002 12545900 24.655598
"2012-02-29" 38.150002 38.240002 38 38.110001 15137500 24.629744
"2012-03-01" 38.119999 38.5 38.060001 38.43 11613900 24.836548
"2012-03-02" 38.48 38.810001 38.43 38.669998 11979300 24.991661
"2012-03-05" 38.650002 39.279999 38.619999 39 13777600 25.204937
"2012-03-06" 38.669998 38.990002 38.619999 38.689999 11276800 25.004587
"2012-03-07" 38.740002 39.029999 38.700001 38.869999 10642900 25.120913
"2012-03-08" 39.18 39.450001 39.119999 39.220001 12177800 25.347115
"2012-03-09" 39.310001 39.349998 38.93 39.099998 11755900 25.269564
"2012-03-12" 39.110001 39.470001 39.02 39.32 9557800 25.411745
"2012-03-13" 39.330002 39.509998 39.220001 39.48 10440300 25.515152
"2012-03-14" 39.419998 39.84 39.400002 39.470001 11406800 25.508686
"2012-03-15" 39.5 39.549999 39.27 39.540001 10102800 25.553925
"2012-03-16" 39.619999 39.66 39.360001 39.57 22440500 25.573309
"2012-03-19" 39.459999 39.790001 39.299999 39.650002 10245200 25.625019
"2012-03-20" 39.509998 39.709999 39.439999 39.630001 9583600 25.612082
"2012-03-21" 39.689999 39.900002 39.66 39.779999 9852500 25.709032
"2012-03-22" 39.540001 39.84 39.509998 39.66 40728600 25.631472
"2012-03-23" 39.66 39.689999 39.299999 39.419998 40367200 25.476364
