"Index" "YUOpen" "YUHigh" "YULow" "YUClose" "YUVolume" "YUAdjusted"
"2012-01-31" 45.859093 46.153847 45.319916 45.528397 4825657 37.938496
"2012-02-01" 45.830338 46.304817 45.600288 46.139469 4078273 38.447708
"2012-02-02" 45.995686 46.182602 45.636234 45.851906 4827466 38.208088
"2012-02-03" 46.376705 46.549244 45.866283 45.895039 5478593 38.244026
"2012-02-06" 45.758446 46.060387 45.334293 45.42775 7820619 37.85463
"2012-02-07" 46.649891 47.296909 46.362328 46.621136 17822327 38.849083
"2012-02-08" 47.081238 47.232208 46.132278 46.326385 8743270 38.603462
"2012-02-09" 46.398273 46.779297 46.333572 46.664268 8935506 38.885025
"2012-02-10" 46.376705 46.894321 46.225739 46.542057 5253668 38.783184
"2012-02-13" 46.743351 46.772106 46.340763 46.427032 4519081 38.687328
"2012-02-14" 46.326385 46.333572 45.492451 45.995686 7967509 38.327885
"2012-02-15" 46.161034 46.333572 45.557152 45.808769 5700179 38.172123
"2012-02-16" 45.772823 46.635513 45.744068 46.534866 4179955 38.77718
"2012-02-17" 46.67865 47.074047 46.534866 46.908699 7671087 39.088718
"2012-02-21" 47.059669 47.375988 46.937454 47.088425 4580146 39.238468
"2012-02-22" 46.966209 47.440689 46.800861 47.375988 5902569 39.478077
"2012-02-23" 47.332855 47.397556 46.887131 47.325665 4167297 39.436161
"2012-02-24" 47.296909 47.340042 46.951832 47.117184 3343408 39.26244
"2012-02-27" 46.887131 47.340042 46.73616 47.131561 2437449 39.27441
"2012-02-28" 47.124371 47.440689 47.052479 47.419125 2987312 39.514042
"2012-02-29" 47.440689 47.843277 47.167503 47.620419 4175365 39.681767
"2012-03-01" 47.613228 47.915169 47.440689 47.606037 3548858 39.669788
"2012-03-02" 47.541336 47.74263 47.411934 47.620419 2891750 39.681767
"2012-03-05" 47.627605 47.8936 47.455067 47.706684 2313789 39.753666
"2012-03-06" 47.232208 47.541336 46.786484 47.074047 4458016 39.226479
"2012-03-07" 47.088425 47.900791 46.980591 47.814522 4118473 39.843513
"2012-03-08" 47.426311 48.346512 47.318478 48.159595 4960028 40.131065
"2012-03-09" 48.569374 48.583752 48.2243 48.461536 2906077 40.382675
"2012-03-12" 48.583752 48.770668 48.037384 48.116463 2658340 40.095108
"2012-03-13" 48.475918 49.396118 48.389648 49.338604 4012757 41.11351
"2012-03-14" 49.460819 49.85622 49.029476 49.345795 4755829 41.119518
"2012-03-15" 49.626167 49.626167 48.914452 49.331417 2787147 41.107544
"2012-03-16" 49.367363 49.561466 48.964775 49.173256 3622164 40.975739
"2012-03-19" 49.266716 49.662113 48.885693 49.647736 2836945 41.371113
"2012-03-20" 49.446442 50.618259 49.439251 50.47448 5240175 42.06004
"2012-03-21" 50.373833 50.47448 50.057514 50.265995 3046290 41.886311
"2012-03-22" 50.165348 51.128685 50.165348 50.841122 4900076 42.365551
"2012-03-23" 50.905823 50.913013 50.050323 50.783607 3805637 42.317642
"2012-03-26" 50.884254 51.380302 50.819553 51.358734 3282621 42.796883
"2012-03-27" 51.473759 51.610352 50.733284 50.76923 5121940 42.305664
"2012-03-28" 50.776421 51.063984 50.352264 50.611073 4316829 42.173862
"2012-03-29" 50.323509 50.618259 50.115025 50.53199 2762943 42.107964
"2012-03-30" 50.898636 51.344357 50.596691 51.171818 4890756 42.641125
"2012-04-02" 51.114307 51.128685 50.244427 50.323509 5858057 41.934227
"2012-04-03" 50.345074 51.056793 50.273186 50.833931 5702126 42.359581
"2012-04-04" 50.452911 50.740475 50.186916 50.366642 3190398 41.970188
