"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 49.529999 49.700001 49.290001 49.52 2267300 36.169506
"2012-02-01" 49.599998 50.049999 49.27 49.310001 3335100 36.016136
"2012-02-02" 50.959999 51.330002 50.009998 50.59 6337100 36.951057
"2012-02-03" 50.900002 51.150002 50.720001 50.84 1940800 37.133648
"2012-02-06" 50.650002 50.849998 50.529999 50.68 1392100 37.016785
"2012-02-07" 50.75 50.900002 50.400002 50.82 2059400 37.119038
"2012-02-08" 50.919998 51.02 50.310001 50.34 2371400 36.76844
"2012-02-09" 50.330002 50.43 49.959999 50.209999 1781400 36.6735
"2012-02-10" 50 50.110001 49.669998 49.810001 1542800 36.381336
"2012-02-13" 50.07 50.150002 49.970001 50.02 1101700 36.534721
"2012-02-14" 49.860001 50.389999 49.82 50.299999 2249200 36.739235
"2012-02-15" 52.740002 53.349998 51.93 52.869999 7994200 38.616371
"2012-02-16" 52.73 52.939999 52.400002 52.560001 3577700 38.38995
"2012-02-17" 52.75 52.75 51.860001 52.529999 4272800 38.368023
"2012-02-21" 52.490002 52.490002 51.860001 51.959999 2106000 37.951702
"2012-02-22" 51.919998 52.57 51.84 52.529999 3261900 38.368023
"2012-02-23" 53.060001 53.450001 53.029999 53.099998 3486800 38.784355
"2012-02-24" 53.169998 53.349998 52.669998 52.75 1657000 38.528713
"2012-02-27" 52.700001 53 52.439999 52.900002 2443700 38.638283
"2012-02-28" 52.619999 52.73 52.240002 52.330002 1882200 38.535206
"2012-02-29" 52.540001 52.599998 52.279999 52.349998 3040300 38.549904
"2012-03-01" 52.450001 52.639999 52.169998 52.259998 1937300 38.483646
"2012-03-02" 52.220001 52.43 52 52.110001 1791000 38.373177
"2012-03-05" 52.110001 52.240002 51.93 52.09 1402500 38.358463
"2012-03-06" 51.93 52.119999 51.740002 51.84 2198500 38.174347
"2012-03-07" 51.810001 51.959999 51.639999 51.93 1306500 38.240631
"2012-03-08" 51.93 52.439999 51.830002 52.419998 1443200 38.601471
"2012-03-09" 52.32 52.470001 52.209999 52.439999 1008700 38.616188
"2012-03-12" 52.48 53.060001 52.419998 52.830002 1872700 38.903378
"2012-03-13" 52.810001 52.919998 52.529999 52.900002 1029700 38.954929
"2012-03-14" 52.77 53.009998 52.400002 52.48 1294800 38.645645
"2012-03-15" 52.540001 52.93 52.259998 52.919998 1661400 38.96965
"2012-03-16" 52.869999 53 52.459999 52.619999 1970500 38.748737
"2012-03-19" 52.490002 52.810001 52.349998 52.599998 1590800 38.734013
"2012-03-20" 52.439999 52.759998 52.439999 52.68 996300 38.792923
"2012-03-21" 52.669998 52.700001 52.27 52.48 911400 38.645645
"2012-03-22" 52.380001 52.57 52.220001 52.549999 914200 38.697186
"2012-03-23" 52.529999 52.650002 52.389999 52.41 1620200 38.594086
"2012-03-26" 52.700001 53.189999 52.639999 52.830002 1519000 38.903378
"2012-03-27" 52.869999 53.259998 52.799999 53.110001 1360600 39.109558
"2012-03-28" 53.169998 53.310001 53.060001 53.310001 1432900 39.25684
"2012-03-29" 53.279999 53.5 53.040001 53.389999 1675900 39.315758
"2012-03-30" 53.509998 53.860001 53.450001 53.630001 1505100 39.492496
"2012-04-02" 53.439999 53.75 53.189999 53.740002 1363900 39.57349
"2012-04-03" 53.790001 53.790001 53.16 53.380001 2233800 39.308395
"2012-04-04" 53.209999 53.450001 53.16 53.310001 1349800 39.25684
"2012-04-05" 53.259998 53.279999 52.799999 53.18 1314200 39.161121
"2012-04-09" 52.77 53 52.689999 52.889999 807900 38.947563
"2012-04-10" 52.849998 52.98 52.75 52.93 1721600 38.977024
"2012-04-11" 53.150002 53.560001 52.970001 53.009998 2350000 39.035931
