"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 12.045 12.085 11.85 11.88 11029200 9.933872
"2012-02-01" 11.975 12.015 11.865 11.915 10502000 9.963138
"2012-02-02" 11.92 12.045 11.865 11.985 10129200 10.021671
"2012-02-03" 12.07 12.085 11.8 11.96 18146000 10.000766
"2012-02-06" 11.98 12.095 11.915 12.03 13509800 10.059301
"2012-02-07" 11.98 12.075 11.825 11.85 13662000 9.908784
"2012-02-08" 11.85 11.955 11.775 11.82 15891600 9.883701
"2012-02-09" 11.84 11.93 11.785 11.79 16175400 9.858619
"2012-02-10" 11.745 11.88 11.745 11.815 11748800 9.879519
"2012-02-13" 11.885 11.89 11.74 11.77 11825200 9.890025
"2012-02-14" 11.855 11.94 11.76 11.935 9087600 10.028667
"2012-02-15" 11.925 11.98 11.85 11.875 8451200 9.978251
"2012-02-16" 11.875 11.945 11.82 11.94 5761000 10.03287
"2012-02-17" 11.98 12.055 11.945 11.96 9112000 10.049676
"2012-02-21" 11.95 12 11.88 11.91 6029200 10.007662
"2012-02-22" 11.83 11.95 11.77 11.82 12067800 9.932037
"2012-02-23" 11.805 11.84 11.46 11.49 22362800 9.654748
"2012-02-24" 11.7 11.775 11.555 11.77 18568200 9.890025
"2012-02-27" 11.725 11.985 11.665 11.94 14994000 10.03287
"2012-02-28" 11.925 11.96 11.88 11.89 24679600 9.990856
"2012-02-29" 11.885 11.995 11.865 11.895 17363200 9.99506
"2012-03-01" 12.255 12.39 12.065 12.22 26962200 10.268147
"2012-03-02" 12.205 12.285 12.005 12.04 14276000 10.116897
"2012-03-05" 11.955 12.125 11.835 12.1 10797200 10.167316
"2012-03-06" 12.045 12.11 11.985 12.025 11263000 10.104294
"2012-03-07" 12.01 12.055 11.975 12.035 9403000 10.112695
"2012-03-08" 12.05 12.185 12.015 12.17 8951800 10.226132
"2012-03-09" 12.215 12.235 12.115 12.16 7738200 10.217731
"2012-03-12" 12.195 12.225 12.125 12.19 7084600 10.242941
"2012-03-13" 12.215 12.225 12.04 12.11 10939000 10.175717
"2012-03-14" 12.085 12.17 12.035 12.17 9287800 10.226132
"2012-03-15" 12.155 12.205 12.075 12.205 6918200 10.255544
"2012-03-16" 12.25 12.25 12.1 12.185 18923800 10.238738
"2012-03-19" 12.16 12.18 12.05 12.065 8765600 10.137904
"2012-03-20" 12.025 12.085 11.98 12.05 7440400 10.125299
"2012-03-21" 12.05 12.145 12.02 12.14 10681400 10.200926
"2012-03-22" 12.075 12.115 11.98 12 11438000 10.083287
"2012-03-23" 12.01 12.275 11.995 12.22 27690400 10.268147
"2012-03-26" 12.26 12.26 12.07 12.105 14006200 10.171517
"2012-03-27" 12.145 12.21 12.085 12.145 6956600 10.205126
"2012-03-28" 12.14 12.185 12.065 12.095 7377800 10.163113
"2012-03-29" 12.05 12.145 12 12.11 11098000 10.175717
"2012-03-30" 12.105 12.155 12.055 12.115 11237800 10.179918
"2012-04-02" 12.085 12.23 12.055 12.195 11593200 10.24714
"2012-04-03" 12.205 12.22 11.86 11.865 17721600 9.96985
"2012-04-04" 11.855 11.925 11.765 11.77 14282400 9.890025
"2012-04-05" 11.81 11.925 11.76 11.92 12320400 10.016066
"2012-04-09" 11.755 11.835 11.7 11.75 9666800 9.873219
"2012-04-10" 11.81 11.915 11.6 11.635 11577600 9.776588
"2012-04-11" 11.7 11.785 11.66 11.73 8370600 9.856411
"2012-04-12" 11.72 11.825 11.67 11.81 9264000 9.923635
"2012-04-13" 11.79 11.87 11.74 11.755 8281600 9.877421
"2012-04-16" 11.825 11.865 11.705 11.785 7281600 9.902627
"2012-04-17" 11.775 11.935 11.775 11.845 8992400 9.953044
"2012-04-18" 11.765 11.87 11.72 11.745 8532000 9.869016
"2012-04-19" 11.78 11.79 11.58 11.605 11952800 9.751377
"2012-04-20" 11.63 11.675 11.565 11.625 11799400 9.768186
"2012-04-23" 11.58 11.685 11.5 11.625 7996800 9.768186
