"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 50.619999 51.099998 50.32 50.810001 6980700 38.48283
"2012-02-01" 51.209999 51.540001 51.009998 51.419998 6522900 38.944832
"2012-02-02" 52.68 52.889999 51.549999 52 9816200 39.384129
"2012-02-03" 52.290001 52.700001 52.049999 52.139999 6083200 39.490162
"2012-02-06" 51.970001 52.360001 51.799999 52.049999 3709700 39.421997
"2012-02-07" 51.91 52.540001 51.900002 52.41 4667200 39.694641
"2012-02-08" 52.400002 52.599998 52.209999 52.57 5568000 39.81583
"2012-02-09" 52.630001 52.790001 52.349998 52.700001 3284600 39.914295
"2012-02-10" 52.360001 52.439999 52.02 52.43 3216800 39.709782
"2012-02-13" 52.5 52.59 52.110001 52.360001 3114200 39.884995
"2012-02-14" 52.16 52.549999 52.060001 52.27 4438100 39.816448
"2012-02-15" 52.27 52.41 51.509998 51.810001 4806900 39.466038
"2012-02-16" 51.91 52.09 51.759998 51.93 3930100 39.557457
"2012-02-17" 52.240002 52.709999 52.119999 52.639999 5030200 40.098297
"2012-02-21" 52.790001 53.189999 52.310001 52.540001 5074400 40.022114
"2012-02-22" 52.529999 53.150002 52.25 52.970001 6773400 40.349667
"2012-02-23" 53.459999 54.82 52.610001 54.5 15638800 41.515129
"2012-02-24" 54.790001 55.459999 54.619999 55.220001 10355600 42.063587
"2012-02-27" 54.84 55.43 54.75 55.310001 6293700 42.132153
"2012-02-28" 55.279999 56.09 55.189999 56.009998 8244500 42.665363
"2012-02-29" 55.98 56.919998 55.849998 56.689999 11148500 43.183361
"2012-03-01" 56.59 56.91 56.200001 56.759998 8223000 43.236679
"2012-03-02" 56.59 56.900002 56.360001 56.59 3462100 43.107185
"2012-03-05" 56.709999 56.860001 56.119999 56.700001 4053900 43.190975
"2012-03-06" 56.240002 56.689999 56.119999 56.490002 6344500 43.031033
"2012-03-07" 56.529999 56.68 56.259998 56.639999 4776600 43.145264
"2012-03-08" 56.799999 57.389999 56.709999 57.23 5108000 43.594696
