"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 37.150002 37.950001 36.290001 36.779999 23083300 31.303282
"2012-02-01" 37.27 37.369999 36.610001 36.639999 14331900 31.184122
"2012-02-02" 36.810001 36.91 36.119999 36.540001 12029200 31.098999
"2012-02-03" 37.220001 37.220001 36.560001 36.830002 13009400 31.345831
"2012-02-06" 36.740002 37.400002 36.400002 37.400002 12754100 31.830944
"2012-02-07" 37.450001 37.5 36.419998 37 16805600 31.490517
"2012-02-08" 37.27 37.5 36.619999 37.02 12601300 31.507532
"2012-02-09" 37.23 37.23 36.509998 36.77 13626500 31.29475
"2012-02-10" 36.400002 36.5 35.82 36.060001 12867900 30.690491
"2012-02-13" 36.630001 36.68 35.779999 36.139999 11508600 30.758577
"2012-02-14" 36.080002 36.200001 35.32 35.700001 9812400 30.384089
"2012-02-15" 35.700001 36.16 35.130001 35.23 16821700 29.984079
"2012-02-16" 35.200001 35.799999 34.830002 35.639999 15364000 30.333023
"2012-02-17" 36.110001 36.490002 35.490002 36.290001 13097600 30.886232
"2012-02-21" 36.630001 37.599998 36.360001 37.029999 18143900 31.516048
"2012-02-22" 37.130001 38.389999 37.060001 38.240002 16790200 32.545879
"2012-02-23" 38.73 38.799999 37.939999 38.209999 13727600 32.52034
"2012-02-24" 38.66 39.189999 38.32 38.509998 11639200 32.775661
"2012-02-27" 38.310001 38.360001 37.330002 37.75 12344500 32.128838
"2012-02-28" 37.98 37.98 37.369999 37.68 10164200 32.069263
"2012-02-29" 37.880001 37.959999 36.43 36.59 16792600 31.14156
"2012-03-01" 36.889999 37.009998 36.43 36.5 13967000 31.064968
"2012-03-02" 36.599998 36.73 35.68 36.049999 14188800 30.681971
"2012-03-05" 36.110001 36.139999 34.950001 35.07 17336100 29.9226
"2012-03-06" 34.41 34.439999 33.810001 34.130001 16576100 29.120583
"2012-03-07" 34.380001 34.540001 33.939999 34.209999 10796800 29.188822
"2012-03-08" 34.540001 35.18 34.419998 34.779999 11491700 29.675165
"2012-03-09" 34.98 35.290001 34.689999 34.880001 8917000 29.7605
"2012-03-12" 34.77 34.880001 34.259998 34.700001 11049200 29.606913
"2012-03-13" 34.98 35.43 34.509998 35.34 16924700 30.152975
"2012-03-14" 35.25 35.259998 34.07 34.18 18799100 29.163225
"2012-03-15" 34.349998 34.41 33.700001 33.91 18789900 28.932869
"2012-03-16" 34.110001 34.779999 33.830002 34.540001 18628800 29.470398
