"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 39.130001 39.34 38.560001 38.57 10207000 31.478996
"2012-02-01" 38.98 39.740002 38.849998 39.619999 6990100 32.335949
"2012-02-02" 39.610001 39.93 39.349998 39.799999 4658600 32.482857
"2012-02-03" 39.970001 40.25 39.759998 40.200001 5427000 32.809315
"2012-02-06" 40 40.599998 40 40.560001 5518600 33.103146
"2012-02-07" 40.34 40.779999 39.889999 40.650002 5450400 33.176582
"2012-02-08" 40.540001 40.59 40.200001 40.490002 3887300 33.046009
"2012-02-09" 40.610001 40.610001 39.790001 39.93 5981900 32.588951
"2012-02-10" 39.689999 39.779999 39.330002 39.73 5206100 32.425739
"2012-02-13" 39.84 40.529999 39.790001 40.48 5350600 33.037834
"2012-02-14" 40.25 40.279999 39.310001 39.529999 6314800 32.262505
"2012-02-15" 39.73 39.740002 39.09 39.290001 5237400 32.066616
"2012-02-16" 39.240002 39.709999 39.150002 39.580002 4194200 32.303295
"2012-02-17" 39.5 40 39.459999 39.939999 6311200 32.597122
"2012-02-21" 39.34 39.450001 38.580002 38.990002 8744500 31.821781
"2012-02-22" 37.919998 38.669998 37.810001 38.209999 10194100 31.185179
"2012-02-23" 38.009998 38.200001 37.759998 37.880001 5691500 30.915852
"2012-02-24" 38.09 38.200001 37.779999 38.119999 5064800 31.111717
"2012-02-27" 37.93 38.41 37.599998 38.349998 6132700 31.299437
"2012-02-28" 38.5 38.799999 38.299999 38.599998 4408500 31.503466
"2012-02-29" 38.470001 38.560001 38.009998 38.119999 7145200 31.111717
"2012-03-01" 38.150002 38.220001 37.68 38 4965700 31.013771
"2012-03-02" 37.779999 38.189999 37.779999 37.91 3588200 30.940323
"2012-03-05" 37.799999 38.09 37.580002 37.759998 3276200 30.817904
"2012-03-06" 37.52 37.68 37.34 37.509998 5866400 30.613871
"2012-03-07" 37.57 37.849998 37.360001 37.52 5498500 30.622028
"2012-03-08" 37.75 38.290001 37.580002 38.130001 4554600 31.119888
"2012-03-09" 37.720001 37.950001 37.529999 37.669998 6642100 30.744463
"2012-03-12" 37.68 37.939999 37.52 37.599998 4180500 30.687325
"2012-03-13" 37.880001 38.77 37.830002 38.66 6752300 31.552444
"2012-03-14" 38.650002 38.889999 38.52 38.619999 5288600 31.519793
"2012-03-15" 38.650002 39.439999 38.580002 39.369999 6326300 32.131905
"2012-03-16" 39.419998 39.75 38.889999 39.68 8825200 32.384933
"2012-03-19" 39.389999 39.68 39.240002 39.48 3706700 32.22168
"2012-03-20" 39.25 39.720001 39.169998 39.52 4971500 32.254349
"2012-03-21" 39.439999 39.57 38.939999 38.939999 4965000 31.78096
