"Index" "Open" "High" "Low" "Close" "Volume" "Adjusted"
"2012-01-31" 12.75 12.88 12.62 12.87 27149700 10.033491
"2012-02-01" 12.99 13.09 12.87 12.9 24675300 10.056881
"2012-02-02" 13.05 13.07 12.93 12.94 18139100 10.088068
"2012-02-03" 13.24 13.63 13.06 13.58 30629200 10.587012
"2012-02-06" 13.72 13.83 13.46 13.73 29663700 10.703953
"2012-02-07" 13.74 13.81 13.61 13.75 21263200 10.719543
"2012-02-08" 13.89 13.93 13.7 13.75 17441000 10.719543
"2012-02-09" 13.78 13.85 13.64 13.79 23434300 10.750731
"2012-02-10" 13.67 13.82 13.58 13.6 17184500 10.602604
"2012-02-13" 13.75 13.78 13.56 13.67 22374300 10.657178
"2012-02-14" 13.66 13.69 13.33 13.48 21149700 10.509052
"2012-02-15" 13.48 13.68 13.46 13.52 16279800 10.540236
"2012-02-16" 13.52 13.9 13.49 13.81 15168000 10.766321
"2012-02-17" 13.97 13.97 13.65 13.84 13422000 10.789709
"2012-02-21" 13.92 14 13.74 13.77 15692800 10.735136
"2012-02-22" 13.65 13.72 13.52 13.56 12342300 10.571418
"2012-02-23" 13.56 13.61 13.13 13.58 17960600 10.587012
"2012-02-24" 13.63 13.87 13.6 13.75 10233500 10.719543
"2012-02-27" 13.65 13.66 13.45 13.52 14855600 10.598042
"2012-02-28" 13.58 13.67 13.3 13.34 20691700 10.456944
"2012-02-29" 13.35 13.37 13.02 13.04 27308000 10.221779
"2012-03-01" 13.09 13.1 12.89 12.97 26123700 10.16691
"2012-03-02" 12.99 13.06 12.95 12.99 23952500 10.182586
"2012-03-05" 12.93 13.02 12.78 12.88 17329400 10.096361
"2012-03-06" 12.72 12.84 12.7 12.81 19761400 10.041491
"2012-03-07" 12.86 13.09 12.81 12.96 18010700 10.159072
"2012-03-08" 13.18 13.44 13.16 13.41 20644900 10.511816
"2012-03-09" 13.46 13.54 13.25 13.29 18094200 10.417751
"2012-03-12" 13.29 13.46 13.25 13.45 16789500 10.543173
"2012-03-13" 13.64 13.93 13.61 13.9 23847400 10.895915
"2012-03-14" 13.93 14.06 13.83 14.05 28935300 11.013499
"2012-03-15" 14.03 14.24 14 14.2 17549500 11.131082
"2012-03-16" 14.27 14.37 14.13 14.33 25458500 11.232985
"2012-03-19" 14.27 14.4 14.12 14.28 18756300 11.19379
"2012-03-20" 14.22 14.26 13.95 14.05 22579000 11.013499
"2012-03-21" 14.04 14.12 13.93 13.93 14510100 10.919436
"2012-03-22" 13.88 14 13.77 13.86 17227500 10.864562
"2012-03-23" 13.82 14.05 13.77 14.02 13928500 10.989985
"2012-03-26" 14.18 14.44 14 14.41 16100600 11.295693
"2012-03-27" 14.4 14.54 14.2 14.21 15846300 11.138922
"2012-03-28" 14.2 14.27 13.9 14.02 16397900 10.989985
"2012-03-29" 13.93 14.04 13.81 14.03 17686900 10.997821
"2012-03-30" 14.1 14.16 13.89 14.08 16063300 11.037014
"2012-04-02" 14.02 14.06 13.8 13.9 16208200 10.895915
"2012-04-03" 13.91 14.01 13.78 13.87 14563000 10.872399
"2012-04-04" 13.76 13.84 13.6 13.7 15656300 10.73914
"2012-04-05" 13.64 13.69 13.5 13.54 9830500 10.613719
"2012-04-09" 13.35 13.57 13.26 13.48 12144900 10.566689
"2012-04-10" 13.51 13.65 13.3 13.39 17156400 10.49614
"2012-04-11" 13.55 13.61 13.45 13.53 11601200 10.605883
"2012-04-12" 13.62 13.81 13.54 13.73 11232500 10.762659
"2012-04-13" 13.67 13.75 13.58 13.58 11402100 10.645075
"2012-04-16" 13.65 13.69 13.5 13.57 12548100 10.637236
"2012-04-17" 13.64 13.79 13.58 13.7 9425300 10.73914
"2012-04-18" 13.63 13.65 13.49 13.54 9003300 10.613719
"2012-04-19" 13.55 13.74 13.43 13.53 12751300 10.605883
"2012-04-20" 13.54 13.6 13.15 13.18 20141000 10.331528
"2012-04-23" 13.1 13.29 13.03 13.21 11401500 10.355042
"2012-04-24" 13.15 13.46 13.15 13.35 19505200 10.464784
"2012-04-25" 14.05 14.33 13.88 14.3 38094700 11.209468
"2012-04-26" 14.23 14.42 14.18 14.3 18044600 11.209468
"2012-04-27" 14.34 14.51 14.2 14.45 14469200 11.327052
"2012-04-30" 14.34 14.53 14.27 14.35 12266300 11.248662
"2012-05-01" 14.28 14.44 14.2 14.32 9344600 11.225148
"2012-05-02" 14.35 14.58 14.2 14.26 14508800 11.178114
"2012-05-03" 14.29 14.35 13.91 14 11698400 10.974305
"2012-05-04" 13.94 14.01 13.66 13.67 11189700 10.715626
"2012-05-07" 13.57 13.72 13.57 13.6 9967700 10.660756
"2012-05-08" 13.53 13.54 13.2 13.36 18517000 10.472625
"2012-05-09" 13.21 13.47 13.18 13.38 10920700 10.4883
"2012-05-10" 13.48 13.48 13.28 13.32 10990200 10.441268
"2012-05-11" 13.24 13.47 13.2 13.31 6632700 10.433428
"2012-05-14" 13.19 13.39 13.16 13.31 10475500 10.433428
"2012-05-15" 13.32 13.36 13.11 13.16 14636100 10.315845
"2012-05-16" 13.23 13.3 12.9 12.92 14279400 10.127715
"2012-05-17" 12.9 13 12.76 12.82 12476500 10.049327
"2012-05-18" 12.9 12.94 12.7 12.75 16321200 9.994456
"2012-05-21" 12.78 13.24 12.75 13.18 13317200 10.331528
"2012-05-22" 13.16 13.29 13.02 13.11 12792700 10.276651
"2012-05-23" 12.96 13.56 12.48 12.77 28914400 10.010135
"2012-05-24" 12.88 12.91 12.71 12.81 21762000 10.041491
"2012-05-25" 12.77 12.98 12.77 12.91 10229100 10.119875
"2012-05-29" 12.99 13.14 12.95 13.1 16599000 10.328819
"2012-05-30" 13 13.01 12.86 12.86 11824600 10.139586
"2012-05-31" 12.86 13.13 12.75 12.99 20602100 10.242088
"2012-06-01" 12.74 13.02 12.57 12.61 23625800 9.942476
"2012-06-04" 12.64 12.64 12.17 12.24 20325700 9.650743
"2012-06-05" 12.23 12.52 12.21 12.47 15890900 9.832089
"2012-06-06" 12.64 12.85 12.59 12.83 19071300 10.115933
"2012-06-07" 12.98 13.09 12.88 12.9 14197800 10.171127
"2012-06-08" 12.82 13.15 12.82 13.13 11501000 10.352473
"2012-06-11" 13.28 13.29 12.9 12.91 12788600 10.179008
"2012-06-12" 12.95 13.2 12.9 13.18 11740600 10.391898
"2012-06-13" 13.18 13.19 12.97 13.05 10897500 10.289397
"2012-06-14" 13.06 13.09 12.84 13.02 10410600 10.265744
"2012-06-15" 13.13 13.19 12.98 13.01 17376700 10.257857
"2012-06-18" 12.98 13.17 12.95 13.1 10550700 10.328819
"2012-06-19" 13.17 13.39 13.13 13.25 10321200 10.44709
"2012-06-20" 13.2 13.32 13.07 13.26 9372100 10.454974
"2012-06-21" 13.23 13.3 12.73 12.78 15772400 10.07651
"2012-06-22" 12.86 12.91 12.72 12.86 13644000 10.139586
"2012-06-25" 12.7 12.73 12.4 12.45 10563300 9.816318
"2012-06-26" 12.47 12.57 12.3 12.43 11347100 9.800551
"2012-06-27" 12.47 12.67 12.44 12.59 8181800 9.926704
"2012-06-28" 12.5 12.6 12.4 12.59 9366500 9.926704
"2012-06-29" 12.85 12.96 12.71 12.93 12472900 10.194778
"2012-07-02" 12.92 12.93 12.77 12.91 8169400 10.179008
"2012-07-03" 12.94 13.12 12.86 13.08 4611200 10.31305
"2012-07-05" 13.05 13.14 13 13 8228000 10.249971
"2012-07-06" 12.88 12.95 12.65 12.79 9070800 10.084394
"2012-07-09" 12.79 12.79 12.54 12.67 10744200 9.989782
"2012-07-10" 12.7 12.81 12.45 12.54 8913500 9.887283
"2012-07-11" 12.47 12.6 12.32 12.42 10995000 9.792667
"2012-07-12" 12.28 12.37 12.1 12.33 16680800 9.721704
"2012-07-13" 12.34 12.39 12.23 12.32 9848200 9.71382
"2012-07-16" 12.31 12.31 12.17 12.25 9457600 9.658628
"2012-07-17" 12.3 12.37 12.14 12.34 9782000 9.729591
"2012-07-18" 12.29 12.55 12.28 12.39 14796600 9.769011
"2012-07-19" 12.51 12.54 12.4 12.46 10233300 9.824203
"2012-07-20" 12.37 12.41 12.17 12.27 10934900 9.674398
"2012-07-23" 12.09 12.17 11.95 12.12 9605400 9.556127
"2012-07-24" 12.17 12.19 11.94 12.07 11258900 9.516705
"2012-07-25" 11.99 12.02 11.05 11.14 38346400 8.783441
"2012-07-26" 11.12 11.34 11.05 11.23 22636600 8.854399
"2012-07-27" 11.25 11.63 11.18 11.53 12643900 9.090937
"2012-07-30" 11.5 11.55 11.35 11.42 9473800 9.004205
"2012-07-31" 11.4 11.49 11.31 11.41 11245600 8.996322
"2012-08-01" 11.43 11.45 10.62 11.31 26498400 8.917478
"2012-08-02" 11.14 11.31 11.06 11.23 10391200 8.854399
"2012-08-03" 11.36 11.43 11.23 11.34 9517600 8.941129
"2012-08-06" 11.41 11.42 11.26 11.28 10397800 8.893821
"2012-08-07" 11.32 11.58 11.32 11.53 14378800 9.090937
"2012-08-08" 11.48 11.73 11.48 11.61 17502200 9.154016
"2012-08-09" 11.56 11.64 11.43 11.59 13746100 9.138246
"2012-08-10" 11.55 11.6 11.47 11.57 6677500 9.122475
"2012-08-13" 11.58 11.72 11.45 11.52 11593800 9.083054
"2012-08-14" 11.58 11.62 11.48 11.52 12799200 9.083054
"2012-08-15" 11.53 11.62 11.47 11.59 11361400 9.138246
"2012-08-16" 11.6 11.75 11.59 11.75 11858400 9.264398
"2012-08-17" 11.86 12 11.84 11.99 14798900 9.453629
"2012-08-20" 11.95 12 11.81 11.99 11822800 9.453629
"2012-08-21" 12.02 12.13 11.8 11.86 10853100 9.351129
"2012-08-22" 11.85 11.86 11.57 11.73 10452700 9.248631
"2012-08-23" 11.66 11.67 11.5 11.55 10385300 9.106706
"2012-08-24" 11.52 11.53 11.34 11.52 11073500 9.083054
"2012-08-27" 11.53 11.62 11.47 11.59 7423100 9.138246
"2012-08-28" 11.55 11.75 11.54 11.68 7625600 9.209206
"2012-08-29" 11.67 11.82 11.56 11.76 8533000 9.332207
"2012-08-30" 11.69 11.71 11.52 11.62 8658600 9.221109
"2012-08-31" 11.98 12.17 11.93 11.99 16633200 9.514725
"2012-09-04" 12.02 12.1 11.77 11.91 9507400 9.451241
"2012-09-05" 11.9 11.92 11.75 11.85 6979800 9.403629
"2012-09-06" 11.91 12.4 11.91 12.3 17891700 9.760728
"2012-09-07" 12.29 12.57 12.26 12.55 12994400 9.959114
"2012-09-10" 12.55 12.7 12.5 12.58 13382700 9.982922
"2012-09-11" 12.58 12.86 12.53 12.77 12140200 10.133698
"2012-09-12" 12.78 12.87 12.64 12.7 8826000 10.07815
"2012-09-13" 12.71 12.9 12.57 12.86 9882100 10.205115
"2012-09-14" 12.93 13.14 12.88 13.12 14289400 10.411441
"2012-09-17" 13.12 13.15 12.84 12.88 11933000 10.220987
"2012-09-18" 12.88 12.95 12.72 12.73 10748300 10.101956
"2012-09-19" 13.16 13.25 12.87 12.88 27779900 10.220987
"2012-09-20" 12.95 13.13 12.91 13.1 14683400 10.395572
"2012-09-21" 13.19 13.37 13.17 13.22 16536100 10.490797
"2012-09-24" 13.09 13.38 13.03 13.25 12566100 10.514606
"2012-09-25" 13.28 13.31 12.92 12.93 14167500 10.260664
"2012-09-26" 12.91 12.99 12.68 12.86 12394000 10.205115
"2012-09-27" 12.95 13.4 12.89 13.3 18517800 10.554282
"2012-09-28" 13.21 13.26 13.02 13.15 12530200 10.435246
"2012-10-01" 13.23 13.33 13.06 13.09 11512700 10.387637
"2012-10-02" 13.12 13.25 13.09 13.24 10347900 10.506668
"2012-10-03" 13.25 13.55 13.17 13.38 19302600 10.617765
"2012-10-04" 13.43 13.5 13.34 13.4 16050000 10.633637
"2012-10-05" 13.46 13.61 13.26 13.3 11522600 10.554282
"2012-10-08" 13.24 13.34 13.18 13.29 10628200 10.546347
"2012-10-09" 13.2 13.33 12.98 13.04 14052600 10.347956
"2012-10-10" 13.07 13.1 12.91 12.95 15865700 10.276538
"2012-10-11" 13.11 13.16 12.94 13.02 13726400 10.332088
